year,mean_log_delta,var_log_delta,mean_raw_delta,var_raw_delta,source,model_tag
0,0.27997509841298324,1.277028678756137,1.3387491224137766,20.626016971283036,Empirical,empirical
1,0.18006930285390427,1.0430819557037643,1.1920316869779388,24.92654169396332,Empirical,empirical
2,0.07179446488721473,0.9405833320117674,0.5185975953478456,26.16287482866504,Empirical,empirical
3,0.04468039589264971,0.9359197789833835,0.33789177106709795,29.11197336956354,Empirical,empirical
4,-0.0628209399786774,0.9276506402702019,-0.43963086674055296,30.43000357082729,Empirical,empirical
5,-0.04748749867398633,0.8912590749164975,-0.39633928619198605,25.760921434848967,Empirical,empirical
6,-0.08653333650393286,0.9371189114429314,-0.3469235709221694,26.636650077324663,Empirical,empirical
7,-0.017205146010049296,0.8847385194493496,-0.23382190136265235,24.61901834624845,Empirical,empirical
8,-0.02984179473578744,0.838807386000191,-0.13476851213089164,24.028801417581533,Empirical,empirical
9,-0.04258551426419671,0.8828215809110882,-0.14492868248944663,23.630387515629717,Empirical,empirical
10,-0.030165964786932578,0.8795478502683731,-0.2549662456087576,24.215059044693433,Empirical,empirical
11,-0.034006267847383524,0.8317025225477807,-0.1313855725209343,21.073674425724903,Empirical,empirical
12,-0.08445209055585517,0.9022020913884584,-0.3085858563584959,23.084539751424472,Empirical,empirical
13,0.0030081647006972153,0.8835575517548903,-0.03489226464320236,19.616603603448777,Empirical,empirical
14,-0.003972480352932823,0.9880283565474618,0.04597673193754726,22.675675376385783,Empirical,empirical
15,0.009405127067577677,0.8015890327585216,-0.08547631486862603,19.360580678342316,Empirical,empirical
16,-0.11072581524775893,0.9002864895413286,-0.3697716073835081,21.137058802752172,Empirical,empirical
17,0.02202323949421399,0.8723816247790138,0.11227516075865367,24.491205921240606,Empirical,empirical
18,-0.056420633389465645,0.8068772195365096,-0.3693723542819972,20.05735197284314,Empirical,empirical
19,-0.027301569576718376,0.7401495227309594,-0.034577962591063834,20.91346005168868,Empirical,empirical
0,0.3564753550380248,0.9456747219833295,1.7918327837897943,26.553087784722095,ARW4,arw4
1,0.14721958525425485,0.7857072767102959,0.9494248012520748,28.361967155027568,ARW4,arw4
2,0.07909785336157964,0.7171774240970356,0.5926794065666289,29.164703293971545,ARW4,arw4
3,0.042816007546066986,0.6927168950702594,0.3114149533556208,29.835901949937448,ARW4,arw4
4,0.024214068501017035,0.6703997506501465,0.21242637235956732,30.47168885764397,ARW4,arw4
5,-0.044959655201066255,0.6321413155840568,-0.4465389158575372,27.58562920287745,ARW4,arw4
6,-0.03521819272075143,0.6529081427029342,-0.2958104632415446,26.857094500591653,ARW4,arw4
7,-0.019236009101244678,0.6571716567485177,-0.17235569709313447,26.614507552472446,ARW4,arw4
8,-0.034323593996973586,0.6293682570112666,-0.2994152504944009,23.393395675408932,ARW4,arw4
9,-0.01661665676242901,0.639704584491001,-0.14319478010805428,22.91298911640604,ARW4,arw4
10,-0.019922281539458655,0.6489300257448196,-0.15255552671969122,22.53711398601712,ARW4,arw4
11,-0.012670617396630213,0.6626644470426001,-0.06274083364481714,22.56605400275658,ARW4,arw4
12,-0.007257800101803143,0.6586512415476775,-0.07263281747976959,21.91631925117118,ARW4,arw4
13,-0.0075328339590641,0.6594733972013143,-0.03226595964277421,22.09260890807254,ARW4,arw4
14,0.0024424451437091194,0.6225782016168339,-0.0164058167532267,19.936157911100395,ARW4,arw4
15,-0.0007313296606845987,0.6211768167494579,-0.025566493718105047,19.903032969190672,ARW4,arw4
16,0.001007467315351367,0.6252860210957372,0.029113308254633406,20.43037362326136,ARW4,arw4
17,-0.0006357567163507258,0.6147329431239192,-0.008084044485099017,19.91296653023734,ARW4,arw4
18,-0.005694863449464698,0.6234262733582573,-0.0321882772487779,19.898282014190993,ARW4,arw4
19,0.003421023943802356,0.6245563973878357,0.02928791315647149,20.196882926195226,ARW4,arw4
0,0.013200972859287003,0.19271165314046934,0.6077052882096544,9.830674588740282,Unfitted-GRW,unfitted_grw
1,0.01461627902675792,0.18864433286217805,0.6761708326416022,15.402026623614768,Unfitted-GRW,unfitted_grw
2,0.012116316906514957,0.18752961403202703,0.795230565178287,26.923879543959973,Unfitted-GRW,unfitted_grw
3,0.014780000587804924,0.1821887408225536,0.9002996517276701,42.72846424523098,Unfitted-GRW,unfitted_grw
4,0.010234147062847468,0.1815625404097692,0.9369638758129236,64.61334223641974,Unfitted-GRW,unfitted_grw
5,0.01673962181181939,0.18304478932745763,1.144935628696311,113.06960815623978,Unfitted-GRW,unfitted_grw
6,0.015910870787629986,0.17748483398912715,1.3063254720800637,242.9186639710244,Unfitted-GRW,unfitted_grw
7,0.012551876526724692,0.17825872882052715,1.3100157946652184,280.02588306058954,Unfitted-GRW,unfitted_grw
8,0.011034856954137738,0.1758213468282456,1.6055167599082052,451.5393009687022,Unfitted-GRW,unfitted_grw
9,0.012178895139058673,0.17499673911131802,1.5356533730857083,495.60728824785815,Unfitted-GRW,unfitted_grw
10,0.010856210482125797,0.17232818181256807,1.7142436410361832,843.5617153405641,Unfitted-GRW,unfitted_grw
