stage,p_00,p_01,p_10,p_11,source,model_tag,transition_year_start,transition_year_end,n_from_0,n_from_1
0,0.27170868347338933,0.7282913165266106,0.09651307596513076,0.9034869240348692,Empirical,empirical,,,,
1-4,0.33889602053915274,0.6611039794608472,0.0639988647651483,0.9360011352348517,Empirical,empirical,,,,
5-7,0.3313253012048193,0.6686746987951807,0.07539853511417492,0.9246014648858251,Empirical,empirical,,,,
8-20,0.4622467771639042,0.5377532228360957,0.08878281622911695,0.911217183770883,Empirical,empirical,,,,
0,0.2717086834733893,0.7282913165266106,0.0965130759651307,0.9034869240348692,Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0.0,0.0,357.0,1606.0
1-4,0.3388960205391527,0.6611039794608472,0.0639988647651483,0.9360011352348516,Hurdle-AR(1)-GRW-S,hurdle_ar1_s,1.0,4.0,779.0,7047.0
5-7,0.3313253012048193,0.6686746987951807,0.0753985351141749,0.9246014648858252,Hurdle-AR(1)-GRW-S,hurdle_ar1_s,5.0,7.0,498.0,4642.0
8-20,0.4622467771639042,0.5377532228360957,0.0887828162291169,0.911217183770883,Hurdle-AR(1)-GRW-S,hurdle_ar1_s,8.0,19.0,1629.0,10475.0
0,0.2717086834733893,0.7282913165266106,0.0965130759651307,0.9034869240348692,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0.0,0.0,357.0,1606.0
1-4,0.3388960205391527,0.6611039794608472,0.0639988647651483,0.9360011352348516,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,1.0,4.0,779.0,7047.0
5-7,0.3313253012048193,0.6686746987951807,0.0753985351141749,0.9246014648858252,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,5.0,7.0,498.0,4642.0
8-20,0.4622467771639042,0.5377532228360957,0.0887828162291169,0.911217183770883,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,8.0,19.0,1629.0,10475.0
0,0.2717086834733893,0.7282913165266106,0.0965130759651307,0.9034869240348692,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0.0,0.0,357.0,1606.0
1-4,0.3388960205391527,0.6611039794608472,0.0639988647651483,0.9360011352348516,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,1.0,4.0,779.0,7047.0
5-7,0.3313253012048193,0.6686746987951807,0.0753985351141749,0.9246014648858252,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,5.0,7.0,498.0,4642.0
8-20,0.4622467771639042,0.5377532228360957,0.0887828162291169,0.911217183770883,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,8.0,19.0,1629.0,10475.0
