source,model_tag,year,zero_fraction
Empirical,empirical,0,0.28823529411764703
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0,0.1768
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,0.184
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0,0.1814
Empirical,empirical,1,0.22156862745098038
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,1,0.1335
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,1,0.1825
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,1,0.1746
Empirical,empirical,2,0.16862745098039217
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,2,0.1028
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,2,0.1379
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,2,0.1392
Empirical,empirical,3,0.1411764705882353
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,3,0.0913
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,3,0.1216
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,3,0.1239
Empirical,empirical,4,0.15294117647058825
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,4,0.0894
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,4,0.107
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,4,0.1091
Empirical,empirical,5,0.12352941176470589
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,5,0.0916
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,5,0.1013
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,5,0.1037
Empirical,empirical,6,0.10980392156862745
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,6,0.0941
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,6,0.1055
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,6,0.1093
Empirical,empirical,7,0.12549019607843137
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,7,0.1023
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,7,0.1123
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,7,0.1198
Empirical,empirical,8,0.10392156862745099
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,8,0.1027
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,8,0.1149
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,8,0.1214
Empirical,empirical,9,0.12352941176470589
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,9,0.1224
