source,model_tag,zero_years,probability
Empirical,empirical,0,0.30980392156862746
Empirical,empirical,1,0.17254901960784313
Empirical,empirical,2,0.09607843137254903
Empirical,empirical,3,0.10784313725490197
Empirical,empirical,4,0.0784313725490196
Empirical,empirical,5,0.052941176470588235
Empirical,empirical,6,0.03529411764705882
Empirical,empirical,7,0.029411764705882353
Empirical,empirical,8,0.03333333333333333
Empirical,empirical,9,0.0196078431372549
Empirical,empirical,10,0.021568627450980392
Empirical,empirical,11,0.011764705882352941
Empirical,empirical,12,0.00392156862745098
Empirical,empirical,13,0.011764705882352941
Empirical,empirical,14,0.00784313725490196
Empirical,empirical,16,0.00392156862745098
Empirical,empirical,18,0.00392156862745098
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0,0.14844
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,1,0.19886
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,2,0.19516
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,3,0.16024
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,4,0.12028
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,5,0.07566
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,6,0.04844
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,7,0.02688
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,8,0.01346
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,9,0.00708
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,10,0.00302
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,11,0.00146
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,12,0.0007
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,13,0.00022
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,14,0.0001
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,0.16052
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,1,0.17524
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,2,0.17428
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,3,0.1515
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,4,0.1141
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,5,0.0843
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,6,0.0581
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,7,0.03716
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,8,0.02224
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,9,0.01188
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,10,0.00556
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,11,0.003
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,12,0.00132
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,13,0.00044
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,14,0.00022
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,15,0.0001
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,16,4e-05
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0,0.17876
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,1,0.1598
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,2,0.15904
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,3,0.14192
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,4,0.1195
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,5,0.08854
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,6,0.06186
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,7,0.04036
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,8,0.02322
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,9,0.0142
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,10,0.00666
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,11,0.00374
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,12,0.0014
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,13,0.00064
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,14,0.00018
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,15,0.00014
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,16,2e-05
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,17,2e-05
