source,source_type,model_tag,window,transition_year_start,transition_year_end,mu,alpha,ks,corr,n
Empirical,empirical,empirical,Pooled,0,19,-0.07212404950969065,3.5485477041944886,0.06283249623931719,0.998849601138366,27033
ARW4,simulated,arw4,Pooled,0,19,-0.3311030663646659,3.5378075597050915,0.02552230907299541,0.9912880748250378,1000000
Unfitted-GRW,simulated,unfitted_grw,Pooled,0,19,-0.00021347859067346762,7.752319239215347,0.22385623981357713,0.3302011117682862,1000000
GRW-Y,simulated,grw_y,Pooled,0,19,0.0,10606.916622831726,0.45824001752563226,0.020468267625995455,1000000
AR(1)-GRW-Y,simulated,ar1_y,Pooled,0,19,0.0,5.833336015465003,0.06932732178040613,0.8945655360935783,1000000
AR(1)-GRW-S,simulated,ar1_s,Pooled,0,19,0.0,5.876268856569802,0.0694166938082118,0.8931813997225907,1000000
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Pooled,0,19,0.05923100665584363,4.023738011540031,0.05278149697396095,0.9694056889405197,1000000
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Pooled,0,19,0.0,4.039953714046904,0.037634,0.9686393335900376,1000000
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Pooled,0,19,0.0,3.971551351772462,0.035010567264219083,0.9642913344975227,1000000
Empirical,empirical,empirical,Year 0,0,0,1.2645645759475572,3.3684230759569935,0.11956549668956445,0.9946240969195862,1963
ARW4,simulated,arw4,Year 0,0,0,0.9417573527149723,3.644594960488398,0.051293384845549544,0.9813059833328834,50000
Unfitted-GRW,simulated,unfitted_grw,Year 0,0,0,0.0037416273918124965,1.9724176439022734,0.07198206897862704,0.9364454622131602,50000
GRW-Y,simulated,grw_y,Year 0,0,0,0.8179064394465049,9.566318933876815,0.22904468880479462,0.64604187648921,50000
AR(1)-GRW-Y,simulated,ar1_y,Year 0,0,0,0.72628908394852,5.223888587988711,0.07379508623250955,0.9031557005237171,50000
AR(1)-GRW-S,simulated,ar1_s,Year 0,0,0,0.6817203577801199,5.1150909679237,0.07249912980121653,0.9005992763409479,50000
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Year 0,0,0,0.8153307675581023,3.724258838075805,0.07252848204599371,0.9859470252939028,50000
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Year 0,0,0,0.6914050024595666,3.567754873537525,0.05891662684103438,0.9797741102611782,50000
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Year 0,0,0,0.6850991564277057,3.5315715103811676,0.057960887521550986,0.9792635042370282,50000
Empirical,empirical,empirical,Years 1-4,1,4,-0.04374756431913385,3.8747693157696474,0.07112802389627487,0.9974815118422248,7826
ARW4,simulated,arw4,Years 1-4,1,4,-0.07360562536631754,3.8990857453085312,0.030624459603425733,0.9893677945494106,200000
Unfitted-GRW,simulated,unfitted_grw,Years 1-4,1,4,-0.0007556490481023248,2.7068269902234476,0.10394147589414801,0.8277582339118361,200000
GRW-Y,simulated,grw_y,Years 1-4,1,4,0.13133985654350255,48.13231011136397,0.3012588226513752,0.10612727619802508,200000
AR(1)-GRW-Y,simulated,ar1_y,Years 1-4,1,4,0.1904415142911262,6.653570935495398,0.06050179195548244,0.9303491651494697,200000
AR(1)-GRW-S,simulated,ar1_s,Years 1-4,1,4,0.2322338991323789,6.639326865795327,0.06425127641150824,0.9071390314173868,200000
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Years 1-4,1,4,0.40244212356295495,4.283328941409388,0.04102529091120849,0.9781046767350453,200000
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Years 1-4,1,4,0.24200496856254816,4.249955470847532,0.04128123064420369,0.9733348320444436,200000
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Years 1-4,1,4,0.19316242545701728,4.081652751137612,0.04269342295561129,0.975300116118085,200000
Empirical,empirical,empirical,Years 5-7,5,7,-0.1718615178446825,3.6528917195642987,0.07799352886667088,0.9986688971669155,5140
ARW4,simulated,arw4,Years 5-7,5,7,-0.6663485966070812,3.7603468292474016,0.02070340633324179,0.9933957076500027,150000
Unfitted-GRW,simulated,unfitted_grw,Years 5-7,5,7,0.003737588221146046,4.19186290001696,0.15678313780322323,0.6592007738225155,150000
GRW-Y,simulated,grw_y,Years 5-7,5,7,0.0,170.67889866971598,0.3385683853718702,0.11878590888859274,150000
AR(1)-GRW-Y,simulated,ar1_y,Years 5-7,5,7,-0.14944623602161278,6.255125180872302,0.06342413917098977,0.9182800995293221,150000
AR(1)-GRW-S,simulated,ar1_s,Years 5-7,5,7,-0.17974544826350436,6.398379142994757,0.06680010191585639,0.9141138654048399,150000
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Years 5-7,5,7,0.0,4.318975073944615,0.040254145632056204,0.9783438239162093,150000
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Years 5-7,5,7,-0.032228803011226326,4.3010780400582185,0.041509235830774704,0.9732539324939224,150000
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Years 5-7,5,7,-0.06350827610457288,4.209647320908965,0.04624658420183991,0.9732826360793515,150000
Empirical,empirical,empirical,Years 8-20,8,19,-0.07930790735506177,3.3047163208348325,0.08934984825751069,0.9985980358661963,12104
ARW4,simulated,arw4,Years 8-20,8,19,-0.4396699853566275,3.3294033448112432,0.02365278108911982,0.992240180650123,600000
Unfitted-GRW,simulated,unfitted_grw,Years 8-20,8,19,-0.0006029063622120641,10.805919909481155,0.24013830332450617,0.359958289237782,600000
GRW-Y,simulated,grw_y,Years 8-20,8,19,0.0,17618.676165232897,0.45489371532235806,0.02528887062981592,600000
AR(1)-GRW-Y,simulated,ar1_y,Years 8-20,8,19,-0.03737041116177614,5.497760776665464,0.07635824760976595,0.8715980105745508,600000
AR(1)-GRW-S,simulated,ar1_s,Years 8-20,8,19,-0.03440218936213624,5.546934856531463,0.07539469899779627,0.879265378530371,600000
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Years 8-20,8,19,0.0,3.873700327629331,0.052861224501735526,0.9616433734095986,600000
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Years 8-20,8,19,0.0,3.9359097209880267,0.045330904272767425,0.9642173007516202,600000
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Years 8-20,8,19,0.0,3.9047179242225614,0.050551575965450346,0.9565465448626381,600000
