source,source_type,model_tag,window,corr,n,log_mean,log_sd
Empirical (CS),empirical,empirical,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
Data (CS),empirical,arw4,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
ARW4,simulated,arw4,Last four observed / 17-20,0.995347526670537,50000,4.483025875950873,0.8961580846660637
Data (CS),empirical,arw4,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
ARW4,simulated,arw4,"Full career, 0-20",0.9998189465604832,50000,7.123252694124664,0.47112944565010384
Data (CS),empirical,arw4,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
ARW4,simulated,arw4,Stage 0,0.9702324513276175,50000,1.3433791563235788,1.850013000742065
Data (CS),empirical,arw4,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
ARW4,simulated,arw4,Stage 1-4,0.9960464095707514,50000,4.620705030775575,0.9128708115158553
Data (CS),empirical,arw4,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
ARW4,simulated,arw4,Stage 5-7,0.9919144253612061,50000,4.274408634641498,0.9993387138203362
Data (CS),empirical,arw4,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
ARW4,simulated,arw4,Stage 8-20,0.99938229624971,50000,6.364215010340378,0.5674648017951328
Data (CS),empirical,unfitted_grw,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
Unfitted-GRW,simulated,unfitted_grw,Last four observed / 17-20,0.999985990682961,50000,4.102122260975181,3.115890713396811
Data (CS),empirical,unfitted_grw,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
Unfitted-GRW,simulated,unfitted_grw,"Full career, 0-20",0.9918963432150459,50000,6.952109799760766,1.986323686155579
Data (CS),empirical,unfitted_grw,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
