source,model_tag,year,mean,se
Empirical,empirical,0,4.536448002095241,0.10221822999951763
Empirical,empirical,1,5.861101160587133,0.1159331391451147
Empirical,empirical,2,7.031517837065707,0.1390630227431566
Empirical,empirical,3,7.582508293151904,0.1449178600168013
Empirical,empirical,4,8.010238761207757,0.1496986740310847
Empirical,empirical,5,7.645803853061081,0.15187704824022466
Empirical,empirical,6,7.31248351294135,0.1519465357951939
Empirical,empirical,7,6.968893444533776,0.159409096947637
Empirical,empirical,8,6.848606841467847,0.1576140394059118
Empirical,empirical,9,6.714034411593053,0.16169174609903372
Empirical,empirical,10,6.612720758894218,0.16567722684441066
Empirical,empirical,11,6.457562506059991,0.17167428167078227
Empirical,empirical,12,6.421420192059244,0.19167894894932624
Empirical,empirical,13,6.151789844782042,0.2026911954971305
Empirical,empirical,14,6.294480434494355,0.20638843290398
Empirical,empirical,15,6.447883566868445,0.22924419907906488
Empirical,empirical,16,6.476815201203445,0.2285124527040985
Empirical,empirical,17,6.185386623160944,0.2443346127302851
Empirical,empirical,18,6.493360249260197,0.27314179944283995
Empirical,empirical,19,6.3661035523442155,0.2707049073964518
Empirical,empirical,20,6.547802636390854,0.29798662651758956
ARW4,arw4,0,4.551667273906479,0.04593690997754755
ARW4,arw4,1,6.35475373385547,0.054076155690166744
ARW4,arw4,2,7.323604362849191,0.05913841271146307
ARW4,arw4,3,7.940529563708838,0.06190157807732535
ARW4,arw4,4,8.197084941210685,0.0626460111831805
ARW4,arw4,5,8.397176625323578,0.06384192902056063
ARW4,arw4,6,7.990585716527511,0.0606467920093925
ARW4,arw4,7,7.68486597092077,0.058436079864576065
ARW4,arw4,8,7.515523472516571,0.057941940969456596
ARW4,arw4,9,7.15875875674078,0.05487027692854442
ARW4,arw4,10,6.974186417080859,0.053855452451850507
ARW4,arw4,11,6.843899441987389,0.05298229219785092
ARW4,arw4,12,6.835675555203327,0.052952555979355755
ARW4,arw4,13,6.743013412701844,0.05192613804826625
ARW4,arw4,14,6.601856682301854,0.050712811918437434
ARW4,arw4,15,6.649790990447897,0.05090933742491817
ARW4,arw4,16,6.646718453115383,0.05084730692773139
ARW4,arw4,17,6.726007218968799,0.05147919184223501
ARW4,arw4,18,6.758149748330369,0.05138334410659378
ARW4,arw4,19,6.696926448792633,0.05142148216904487
ARW4,arw4,20,6.741314866572308,0.051861278641754355
Unfitted-GRW,unfitted_grw,0,4.521111553979105,0.024194479307188557
Unfitted-GRW,unfitted_grw,1,5.109796576610373,0.04065505096969317
Unfitted-GRW,unfitted_grw,2,5.804027231490071,0.059739986930382016
Unfitted-GRW,unfitted_grw,3,6.627805329967819,0.08450365972952743
Unfitted-GRW,unfitted_grw,4,7.427216426623728,0.1164795191730913
Unfitted-GRW,unfitted_grw,5,8.337975052466406,0.15338261380523513
Unfitted-GRW,unfitted_grw,6,9.485051339408944,0.19878516296655682
Unfitted-GRW,unfitted_grw,7,10.757954134761368,0.2619567125032617
Unfitted-GRW,unfitted_grw,8,12.12411338802979,0.3399087312449513
Unfitted-GRW,unfitted_grw,9,13.684689502970636,0.4398278662173522
Unfitted-GRW,unfitted_grw,10,15.024881639715298,0.4671855955649212
Unfitted-GRW,unfitted_grw,11,16.780132677992118,0.5681760114491256
Unfitted-GRW,unfitted_grw,12,18.54381160355238,0.7066879351732734
Unfitted-GRW,unfitted_grw,13,21.637970479162863,1.1557308767557037
Unfitted-GRW,unfitted_grw,14,23.94238147301489,1.1494994169537671
Unfitted-GRW,unfitted_grw,15,26.04784367763159,1.076323127129437
Unfitted-GRW,unfitted_grw,16,30.01968343339557,1.346740131136504
Unfitted-GRW,unfitted_grw,17,33.32116002325662,1.654716723178938
Unfitted-GRW,unfitted_grw,18,38.34947722740503,2.085288260102395
Unfitted-GRW,unfitted_grw,19,43.891515927169166,2.7781784754340864
Unfitted-GRW,unfitted_grw,20,48.210707071230175,3.5327969036372604
GRW-Y,grw_y,0,4.573825096355639,0.04560716235524209
GRW-Y,grw_y,1,12.098492776692124,0.2827906945007972
GRW-Y,grw_y,2,24.673282410180075,1.0184128573566418
GRW-Y,grw_y,3,44.77523139822495,2.5276987858474924
GRW-Y,grw_y,4,67.30764442092615,3.9601551232797845
GRW-Y,grw_y,5,103.62802063523081,7.372427419549332
GRW-Y,grw_y,6,148.11751186693897,11.639045436519242
GRW-Y,grw_y,7,235.61749645686322,43.81302847244885
GRW-Y,grw_y,8,290.78863231054635,36.354582564661946
GRW-Y,grw_y,9,383.2813300466031,56.70638548119977
GRW-Y,grw_y,10,603.2380205441008,90.9217832829661
GRW-Y,grw_y,11,803.6042821897081,114.82926601487817
GRW-Y,grw_y,12,1624.044926901721,574.2183317264974
GRW-Y,grw_y,13,2460.5157326562585,862.8518898384162
GRW-Y,grw_y,14,5572.493661233287,2062.253812674342
GRW-Y,grw_y,15,6599.593335896229,2222.834384186561
GRW-Y,grw_y,16,17286.370371931647,10744.039413774035
GRW-Y,grw_y,17,8088.828476876961,2487.0492582572933
GRW-Y,grw_y,18,8165.050769419992,2069.8132125072552
GRW-Y,grw_y,19,11438.264403548646,3993.1833885389997
GRW-Y,grw_y,20,12017.84451476164,3806.9339758895303
AR(1)-GRW-Y,ar1_y,0,4.545891818226034,0.046036324889803144
AR(1)-GRW-Y,ar1_y,1,6.878034538739485,0.09763023194655057
AR(1)-GRW-Y,ar1_y,2,8.139636466654515,0.11905128170017058
AR(1)-GRW-Y,ar1_y,3,8.606252510971931,0.11199339159091769
AR(1)-GRW-Y,ar1_y,4,8.740270097487203,0.11683957294835247
AR(1)-GRW-Y,ar1_y,5,8.590626574098135,0.12571390448765457
AR(1)-GRW-Y,ar1_y,6,8.116797770715607,0.11281815095439006
AR(1)-GRW-Y,ar1_y,7,7.818431265254902,0.11700949711351907
AR(1)-GRW-Y,ar1_y,8,7.509512927406022,0.11018029448017183
AR(1)-GRW-Y,ar1_y,9,7.5127244938336535,0.11234840505099206
AR(1)-GRW-Y,ar1_y,10,7.459153482245547,0.11210864685614735
AR(1)-GRW-Y,ar1_y,11,7.310773361049703,0.11761967402786247
AR(1)-GRW-Y,ar1_y,12,7.190901976268094,0.11297936614973651
AR(1)-GRW-Y,ar1_y,13,6.957843284314635,0.11862981481345793
AR(1)-GRW-Y,ar1_y,14,6.9461404278084915,0.10718058049262849
AR(1)-GRW-Y,ar1_y,15,7.1995930076330845,0.12372580983577096
AR(1)-GRW-Y,ar1_y,16,7.578272946364527,0.1470624633485972
AR(1)-GRW-Y,ar1_y,17,7.19836008471445,0.1441836862226177
AR(1)-GRW-Y,ar1_y,18,7.1198544877915175,0.12066476548421169
AR(1)-GRW-Y,ar1_y,19,7.077652348966898,0.1228157347865262
AR(1)-GRW-Y,ar1_y,20,7.384296523552058,0.13382705329572533
AR(1)-GRW-S,ar1_s,0,4.517960261050123,0.0458745920549019
AR(1)-GRW-S,ar1_s,1,6.803141624808761,0.09181958683628551
AR(1)-GRW-S,ar1_s,2,8.00456098076279,0.10945378810178888
AR(1)-GRW-S,ar1_s,3,8.598796612497784,0.12140580114544189
AR(1)-GRW-S,ar1_s,4,9.062251374981512,0.12945130719266776
AR(1)-GRW-S,ar1_s,5,9.203091374401021,0.13278587844896841
AR(1)-GRW-S,ar1_s,6,8.535054703303008,0.11767864778393909
AR(1)-GRW-S,ar1_s,7,8.087387844300249,0.11746051231866893
AR(1)-GRW-S,ar1_s,8,7.713929324403545,0.11041464133689188
AR(1)-GRW-S,ar1_s,9,7.88846661910261,0.1309348097183204
AR(1)-GRW-S,ar1_s,10,7.648223114113527,0.12212205194343595
AR(1)-GRW-S,ar1_s,11,7.188485116464365,0.1100567900599524
AR(1)-GRW-S,ar1_s,12,7.314712394568504,0.12210824908017458
AR(1)-GRW-S,ar1_s,13,7.168594320168698,0.11943833716181644
AR(1)-GRW-S,ar1_s,14,7.150015045297899,0.12587877575979395
AR(1)-GRW-S,ar1_s,15,7.081020029746872,0.11472891578264631
AR(1)-GRW-S,ar1_s,16,7.125698867063341,0.1253511299647724
AR(1)-GRW-S,ar1_s,17,7.138342436830448,0.11905405368429976
AR(1)-GRW-S,ar1_s,18,7.1208771362603525,0.12433514535216104
AR(1)-GRW-S,ar1_s,19,7.060451303405812,0.11879421061030851
AR(1)-GRW-S,ar1_s,20,7.013676002711556,0.12086531498187769
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0,4.496816864663599,0.05367414488887652
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,1,5.473745291676646,0.060262014383907575
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,2,6.318368581365862,0.06683075471947848
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,3,6.982881067899572,0.06955482794641527
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,4,7.344772768889955,0.07230177308951469
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,5,7.565859511537558,0.07513496960815988
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,6,6.931920267505079,0.06934522670060239
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,7,6.565499314587656,0.0684757657223917
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,8,6.5018696255502,0.07043252241489067
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,9,6.2654993727420925,0.07173605587902541
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,10,6.144298133176298,0.07345538683768664
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,11,5.945345990930771,0.07125839101404051
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,12,5.8787823977016185,0.07010628216661648
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,13,5.835302810218339,0.07100781537267445
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,14,5.74256655642483,0.07025653408039373
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,15,5.77435287668418,0.0680781748740392
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,16,5.645486487471065,0.06684404287337326
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,17,5.691427549523224,0.06843461724678718
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,18,5.760529364281112,0.06907974624216631
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,19,5.7116829288689,0.06682078232778729
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,20,5.697334766605863,0.06826828096850819
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.493845707358118,0.055067077489952834
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,1,5.610195042168386,0.0612034451428187
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,2,6.449133482583492,0.06954956274666473
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,3,6.985247140680873,0.07176802588177042
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,4,7.33886525684255,0.07444538640816385
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,5,7.588230733792195,0.07525970724951775
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,6,7.083060582045197,0.0717028442436986
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,7,6.863895326000222,0.07179640257975164
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,8,6.617686878385027,0.06978872698564471
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,9,6.578640360125527,0.0752223829372005
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,10,6.588108896776318,0.07949807759884564
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,11,6.43108444853778,0.07720168809639741
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,12,6.426936178776897,0.07839512989291911
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,13,6.3986719805359655,0.07620146440616822
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,14,6.350286833304322,0.07537062416661713
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,15,6.318261492030969,0.07517472437013119
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,16,6.344798930296148,0.07736004935608698
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,17,6.218629123780076,0.0736924778974121
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,18,6.217571675713109,0.07198087091189267
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,19,6.236248587416316,0.07245104663969335
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,20,6.188445819292278,0.07227311104133191
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0,4.6395702986165155,0.05636926839090992
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,1,5.700155252870289,0.060969025811973304
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,2,6.351157328745194,0.0686162086196405
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,3,6.89279872945768,0.0717122267214298
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,4,7.252312662017827,0.07399756378715433
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,5,7.691686026809376,0.07783252582661702
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,6,6.9781799282042325,0.07405906721219487
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,7,6.84448014997875,0.07224974638953346
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,8,6.670979366486758,0.07105304292040522
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,9,6.532763268129629,0.07410265767180042
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,10,6.464071877527769,0.07490935073962407
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,11,6.297857940740722,0.07165231788052463
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,12,6.260945599285845,0.072849109108327
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,13,6.222489186812494,0.07214207619721998
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,14,6.208538811852962,0.07482218257073782
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,15,6.104116609347199,0.07311657228807414
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,16,6.085755817719753,0.07523941805842564
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,17,6.080775983756578,0.07414203111025149
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,18,6.088854753966269,0.07500148698255225
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,19,6.0849634385762785,0.07472682639996982
