source,model_tag,n,log2_mean,log2_sd,ks_D,ks_p
Empirical,empirical,510,6.927062953561247,1.0138376967581133,0.025674176901956558,0.8810473416264406
ARW4,arw4,10000,7.129560787910977,0.47037414891419055,0.009251155412995149,0.3568338030516799
Unfitted-GRW,unfitted_grw,10000,6.946472694234178,1.9730282633459608,0.03817876546219168,4.221222257288175e-13
GRW-Y,grw_y,10000,8.715701732691512,3.581206765579108,0.06732991509794833,7.357433347844967e-40
GRW-G,grw_global,10000,7.995782807414315,4.324749696897258,0.03690373038655126,2.8696942503221603e-12
AR(1)-GRW-Y,ar1_y,10000,7.076936206918686,0.7674092168201451,0.005704508922996898,0.8989249914218158
AR(1)-GRW-S,ar1_s,10000,7.096820196564181,0.7548061288210873,0.009988678360260184,0.2694289417189718
AR(1)-GRW-S-G,ar1_s_globalinit,10000,7.094452752550487,0.7610431037120232,0.009569606460151758,0.3170126427498514
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,10000,6.874089304250071,0.6219456758508163,0.016330178266855455,0.009547915486891293
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,10000,6.9050610318845935,0.7163636154257483,0.03467563726175665,6.990597714064705e-11
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,10000,6.808127058982613,0.8696197707958943,0.012949355727924827,0.06930111007073425
