model,model_tag,career_sd_ks_D,career_sd_ks_p,zero_count_ks_D,zero_count_ks_p,cum5_t,cum5_p
ARW4,arw4,0.18506470588235294,5.120471292973746e-15,0.6901960784313725,4.8940302768935554e-229,-0.6775930558016706,0.4983182699991191
Unfitted-GRW,unfitted_grw,0.28518039215686275,2.1588542168048172e-35,0.6901960784313725,4.8940302768935554e-229,2.960383746417008,0.0031907567599899775
GRW-Y,grw_y,0.5727882352941176,1.620249048246475e-150,0.16919607843137255,1.3028317947092795e-12,-16.53738237030432,1.2153686289918072e-60
GRW-G,grw_global,0.4964882352941177,1.1239289613292373e-110,0.1755862745098039,1.488506496187723e-13,-11.973119626483127,8.057094778709758e-33
AR(1)-GRW-Y,ar1_y,0.4064098039215686,8.389371281120144e-73,0.4330470588235294,4.754426561387705e-83,-3.4742575537418854,0.0005491689515059043
AR(1)-GRW-S,ar1_s,0.41021176470588233,3.2201579204116935e-74,0.4400470588235294,7.169443926802929e-86,-2.9676813238636446,0.0031221054987779417
AR(1)-GRW-S-G,ar1_s_globalinit,0.4018098039215686,4.128186123004602e-71,0.4426470588235294,6.2164668127792725e-87,-2.6549249731705014,0.008146263817409835
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0.20700588235294118,1.0407089036324772e-18,0.16310392156862746,9.546256871199868e-12,2.8083595606212697,0.005156559428705436
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0.23400588235294117,7.667123266386623e-24,0.14950392156862746,6.223753606377214e-10,1.9784956944228935,0.04836565936666884
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0.1244313725490196,5.233631442311026e-07,0.1486529411764706,7.984174425659836e-10,2.909064478275138,0.003767234781397727
