source,model_tag,n,mean,variance,zero_fraction,exponential_scale
Empirical,empirical,1967,4.536448002095241,20.5418818259646,0.18200305033045247,4.536448002095241
ARW4,arw4,10000,4.50159190282943,20.18345456126241,0.0,4.50159190282943
Unfitted-GRW,unfitted_grw,10000,4.514397928285706,5.515703211588994,0.0,4.514397928285706
GRW-Y,grw_y,10000,4.580255769350352,20.677819610349985,0.0,4.580255769350352
GRW-G,grw_global,10000,4.583526330469135,21.42755169658142,0.0,4.583526330469135
AR(1)-GRW-Y,ar1_y,10000,4.603456838618518,20.904066737671418,0.0,4.603456838618518
AR(1)-GRW-S,ar1_s,10000,4.546355864323995,20.94762332259495,0.0,4.546355864323995
AR(1)-GRW-S-G,ar1_s_globalinit,10000,4.561901298247343,20.087171330205948,0.0,4.561901298247343
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,10000,4.620346390826117,29.994342852088877,0.1768,4.620346390826117
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,10000,4.449549237333825,29.533122577959475,0.184,4.449549237333825
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,10000,4.639303341782529,30.210257602632478,0.1814,4.639303341782529
