gap_bin,inversion_probability,final_tie_probability,n,gap_mean,se,lower,upper,source,model_tag,reference_year,target_year
"[0.0, 0.02)",0.46185064935064934,0.00974025974025974,1232,0.013353068500127326,0.0142035477506637,0.4340116957593485,0.4896896029419502,Empirical,empirical,0,5
"[0.02, 0.05)",0.44161643223933916,0.01294931904442956,4479,0.03483773951643618,0.00741990587064057,0.4270734167328836,0.4561594477457947,Empirical,empirical,0,5
"[0.05, 0.1)",0.44333437402435216,0.009210115516703091,6406,0.07638090515631792,0.006206824102854018,0.4311689987827583,0.45549974926594605,Empirical,empirical,0,5
"[0.1, 0.2)",0.44975552798657226,0.010070787418813398,13703,0.15266071691757782,0.0042496999738022715,0.4414261160379198,0.4580849399352247,Empirical,empirical,0,5
"[0.2, 0.4)",0.3946178838819042,0.02097753920045204,28316,0.29202200515748045,0.002904605954983365,0.38892485621013684,0.4003109115536716,Empirical,empirical,0,5
"[0.4, 0.6)",0.36927499512765544,0.02294874293510037,20524,0.49139472296421977,0.0033687126852805158,0.36267231826450563,0.37587767199080524,Empirical,empirical,0,5
"[0.6, 1.01)",0.2822039741741365,0.021437974048768255,15953,0.7220213052311754,0.0035633698812118603,0.2752197692069613,0.28918817914131173,Empirical,empirical,0,5
"[0.0, 0.02)",0.49025641025641026,0.0002564102564102564,3900,0.010068410256410257,0.008004887328583078,0.4745668310923874,0.5059459894204331,AR(1)-GRW-S,ar1_s,0,5
"[0.02, 0.05)",0.49204152249134947,0.0,5780,0.03477301038062284,0.006575837371332401,0.47915288124353794,0.504930163739161,AR(1)-GRW-S,ar1_s,0,5
"[0.05, 0.1)",0.49494732315631046,0.0,9302,0.07463448720705225,0.00518393635531547,0.48478680789989215,0.5051078384127288,AR(1)-GRW-S,ar1_s,0,5
"[0.1, 0.2)",0.4970638827925737,0.0,16859,0.1490584198351029,0.0038507614102746236,0.4895163904284354,0.504611375156712,AR(1)-GRW-S,ar1_s,0,5
"[0.2, 0.4)",0.4963127371661774,0.00014319467315815853,27934,0.29540471110474686,0.002991518068976478,0.4904493617509835,0.5021761125813713,AR(1)-GRW-S,ar1_s,0,5
"[0.4, 0.6)",0.4911846275752773,9.904912836767037e-05,20192,0.4938255200079239,0.0035181376398462304,0.4842890778011787,0.49808017734937593,AR(1)-GRW-S,ar1_s,0,5
"[0.6, 1.01)",0.48344040416640677,0.0,16033,0.7321611488804342,0.0039466107333426806,0.4757050471290551,0.49117576120375844,AR(1)-GRW-S,ar1_s,0,5
"[0.0, 0.02)",0.4776923076923077,0.006923076923076923,1300,0.01329110105580694,0.013853696170611635,0.4505390631979089,0.5048455521867065,Empirical,empirical,0,10
