starting_decile,n,median_signed,median_absolute,signed_q10,signed_q90,absolute_q10,absolute_q90,source,model_tag,reference_year,target_year
2,147,0.21862745098039216,0.21862745098039216,-0.08235294117647057,0.6131372549019609,0.06176470588235297,0.6131372549019609,Empirical,empirical,0,5
3,11,0.11862745098039218,0.11862745098039218,-0.01568627450980392,0.33627450980392154,0.01568627450980392,0.33627450980392154,Empirical,empirical,0,5
4,50,0.10882352941176471,0.18529411764705883,-0.19735294117647056,0.47450980392156866,0.03362745098039215,0.47450980392156866,Empirical,empirical,0,5
5,50,0.07058823529411762,0.22941176470588234,-0.25333333333333335,0.44735294117647056,0.06372549019607843,0.44735294117647056,Empirical,empirical,0,5
6,46,0.008823529411764675,0.2946078431372549,-0.4588235294117647,0.36715686274509807,0.06176470588235283,0.4588235294117647,Empirical,empirical,0,5
7,49,-0.14901960784313728,0.2617647058823529,-0.5490196078431373,0.23980392156862748,0.050980392156862675,0.5490196078431373,Empirical,empirical,0,5
8,55,-0.12352941176470589,0.18823529411764706,-0.5941176470588234,0.16784313725490196,0.04705882352941182,0.5941176470588236,Empirical,empirical,0,5
9,51,-0.3196078431372549,0.3196078431372549,-0.7519607843137255,0.038235294117647034,0.038235294117647034,0.7519607843137255,Empirical,empirical,0,5
10,51,-0.14509803921568631,0.14509803921568631,-0.6607843137254903,-0.009803921568627527,0.027450980392156876,0.6607843137254903,Empirical,empirical,0,5
2,147,0.23431372549019608,0.23431372549019608,-0.08333333333333331,0.661764705882353,0.06607843137254907,0.661764705882353,Empirical,empirical,0,10
3,11,0.29215686274509806,0.29215686274509806,0.09705882352941175,0.6450980392156862,0.09705882352941175,0.6450980392156862,Empirical,empirical,0,10
4,50,0.025980392156862736,0.2196078431372549,-0.28637254901960785,0.38705882352941184,0.028235294117647018,0.38705882352941184,Empirical,empirical,0,10
5,50,0.15098039215686276,0.23039215686274508,-0.3656862745098039,0.40274509803921565,0.09617647058823534,0.4186274509803921,Empirical,empirical,0,10
6,46,0.01519607843137255,0.25980392156862747,-0.37598039215686274,0.35539215686274506,0.0019607843137255943,0.4338235294117648,Empirical,empirical,0,10
7,49,-0.10686274509803917,0.20196078431372544,-0.5098039215686274,0.19803921568627458,0.020588235294117588,0.5098039215686274,Empirical,empirical,0,10
8,55,-0.15294117647058825,0.2431372549019608,-0.6441176470588236,0.18823529411764706,0.0674509803921569,0.6441176470588236,Empirical,empirical,0,10
9,51,-0.38725490196078427,0.38725490196078427,-0.7745098039215687,0.08137254901960789,0.032352941176470584,0.7745098039215687,Empirical,empirical,0,10
10,51,-0.21568627450980393,0.21568627450980393,-0.6392156862745098,0.0039215686274509665,0.03137254901960784,0.6392156862745098,Empirical,empirical,0,10
2,147,0.2529411764705882,0.2529411764705882,-0.07352941176470587,0.6947058823529412,0.07352941176470587,0.6947058823529412,Empirical,empirical,0,20
3,11,0.3215686274509804,0.3215686274509804,-0.2284313725490196,0.5666666666666667,0.17450980392156862,0.5666666666666667,Empirical,empirical,0,20
4,50,0.16078431372549024,0.2431372549019608,-0.24313725490196078,0.5469607843137255,0.05882352941176472,0.5469607843137255,Empirical,empirical,0,20
5,50,0.04950980392156862,0.2303921568627451,-0.3558823529411764,0.36333333333333334,0.0885294117647059,0.39617647058823535,Empirical,empirical,0,20
6,46,-0.013235294117647067,0.24362745098039224,-0.2823529411764706,0.39852941176470585,0.033333333333333326,0.4264705882352941,Empirical,empirical,0,20
7,49,-0.24019607843137258,0.24019607843137258,-0.49313725490196075,0.18980392156862746,0.06372549019607843,0.493137254901961,Empirical,empirical,0,20
8,55,-0.3686274509803922,0.3686274509803922,-0.6607843137254902,0.18823529411764708,0.03607843137254901,0.6607843137254902,Empirical,empirical,0,20
9,51,-0.20000000000000007,0.20000000000000007,-0.7598039215686275,0.032352941176470584,0.027450980392156876,0.7598039215686275,Empirical,empirical,0,20
10,51,-0.2735294117647059,0.2735294117647059,-0.7666666666666666,-0.0019607843137254832,0.027450980392156876,0.7666666666666666,Empirical,empirical,0,20
