source,model_tag,reference_year,target_year,lag,spearman
Empirical,empirical,0,0,0,1.0
Empirical,empirical,0,1,1,0.38837107098494567
Empirical,empirical,0,2,2,0.348471505540557
Empirical,empirical,0,3,3,0.279029426735551
Empirical,empirical,0,4,4,0.3206461315851746
Empirical,empirical,0,5,5,0.2811897677410219
Empirical,empirical,0,6,6,0.27152847149264003
Empirical,empirical,0,7,7,0.2593550436892985
Empirical,empirical,0,8,8,0.22997865554497404
Empirical,empirical,0,9,9,0.24024401857190011
Empirical,empirical,0,10,10,0.24248316578800494
Empirical,empirical,0,11,11,0.26678420739506475
Empirical,empirical,0,12,12,0.2777604516935518
Empirical,empirical,0,13,13,0.24886296769129743
Empirical,empirical,0,14,14,0.2347689863880156
Empirical,empirical,0,15,15,0.2630862835037376
Empirical,empirical,0,16,16,0.21713113650493795
Empirical,empirical,0,17,17,0.19423666735314687
Empirical,empirical,0,18,18,0.19036204896293607
Empirical,empirical,0,19,19,0.18562400067104184
Empirical,empirical,0,20,20,0.18729420009216793
AR(1)-GRW-S,ar1_s,0,0,0,1.0
AR(1)-GRW-S,ar1_s,0,1,1,0.3585414833832556
AR(1)-GRW-S,ar1_s,0,2,2,0.18270858621606983
AR(1)-GRW-S,ar1_s,0,3,3,0.10002004068778769
AR(1)-GRW-S,ar1_s,0,4,4,0.0371398917067515
AR(1)-GRW-S,ar1_s,0,5,5,0.02369652221563227
AR(1)-GRW-S,ar1_s,0,6,6,0.009209192851521199
AR(1)-GRW-S,ar1_s,0,7,7,0.0020608731051289185
AR(1)-GRW-S,ar1_s,0,8,8,0.002103430057352386
AR(1)-GRW-S,ar1_s,0,9,9,-0.008996535920259608
AR(1)-GRW-S,ar1_s,0,10,10,-0.00027937592190004047
AR(1)-GRW-S,ar1_s,0,11,11,-0.009197640109004045
AR(1)-GRW-S,ar1_s,0,12,12,-0.00929070391914667
AR(1)-GRW-S,ar1_s,0,13,13,-0.00419191544554359
AR(1)-GRW-S,ar1_s,0,14,14,0.00018000022497740724
AR(1)-GRW-S,ar1_s,0,15,15,0.0035922615270799615
AR(1)-GRW-S,ar1_s,0,16,16,-0.004842896583822181
AR(1)-GRW-S,ar1_s,0,17,17,-0.006760759065119294
AR(1)-GRW-S,ar1_s,0,18,18,0.0012758371178014775
AR(1)-GRW-S,ar1_s,0,19,19,0.005465209231508182
AR(1)-GRW-S,ar1_s,0,20,20,-0.003884677580247457
Empirical,empirical,1,1,0,1.0
Empirical,empirical,1,2,1,0.5055569754517878
Empirical,empirical,1,3,2,0.4572749132872362
Empirical,empirical,1,4,3,0.45007676902848825
Empirical,empirical,1,5,4,0.37241914089106276
Empirical,empirical,1,6,5,0.38046849654328496
Empirical,empirical,1,7,6,0.3853653737177059
Empirical,empirical,1,8,7,0.3285835759667563
Empirical,empirical,1,9,8,0.342695776710881
Empirical,empirical,1,10,9,0.3414390545490914
Empirical,empirical,1,11,10,0.36444643189430204
Empirical,empirical,1,12,11,0.3653664809706284
Empirical,empirical,1,13,12,0.38110601086011214
Empirical,empirical,1,14,13,0.3709620944814066
Empirical,empirical,1,15,14,0.37257294987958844
Empirical,empirical,1,16,15,0.4014709986387967
Empirical,empirical,1,17,16,0.36851743833061995
Empirical,empirical,1,18,17,0.3030242313943793
Empirical,empirical,1,19,18,0.2948105234535482
Empirical,empirical,1,20,19,0.26898142161141075
AR(1)-GRW-S,ar1_s,1,1,0,1.0
AR(1)-GRW-S,ar1_s,1,2,1,0.5017251182390317
AR(1)-GRW-S,ar1_s,1,3,2,0.2677194753861868
AR(1)-GRW-S,ar1_s,1,4,3,0.12200819682982492
AR(1)-GRW-S,ar1_s,1,5,4,0.07523360737692873
AR(1)-GRW-S,ar1_s,1,6,5,0.04709451487407527
AR(1)-GRW-S,ar1_s,1,7,6,0.028564091249732176
AR(1)-GRW-S,ar1_s,1,8,7,0.00763517485339597
AR(1)-GRW-S,ar1_s,1,9,8,-0.004452029296194258
