source,model_tag,year,spearman
Empirical,empirical,0,1.0
Empirical,empirical,1,0.38837107098494567
Empirical,empirical,2,0.348471505540557
Empirical,empirical,3,0.279029426735551
Empirical,empirical,4,0.3206461315851746
Empirical,empirical,5,0.2811897677410219
Empirical,empirical,6,0.27152847149264003
Empirical,empirical,7,0.2593550436892985
Empirical,empirical,8,0.22997865554497404
Empirical,empirical,9,0.24024401857190011
Empirical,empirical,10,0.24248316578800494
Empirical,empirical,11,0.26678420739506475
Empirical,empirical,12,0.2777604516935518
Empirical,empirical,13,0.24886296769129743
Empirical,empirical,14,0.2347689863880156
Empirical,empirical,15,0.2630862835037376
Empirical,empirical,16,0.21713113650493795
Empirical,empirical,17,0.19423666735314687
Empirical,empirical,18,0.19036204896293607
Empirical,empirical,19,0.18562400067104184
Empirical,empirical,20,0.18729420009216793
ARW4,arw4,0,1.0
ARW4,arw4,1,0.3857593602535936
ARW4,arw4,2,0.19124546170045462
ARW4,arw4,3,0.10990984732309847
ARW4,arw4,4,0.05720135162001352
ARW4,arw4,5,0.038026093388260934
ARW4,arw4,6,0.029793092865930928
ARW4,arw4,7,0.019967227939672278
ARW4,arw4,8,0.010957979605579796
ARW4,arw4,9,0.005141598951415989
ARW4,arw4,10,0.006990891345908913
ARW4,arw4,11,0.0045507477935074776
ARW4,arw4,12,-0.00022549717425497174
ARW4,arw4,13,0.0013805041458050415
ARW4,arw4,14,-0.01008918895689189
ARW4,arw4,15,-0.008221398646213986
ARW4,arw4,16,-0.008164117569641176
ARW4,arw4,17,-0.002107425597074256
ARW4,arw4,18,-0.004447722116477221
ARW4,arw4,19,-0.016293290130932902
ARW4,arw4,20,-0.007754270753542707
Unfitted-GRW,unfitted_grw,0,1.0
Unfitted-GRW,unfitted_grw,1,0.6922709842907099
Unfitted-GRW,unfitted_grw,2,0.5663980496519804
Unfitted-GRW,unfitted_grw,3,0.489920702427207
Unfitted-GRW,unfitted_grw,4,0.442583797593838
Unfitted-GRW,unfitted_grw,5,0.4061386238453862
Unfitted-GRW,unfitted_grw,6,0.37846224528462247
Unfitted-GRW,unfitted_grw,7,0.3612579766085798
Unfitted-GRW,unfitted_grw,8,0.3365407786974078
Unfitted-GRW,unfitted_grw,9,0.3142405594184056
Unfitted-GRW,unfitted_grw,10,0.2986614684346147
Unfitted-GRW,unfitted_grw,11,0.28714784982347846
Unfitted-GRW,unfitted_grw,12,0.27212945582129455
Unfitted-GRW,unfitted_grw,13,0.25998886504388863
Unfitted-GRW,unfitted_grw,14,0.24939136258591363
Unfitted-GRW,unfitted_grw,15,0.2397927703299277
Unfitted-GRW,unfitted_grw,16,0.22823884211038842
Unfitted-GRW,unfitted_grw,17,0.2295926282199263
Unfitted-GRW,unfitted_grw,18,0.22104291655442918
Unfitted-GRW,unfitted_grw,19,0.21338871599788714
Unfitted-GRW,unfitted_grw,20,0.20941234578612347
GRW-Y,grw_y,0,1.0
GRW-Y,grw_y,1,0.6191923112443427
GRW-Y,grw_y,2,0.4902577105693841
GRW-Y,grw_y,3,0.41546942352872274
GRW-Y,grw_y,4,0.3603602619991946
GRW-Y,grw_y,5,0.3183950517104041
GRW-Y,grw_y,6,0.29103005612622423
GRW-Y,grw_y,7,0.2710783633631076
GRW-Y,grw_y,8,0.2520470048064982
GRW-Y,grw_y,9,0.23000642035708052
GRW-Y,grw_y,10,0.21717660219061813
GRW-Y,grw_y,11,0.19666696886346366
GRW-Y,grw_y,12,0.1830235838891069
GRW-Y,grw_y,13,0.17195413185058356
GRW-Y,grw_y,14,0.16299596949840128
GRW-Y,grw_y,15,0.14986192811202775
GRW-Y,grw_y,16,0.1407947955417829
GRW-Y,grw_y,17,0.1381618369786351
GRW-Y,grw_y,18,0.1268641346885864
