model_tag,source,stage,residual_decile,mean_abs_rank_change,median_abs_rank_change,n
ar1_s,AR(1)-GRW-S,0,1,0.13709970000000002,0.1451,1000
ar1_s,AR(1)-GRW-S,0,2,0.14789,0.14515,1000
ar1_s,AR(1)-GRW-S,0,3,0.15678430000000002,0.13394999999999999,1000
ar1_s,AR(1)-GRW-S,0,4,0.1903484,0.16375000000000003,1000
ar1_s,AR(1)-GRW-S,0,5,0.22971709999999998,0.23634999999999998,1000
ar1_s,AR(1)-GRW-S,0,6,0.2527352,0.26039999999999996,1000
ar1_s,AR(1)-GRW-S,0,7,0.2944334,0.29805000000000004,1000
ar1_s,AR(1)-GRW-S,0,8,0.3330672,0.33540000000000003,1000
ar1_s,AR(1)-GRW-S,0,9,0.3914782,0.39585000000000004,1000
ar1_s,AR(1)-GRW-S,0,10,0.4601327,0.44695000000000007,1000
ar1_s,AR(1)-GRW-S,1-4,1,0.0998634875,0.10780000000000002,4000
ar1_s,AR(1)-GRW-S,1-4,2,0.1085224375,0.1005,4000
ar1_s,AR(1)-GRW-S,1-4,3,0.1257526875,0.10619999999999999,4000
ar1_s,AR(1)-GRW-S,1-4,4,0.151249075,0.15139999999999998,4000
ar1_s,AR(1)-GRW-S,1-4,5,0.18442612500000002,0.19725,4000
ar1_s,AR(1)-GRW-S,1-4,6,0.2151952125,0.22970000000000002,4000
ar1_s,AR(1)-GRW-S,1-4,7,0.2596011,0.28145,4000
ar1_s,AR(1)-GRW-S,1-4,8,0.3037461125,0.32899999999999996,4000
ar1_s,AR(1)-GRW-S,1-4,9,0.365892075,0.39925,4000
ar1_s,AR(1)-GRW-S,1-4,10,0.44190626250000004,0.46194999999999997,4000
ar1_s,AR(1)-GRW-S,5-7,1,0.08934391666666666,0.09720000000000006,3000
ar1_s,AR(1)-GRW-S,5-7,2,0.09905951666666668,0.09174999999999998,3000
ar1_s,AR(1)-GRW-S,5-7,3,0.11703421666666666,0.10719999999999996,3000
ar1_s,AR(1)-GRW-S,5-7,4,0.14301611666666667,0.14894999999999997,3000
ar1_s,AR(1)-GRW-S,5-7,5,0.17167535000000003,0.18389999999999995,3000
ar1_s,AR(1)-GRW-S,5-7,6,0.20703518333333334,0.22625,3000
ar1_s,AR(1)-GRW-S,5-7,7,0.24714484999999997,0.2661,3000
ar1_s,AR(1)-GRW-S,5-7,8,0.2903479166666667,0.31900000000000006,3000
ar1_s,AR(1)-GRW-S,5-7,9,0.3516922,0.38085,3000
ar1_s,AR(1)-GRW-S,5-7,10,0.4309663333333333,0.45194999999999996,3000
ar1_s,AR(1)-GRW-S,8-20,1,0.07225724583333333,0.07840000000000003,12000
ar1_s,AR(1)-GRW-S,8-20,2,0.0813993375,0.07179999999999997,12000
ar1_s,AR(1)-GRW-S,8-20,3,0.09994970416666667,0.09680000000000002,12000
ar1_s,AR(1)-GRW-S,8-20,4,0.12456684583333333,0.13255000000000003,12000
ar1_s,AR(1)-GRW-S,8-20,5,0.15517002500000002,0.17235,12000
ar1_s,AR(1)-GRW-S,8-20,6,0.18833970833333336,0.20989999999999998,12000
ar1_s,AR(1)-GRW-S,8-20,7,0.213030075,0.23655000000000004,12000
ar1_s,AR(1)-GRW-S,8-20,8,0.26440688333333334,0.2932,12000
ar1_s,AR(1)-GRW-S,8-20,9,0.3205349625,0.35190000000000005,12000
ar1_s,AR(1)-GRW-S,8-20,10,0.42249874583333336,0.4477,12000
empirical,Empirical,0,1,0.19748173779315645,0.13725490196078427,51
empirical,Empirical,0,2,0.15638216070742023,0.1470588235294118,51
empirical,Empirical,0,3,0.2020953479430988,0.14509803921568631,51
empirical,Empirical,0,4,0.19628988850442136,0.11274509803921562,51
empirical,Empirical,0,5,0.17920030757400998,0.11568627450980395,51
