source,model_tag,reference_year,target_year,starting_decile,ending_decile,probability
Empirical,empirical,0,5,1,1,
Empirical,empirical,0,5,1,2,
Empirical,empirical,0,5,1,3,
Empirical,empirical,0,5,1,4,
Empirical,empirical,0,5,1,5,
Empirical,empirical,0,5,1,6,
Empirical,empirical,0,5,1,7,
Empirical,empirical,0,5,1,8,
Empirical,empirical,0,5,1,9,
Empirical,empirical,0,5,1,10,
Empirical,empirical,0,5,2,1,0.21768707482993196
Empirical,empirical,0,5,2,2,0.10204081632653061
Empirical,empirical,0,5,2,3,0.09523809523809523
Empirical,empirical,0,5,2,4,0.11564625850340136
Empirical,empirical,0,5,2,5,0.09523809523809523
Empirical,empirical,0,5,2,6,0.10884353741496598
Empirical,empirical,0,5,2,7,0.08163265306122448
Empirical,empirical,0,5,2,8,0.10204081632653061
Empirical,empirical,0,5,2,9,0.034013605442176874
Empirical,empirical,0,5,2,10,0.047619047619047616
Empirical,empirical,0,5,3,1,0.0
Empirical,empirical,0,5,3,2,0.0
Empirical,empirical,0,5,3,3,0.36363636363636365
Empirical,empirical,0,5,3,4,0.0
Empirical,empirical,0,5,3,5,0.36363636363636365
Empirical,empirical,0,5,3,6,0.09090909090909091
Empirical,empirical,0,5,3,7,0.18181818181818182
Empirical,empirical,0,5,3,8,0.0
Empirical,empirical,0,5,3,9,0.0
Empirical,empirical,0,5,3,10,0.0
Empirical,empirical,0,5,4,1,0.06
Empirical,empirical,0,5,4,2,0.2
Empirical,empirical,0,5,4,3,0.0
Empirical,empirical,0,5,4,4,0.2
Empirical,empirical,0,5,4,5,0.1
Empirical,empirical,0,5,4,6,0.14
Empirical,empirical,0,5,4,7,0.14
Empirical,empirical,0,5,4,8,0.02
Empirical,empirical,0,5,4,9,0.12
Empirical,empirical,0,5,4,10,0.02
Empirical,empirical,0,5,5,1,0.06
Empirical,empirical,0,5,5,2,0.06
Empirical,empirical,0,5,5,3,0.1
Empirical,empirical,0,5,5,4,0.24
Empirical,empirical,0,5,5,5,0.0
Empirical,empirical,0,5,5,6,0.08
Empirical,empirical,0,5,5,7,0.16
Empirical,empirical,0,5,5,8,0.1
Empirical,empirical,0,5,5,9,0.06
Empirical,empirical,0,5,5,10,0.14
