source,model_tag,top_fraction,year,overlap,continuous_survival,jaccard,reference_group_n
Empirical,empirical,0.01,0,1.0,1.0,1.0,5
Empirical,empirical,0.01,1,0.4,0.4,0.25,5
Empirical,empirical,0.01,2,0.4,0.4,0.25,5
Empirical,empirical,0.01,3,0.4,0.4,0.2222222222222222,5
Empirical,empirical,0.01,4,0.2,0.2,0.1111111111111111,5
Empirical,empirical,0.01,5,0.0,0.0,0.0,5
Empirical,empirical,0.01,6,0.0,0.0,0.0,5
Empirical,empirical,0.01,7,0.2,0.0,0.1111111111111111,5
Empirical,empirical,0.01,8,0.0,0.0,0.0,5
Empirical,empirical,0.01,9,0.0,0.0,0.0,5
Empirical,empirical,0.01,10,0.0,0.0,0.0,5
Empirical,empirical,0.01,11,0.2,0.0,0.1111111111111111,5
Empirical,empirical,0.01,12,0.0,0.0,0.0,5
Empirical,empirical,0.01,13,0.0,0.0,0.0,5
Empirical,empirical,0.01,14,0.0,0.0,0.0,5
Empirical,empirical,0.01,15,0.0,0.0,0.0,5
Empirical,empirical,0.01,16,0.0,0.0,0.0,5
Empirical,empirical,0.01,17,0.0,0.0,0.0,5
Empirical,empirical,0.01,18,0.0,0.0,0.0,5
Empirical,empirical,0.01,19,0.0,0.0,0.0,5
Empirical,empirical,0.01,20,0.0,0.0,0.0,5
AR(1)-GRW-S,ar1_s,0.01,0,1.0,1.0,1.0,100
AR(1)-GRW-S,ar1_s,0.01,1,0.05,0.05,0.02564102564102564,100
AR(1)-GRW-S,ar1_s,0.01,2,0.02,0.01,0.010101010101010102,100
AR(1)-GRW-S,ar1_s,0.01,3,0.01,0.01,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,4,0.01,0.01,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,5,0.0,0.0,0.0,100
AR(1)-GRW-S,ar1_s,0.01,6,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,7,0.0,0.0,0.0,100
AR(1)-GRW-S,ar1_s,0.01,8,0.02,0.0,0.010101010101010102,100
AR(1)-GRW-S,ar1_s,0.01,9,0.02,0.0,0.010101010101010102,100
AR(1)-GRW-S,ar1_s,0.01,10,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,11,0.03,0.0,0.015228426395939087,100
AR(1)-GRW-S,ar1_s,0.01,12,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,13,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,14,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,15,0.0,0.0,0.0,100
AR(1)-GRW-S,ar1_s,0.01,16,0.01,0.0,0.005025125628140704,100
AR(1)-GRW-S,ar1_s,0.01,17,0.0,0.0,0.0,100
AR(1)-GRW-S,ar1_s,0.01,18,0.02,0.0,0.010101010101010102,100
AR(1)-GRW-S,ar1_s,0.01,19,0.0,0.0,0.0,100
AR(1)-GRW-S,ar1_s,0.01,20,0.01,0.0,0.005025125628140704,100
Empirical,empirical,0.05,0,1.0,1.0,1.0,26
Empirical,empirical,0.05,1,0.46153846153846156,0.46153846153846156,0.2926829268292683,26
Empirical,empirical,0.05,2,0.46153846153846156,0.34615384615384615,0.3,26
Empirical,empirical,0.05,3,0.34615384615384615,0.19230769230769232,0.20930232558139536,26
Empirical,empirical,0.05,4,0.23076923076923078,0.07692307692307693,0.13043478260869565,26
Empirical,empirical,0.05,5,0.11538461538461539,0.038461538461538464,0.061224489795918366,26
Empirical,empirical,0.05,6,0.38461538461538464,0.038461538461538464,0.23809523809523808,26
Empirical,empirical,0.05,7,0.23076923076923078,0.0,0.13043478260869565,26
Empirical,empirical,0.05,8,0.3076923076923077,0.0,0.18181818181818182,26
Empirical,empirical,0.05,9,0.11538461538461539,0.0,0.061224489795918366,26
Empirical,empirical,0.05,10,0.11538461538461539,0.0,0.0625,26
Empirical,empirical,0.05,11,0.15384615384615385,0.0,0.0851063829787234,26
Empirical,empirical,0.05,12,0.07692307692307693,0.0,0.04,26
Empirical,empirical,0.05,13,0.15384615384615385,0.0,0.08333333333333333,26
Empirical,empirical,0.05,14,0.15384615384615385,0.0,0.08333333333333333,26
Empirical,empirical,0.05,15,0.07692307692307693,0.0,0.04,26
Empirical,empirical,0.05,16,0.038461538461538464,0.0,0.0196078431372549,26
Empirical,empirical,0.05,17,0.07692307692307693,0.0,0.04081632653061224,26
Empirical,empirical,0.05,18,0.07692307692307693,0.0,0.04,26
Empirical,empirical,0.05,19,0.0,0.0,0.0,26
Empirical,empirical,0.05,20,0.11538461538461539,0.0,0.061224489795918366,26
AR(1)-GRW-S,ar1_s,0.05,0,1.0,1.0,1.0,500
AR(1)-GRW-S,ar1_s,0.05,1,0.144,0.144,0.07758620689655173,500
AR(1)-GRW-S,ar1_s,0.05,2,0.092,0.03,0.04821802935010482,500
AR(1)-GRW-S,ar1_s,0.05,3,0.06,0.008,0.030927835051546393,500
AR(1)-GRW-S,ar1_s,0.05,4,0.042,0.006,0.021450459652706845,500
AR(1)-GRW-S,ar1_s,0.05,5,0.052,0.002,0.026694045174537988,500
AR(1)-GRW-S,ar1_s,0.05,6,0.046,0.0,0.02354145342886387,500
AR(1)-GRW-S,ar1_s,0.05,7,0.062,0.0,0.03199174406604747,500
AR(1)-GRW-S,ar1_s,0.05,8,0.062,0.0,0.03199174406604747,500
AR(1)-GRW-S,ar1_s,0.05,9,0.054,0.0,0.02774922918807811,500
AR(1)-GRW-S,ar1_s,0.05,10,0.068,0.0,0.035196687370600416,500
AR(1)-GRW-S,ar1_s,0.05,11,0.064,0.0,0.03305785123966942,500
AR(1)-GRW-S,ar1_s,0.05,12,0.052,0.0,0.026694045174537988,500
AR(1)-GRW-S,ar1_s,0.05,13,0.066,0.0,0.03412616339193381,500
AR(1)-GRW-S,ar1_s,0.05,14,0.056,0.0,0.02880658436213992,500
AR(1)-GRW-S,ar1_s,0.05,15,0.064,0.0,0.03305785123966942,500
AR(1)-GRW-S,ar1_s,0.05,16,0.05,0.0,0.02564102564102564,500
AR(1)-GRW-S,ar1_s,0.05,17,0.05,0.0,0.02564102564102564,500
AR(1)-GRW-S,ar1_s,0.05,18,0.042,0.0,0.021450459652706845,500
AR(1)-GRW-S,ar1_s,0.05,19,0.056,0.0,0.02880658436213992,500
AR(1)-GRW-S,ar1_s,0.05,20,0.048,0.0,0.02459016393442623,500
Empirical,empirical,0.1,0,1.0,1.0,1.0,51
Empirical,empirical,0.1,1,0.49019607843137253,0.49019607843137253,0.32051282051282054,51
Empirical,empirical,0.1,2,0.4117647058823529,0.27450980392156865,0.25925925925925924,51
Empirical,empirical,0.1,3,0.37254901960784315,0.23529411764705882,0.23170731707317074,51
Empirical,empirical,0.1,4,0.3137254901960784,0.11764705882352941,0.18604651162790697,51
Empirical,empirical,0.1,5,0.3137254901960784,0.09803921568627451,0.18604651162790697,51
Empirical,empirical,0.1,6,0.39215686274509803,0.0784313725490196,0.25,51
Empirical,empirical,0.1,7,0.27450980392156865,0.058823529411764705,0.15555555555555556,51
Empirical,empirical,0.1,8,0.37254901960784315,0.058823529411764705,0.2289156626506024,51
