model,model_tag,diagnostic,ks_D,ks_p
ARW4,arw4,year_of_max,0.05052156862745098,0.1620383691985849
ARW4,arw4,cumulative_by_year_5,0.10018235294117647,0.00010798294539857251
Unfitted-GRW,unfitted_grw,year_of_max,0.1457686274509804,1.8374611037375708e-09
Unfitted-GRW,unfitted_grw,cumulative_by_year_5,0.17824901960784315,5.883079265490736e-14
GRW-Y,grw_y,year_of_max,0.18658039215686276,2.937389857441328e-15
GRW-Y,grw_y,cumulative_by_year_5,0.2692117647058824,1.5782083651005812e-31
GRW-G,grw_global,year_of_max,0.15948039215686274,3.012538311145076e-11
GRW-G,grw_global,cumulative_by_year_5,0.25178235294117646,1.3979805302146058e-27
AR(1)-GRW-Y,ar1_y,year_of_max,0.06132156862745098,0.04977461469016491
AR(1)-GRW-Y,ar1_y,cumulative_by_year_5,0.04772941176470588,0.21177324210955584
AR(1)-GRW-S,ar1_s,year_of_max,0.05812156862745098,0.07231569754464262
AR(1)-GRW-S,ar1_s,cumulative_by_year_5,0.04661568627450981,0.23460163543113624
AR(1)-GRW-S-G,ar1_s_globalinit,year_of_max,0.07192156862745099,0.01252133881191634
AR(1)-GRW-S-G,ar1_s_globalinit,cumulative_by_year_5,0.03947647058823529,0.42467104633446084
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,year_of_max,0.07572156862745098,0.007237481818545601
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,cumulative_by_year_5,0.07593725490196078,0.0070098324644467845
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,year_of_max,0.07802156862745098,0.005123216845377806
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,cumulative_by_year_5,0.048903921568627454,0.18958268504495054
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,year_of_max,0.08292156862745098,0.0023708268716356967
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,cumulative_by_year_5,0.1128549019607843,7.701765617789273e-06
