,dblp,FourYearProd,TotalYears
0,=Ccedil=etintemel:Ugur,18.01904063450094,13
1,=Ouml=zsu:M=_Tamer,79.45524589679445,20
2,=Uuml=ng=ouml=r:Alper,1.1232590248778695,10
3,Abbeel:Pieter,68.6124940188198,6
4,Abdelrahman:Tarek_S=,14.910930110395718,20
5,Abi=Antoun:Marwan,13.795408476708023,5
6,Abidi:Mongi_A=,73.26061132163187,20
7,Abu=Mostafa:Yaser_S=,13.396197682354614,20
8,Abukmail:Ahmed,0.0,8
9,Ackerman:Mark_S=,33.0073308045053,20
10,Adali:Sibel,19.624713581716176,18
11,Adali:T=uuml=lay,77.0714848775539,20
12,Adams:Julie_A=,25.247241791407237,14
13,Addario=Berry:Louigi,8.217011944507322,4
14,Agah:Arvin,21.564231956199016,17
15,Agrawal:Divyakant,108.98102247244181,20
16,Agrawal:Gagan,73.1210777264969,18
17,Agrawal:Kunal,29.52573420150042,5
18,Agu:Emmanuel,27.080206050528794,12
19,Ahmed:Amal,7.936372682350502,5
20,Ahn:Gail=Joon,64.49983462254232,14
21,Ahn:Luis_von,3.620792005867848,7
22,Aiken:Alexander,43.556747865898394,20
23,Akella:Aditya,55.32913190369476,8
24,Akella:Srinivas,8.003699105254203,14
25,Al=Fuqaha:Ala_I=,25.1390557171427,10
26,Alaghband:Gita,4.210213361762259,20
27,Albonesi:David_H=,3.474699231091642,18
28,Aldrich:Jonathan,33.88565116400399,11
29,Alekseyev:Max_A=,15.877444741203231,5
30,Alexander:Perry,8.476842692490184,20
31,Alfaro:Luca_de,13.760880160752665,13
32,Ali:Adel_Lofty,1.5020676207365846,20
33,Ali:Hesham_H=,51.33817270730171,20
34,Aliaga:Daniel_G=,20.788734007851115,11
35,Allbeck:Jan_M=,16.291407748898514,4
36,Allen:William_H=,7.967735330603121,10
37,Allender:Eric,37.90625676683972,20
38,Allison:Robert_S=,18.258615636766372,13
39,Aloimonos:Yiannis,28.74769522915981,20
40,Alterovitz:Ron,30.486143400021014,5
41,Altman:Tom,4.84144204465148,20
42,Alves=Foss:Jim,8.862741466491016,20
43,Alvisi:Lorenzo,13.692020029049477,18
44,Amanatides:John,3.6115386417019963,10
45,Amarasinghe:Saman_P=,14.992325259895068,17
46,Amato:Nancy_M=,64.8618770303598,19
47,Amenta:Nina,6.986994195737616,17
48,Amir:Eyal,13.798574144410761,10
49,Ammann:Paul,17.252756535802373,20
50,Ammar:Mostafa_H=,93.48995642637779,20
51,Amyot:Daniel,56.92867001571205,12
52,Andersen:David_G=,29.458211278389193,9
53,Anderson:Charles_W=,4.967713395546949,20
54,Anderson:Kenneth_M=,18.058268326958522,16
55,Anderson:Richard_J=,16.3347848913156,20
56,Anderson:Tom,2.5443895932141887,20
57,Andresen:Daniel,4.493036099511478,16
58,Andrews:David_L=,12.286866997307667,20
59,Anshelevich:Elliot,26.094765539161067,8
60,Ant=oacute=n:Annie_I=,12.708211476584996,17
61,Antonio:John_K=,6.524672793747569,20
62,Anyanwu:Kemafor,21.80064129076171,7
63,Appavoo:Jonathan,8.075823154763892,5
64,Appel:Andrew_W=,13.384480103314612,20
65,Ariola:Zena_M=,3.61905368853781,20
66,Arkin:Ronald_C=,22.507300374752155,20
67,Arora:Anish,20.95108837715484,20
68,Arora:Sanjeev,25.39148989042662,20
69,Arpaci=Dusseau:Andrea_C=,43.18936074979249,14
70,Arpaci=Dusseau:Remzi_H=,42.03167165906303,14
71,Asato:Noriko,2.354810482447062,15
72,Aslam:Javed_A=,33.495313525532865,18
73,Aspnes:James,27.186369156596825,20
74,Astrachan:Owen_L=,16.540684362802715,20
75,Athitsos:Vassilis,37.74714266387566,7
76,Atlas:James,1.0903626678257634,5
77,Atlee:Joanne_M=,16.766306697623378,20
78,August:David_I=,17.624200119735114,14
79,Aydin:Hakan,17.166719260141118,13
80,B=ouml=l=ouml=ni:Ladislau,26.129293855116423,12
81,Babu:Sabarish_V=,20.436273554818918,5
82,Bacchus:Fahiem,24.85122637340971,20
83,Back:Godmar,3.441802874039535,10
84,Bader:David_A=,58.883758102360574,17
85,Baek:Kyungim,4.780113055500563,8
86,Bailey:Brian_P=,21.600293980953865,12
87,Bailey:Reynold_J=,19.491692694812027,7
88,Bajaj:Chandrajit_L=,55.81432423028343,20
89,Bakos:Jason_D=,13.757714493049924,9
90,Balakrishnan:Hari,35.49909090532043,16
91,Balakrishnan:Ravin,16.11395232586969,13
92,Balch:Tucker_R=,11.619480767662486,13
93,Balci:Osman,17.513899928876384,20
94,Baljko:Melanie,15.062915600605272,10
95,Banerjee:Arindam,54.337556557129076,9
96,Banerjee:Nilanjan,48.43919482021021,5
97,Banerjee:Suman,48.06621995058879,11
98,Bangalore:Purushotham,10.46332538573251,11
99,Banic:Amy,10.151528083853623,4
100,Banicescu:Ioana,17.169884927843857,18
101,Bansal:Arvind_K=,0.0,20
102,Bar=Joseph:Ziv,15.94477116410693,11
103,Baral:Chitta,40.1957095913151,20
104,Baranoski:Gladimir_V=_G=,11.34527919933793,13
105,Barbic:Jernej,14.5772377604614,5
106,Barbosa:Denilson,25.10625761019436,9
107,Bardzell:Jeffrey,31.850511135963803,10
108,Barford:Paul,31.1094432534675,13
109,Barker:Ken,45.27009763809532,20
110,Barlow:Jesse_L=,6.8221534309700065,20
111,Barr:Alan_H=,9.916706876577532,20
112,Barzilay:Regina,28.44946966318134,10
113,Bassiouni:Mostafa_A=,20.34602813604892,20
114,Bastani:Farokh_B=,21.31205828221295,20
115,Basu:Anup,37.359623321110284,20
116,Basu:Samik,22.01374952148428,11
117,Basu:Saugata,7.972434707105349,16
118,Batzoglou:Serafim,12.704947558778496,13
119,Baumgartner:Gerald,4.464839118961601,17
120,Bazzi:Rida_A=,7.09549123695949,18
121,Beame:Paul,24.353792633789535,20
122,Bebis:George,58.25054614139075,16
123,Becchi:Michela,32.09478551473146,4
124,Beck:Micah,1.1937511154843123,20
125,Bederson:Benjamin_B=,12.501434581267906,19
126,Beek:Peter_van,23.535115681306575,20
127,Bekris:Kostas_E=,37.85369677923694,6
128,Belhumeur:Peter_N=,13.967657056069754,20
129,Belkin:Mikhail,15.910341098255337,9
130,Bender:Michael_A=,24.800889893824714,16
131,Bengio:Yoshua,90.47500665348736,20
132,Benjamin:D=_Paul,4.514392410389949,14
133,Berger:Emery_D=,13.795408476708023,12
134,Berger=Wolf:Tanya_Y=,18.39490044147702,9
135,Bermudez:Manuel_E=,1.6127345025966606,19
136,Bernstein:Daniel_J=,61.76936894164973,16
137,Bertacco:Valeria,37.92265516104389,11
138,Best:Michael_L=,6.8460100145247385,10
139,Bestavros:Azer,33.78840627533569,20
140,Bethel:Cindy_L=,13.490040760338378,3
141,Bettati:Riccardo,2.3170101403621786,19
142,Beveridge:J=_Ross,19.915570030999653,20
143,Beverly:Robert,12.361984108854514,5
144,Beyah:Raheem_A=,59.23761861166173,9
145,Bez=aacute=kov=aacute=:Ivona,15.025221616947174,8
146,Bhandarkar:Suchendra_M=,31.40135433103221,20
147,Bhattacharjee:Abhishek,11.481564004048582,4
148,Bhattacharya:Binay_K=,22.209828128730162,20
149,Bhowmick:Sanjukta,18.570412938645255,7
150,Bhuyan:Laxmi_N=,34.07921238292445,20
151,Biagioni:Edoardo_S=,12.467004515416312,17
152,Bickmore:Timothy_W=,34.17222065282821,11
153,Biedl:Therese_C=,37.6797179908682,15
154,Bieman:James_M=,47.63651373663277,20
155,Bigham:Jeffrey_P=,79.4702809388663,5
156,Bilgic:Mustafa,8.039761130009047,4
157,Bindel:David,11.07117588111714,5
158,Bishop:Matthew,0.0,20
159,Biswas:Gautam,29.590094747293605,20
160,Blake:M=_Brian,43.02181154693299,14
161,Blanchette:Mathieu,8.042926797711786,12
162,Blanton:Marina,21.9745218290267,7
163,Blei:David_M=,45.27792484990071,8
164,Blustein:James,10.53381747633895,14
165,Bod=iacute=k:Rastislav,19.38187466164424,15
166,Bodenheimer:Bobby,18.158491106914326,14
167,Bond:Michael_D=,10.013709570343483,3
168,Boneh:Dan,71.09667438158965,16
169,Bonner:Anthony_J=,10.260698662525204,20
170,Boppana:Rajendra_V=,5.170065864504181,20
171,Borcea:Cristian,24.899480714877267,10
