,year,n,mean_log_productivity,var_log_productivity,sd_log_productivity
0,0,0,,,
1,1,510,1.0599460852232132,1.4934491918653388,1.2220675889104247
2,2,544,1.3382249027332074,1.3686890314825026,1.169909839039959
3,3,556,1.5078550945124007,1.3768052129495543,1.1733734328633636
4,4,566,1.6123735582009497,1.2972801296500993,1.1389820585286228
5,5,567,1.6321773298106104,1.4563586413923464,1.2067968517494345
6,6,572,1.6589262778656397,1.2658249778673574,1.1250888755415536
7,7,575,1.6367471600767143,1.1691622374158581,1.0812780574005274
8,8,581,1.5510027450774353,1.2969029368138545,1.1388164631817783
9,9,583,1.5555003605847504,1.190332516814867,1.0910236096505277
10,10,583,1.5463121562433892,1.3223076890548764,1.149916383505721
11,11,584,1.545564972629876,1.3051675201752517,1.1424392851155163
12,12,584,1.5306401331701385,1.3348137281137131,1.155341390288478
13,13,584,1.5390768580638161,1.235977968676913,1.1117454603806183
14,14,584,1.462143354643491,1.4145165805051128,1.1893345116093759
15,15,585,1.4946203291496114,1.352995785163651,1.1631834701213952
16,16,586,1.5252819898707402,1.3133889572560702,1.146031830821496
17,17,589,1.536377271361488,1.2971381750897244,1.1389197404074285
18,18,590,1.427489835578368,1.4534730395498925,1.2056006965616322
19,19,591,1.470220404026433,1.3353440759637563,1.1555708874680757
20,20,591,1.4175885978499514,1.3593192668727798,1.165898480517399
