year,origin_state,destination_state,direct_probability,composed_probability,residual
0,zero,zero,0.36403508771929827,0.29685428421475546,0.06718080350454281
0,zero,positive 1,0.23684210526315788,0.21944570441977512,0.01739640084338276
0,zero,positive 2,0.19736842105263158,0.19060551655902547,0.0067629044936061145
0,zero,positive 3,0.14035087719298245,0.15892276386400417,-0.01857188667102172
0,zero,positive 4,0.06140350877192982,0.13417173094243987,-0.07276822217051004
0,positive 1,zero,0.10743801652892562,0.21693435843154427,-0.10949634190261864
0,positive 1,positive 1,0.23140495867768596,0.23318320201031054,-0.0017782433326245795
0,positive 1,positive 2,0.2644628099173554,0.18749670787721515,0.07696610204014023
0,positive 1,positive 3,0.19008264462809918,0.1888911702774041,0.001191474350695082
0,positive 1,positive 4,0.2066115702479339,0.173494561403526,0.03311700884440788
0,positive 2,zero,0.1875,0.17184681584570474,0.015653184154295258
0,positive 2,positive 1,0.22321428571428573,0.20053166332233816,0.02268262239194757
0,positive 2,positive 2,0.13392857142857142,0.1722986223506609,-0.03837005092208948
0,positive 2,positive 3,0.21428571428571427,0.21033426503074254,0.003951449254971734
0,positive 2,positive 4,0.24107142857142858,0.24498863345055366,-0.003917204879125086
0,positive 3,zero,0.1111111111111111,0.14221964701296125,-0.031108535901850143
0,positive 3,positive 1,0.13580246913580246,0.19830675550262378,-0.06250428636682132
0,positive 3,positive 2,0.13580246913580246,0.17608663871022415,-0.040284169574421685
0,positive 3,positive 3,0.2962962962962963,0.2248524083439582,0.07144388795233808
0,positive 3,positive 4,0.32098765432098764,0.2585345504302326,0.062453103890755035
0,positive 4,zero,0.061224489795918366,0.08778634787857374,-0.026561858082655376
0,positive 4,positive 1,0.08163265306122448,0.10671058084141427,-0.025077927780189788
0,positive 4,positive 2,0.08163265306122448,0.14886483944075485,-0.06723218637953036
0,positive 4,positive 3,0.20408163265306123,0.24774072400280361,-0.043659091349742385
0,positive 4,positive 4,0.5714285714285714,0.4088975078364535,0.16253106359211789
1,zero,zero,0.39375,0.28859616085515943,0.10515383914484056
1,zero,positive 1,0.20625,0.19543828093863833,0.010811719061361663
1,zero,positive 2,0.18125,0.2045554246799215,-0.0233054246799215
1,zero,positive 3,0.13125,0.18471555335829148,-0.05346555335829148
1,zero,positive 4,0.0875,0.12669458016798923,-0.03919458016798924
1,positive 1,zero,0.14285714285714285,0.18480080615641975,-0.0419436632992769
1,positive 1,positive 1,0.23529411764705882,0.1757643577028463,0.05952975994421253
1,positive 1,positive 2,0.2857142857142857,0.2083541153111888,0.0773601704030969
1,positive 1,positive 3,0.24369747899159663,0.218346327872777,0.025351151118819637
1,positive 1,positive 4,0.09243697478991597,0.21273439295676824,-0.12029741816685227
1,positive 2,zero,0.15384615384615385,0.16884830750396013,-0.015002153657806272
1,positive 2,positive 1,0.11538461538461539,0.17260820680120628,-0.05722359141659089
1,positive 2,positive 2,0.2980769230769231,0.21424806704310156,0.08382885603382151
1,positive 2,positive 3,0.23076923076923078,0.2221622936139103,0.008606937155320488
1,positive 2,positive 4,0.20192307692307693,0.2221331250378217,-0.020210048114744777
1,positive 3,zero,0.09448818897637795,0.1384176999923544,-0.04392951101597645
1,positive 3,positive 1,0.15748031496062992,0.14959523232095717,0.007885082639672747
1,positive 3,positive 2,0.13385826771653545,0.1935232826761147,-0.059665014959579266
1,positive 3,positive 3,0.2755905511811024,0.23253053216319688,0.04306001901790549
1,positive 3,positive 4,0.33858267716535434,0.28593325284737686,0.05264942431797748
1,positive 4,zero,0.012345679012345678,0.07029686976690958,-0.0579511907545639
1,positive 4,positive 1,0.06172839506172839,0.10943294408755731,-0.04770454902582892
1,positive 4,positive 2,0.08641975308641975,0.16812020317076493,-0.08170045008434518
1,positive 4,positive 3,0.24691358024691357,0.2571116336449411,-0.01019805339802754
1,positive 4,positive 4,0.5925925925925926,0.3950383493298272,0.19755424326276538
2,zero,zero,0.5581395348837209,0.30795716067540485,0.25018237420831607
2,zero,positive 1,0.13953488372093023,0.16343234590024502,-0.023897462179314793
2,zero,positive 2,0.12403100775193798,0.18202734311956054,-0.057996335367622553
2,zero,positive 3,0.10077519379844961,0.18179409021957985,-0.08101889642113023
2,zero,positive 4,0.07751937984496124,0.16478906008520977,-0.08726968024024853
2,positive 1,zero,0.14754098360655737,0.22866276847598016,-0.08112178486942279
2,positive 1,positive 1,0.22950819672131148,0.15083566056076322,0.07867253616054826
2,positive 1,positive 2,0.23770491803278687,0.20194021046093913,0.03576470757184774
2,positive 1,positive 3,0.23770491803278687,0.20289562593331673,0.034809292099470146
2,positive 1,positive 4,0.14754098360655737,0.2156657345690008,-0.06812475096244341
2,positive 2,zero,0.14953271028037382,0.20766097823375762,-0.0581282679533838
2,positive 2,positive 1,0.14953271028037382,0.1422955166728757,0.00723719360749811
2,positive 2,positive 2,0.29906542056074764,0.20496567117864847,0.09409974938209917
2,positive 2,positive 3,0.205607476635514,0.2084402840067787,-0.0028328073712646784
2,positive 2,positive 4,0.19626168224299065,0.23663754990793948,-0.04037586766494883
2,positive 3,zero,0.08849557522123894,0.15490551513188416,-0.06640993991064523
2,positive 3,positive 1,0.11504424778761062,0.12395115564564677,-0.008906907858036148
2,positive 3,positive 2,0.20353982300884957,0.19269984110686597,0.010839981901983597
2,positive 3,positive 3,0.25663716814159293,0.2158744035480764,0.04076276459351652
2,positive 3,positive 4,0.336283185840708,0.3125690845675267,0.0237141012731813
2,positive 4,zero,0.016666666666666666,0.08877183864906849,-0.07210517198240182
2,positive 4,positive 1,0.041666666666666664,0.09402646598749578,-0.05235979932082912
2,positive 4,positive 2,0.1,0.1681279850012573,-0.0681279850012573
2,positive 4,positive 3,0.24166666666666667,0.22581981673459675,0.015846849932069917
2,positive 4,positive 4,0.6,0.4232538936275817,0.17674610637241828
3,zero,zero,0.3944954128440367,0.2837471551312747,0.11074825771276203
3,zero,positive 1,0.22018348623853212,0.18797534316021974,0.03220814307831238
3,zero,positive 2,0.12844036697247707,0.1805019866960571,-0.05206161972358003
3,zero,positive 3,0.13761467889908258,0.21197384184402795,-0.07435916294494538
3,zero,positive 4,0.11926605504587157,0.1358016731684205,-0.016535618122548945
3,positive 1,zero,0.14285714285714285,0.1814407538913183,-0.03858361103417546
3,positive 1,positive 1,0.24489795918367346,0.18136434778955063,0.06353361139412284
3,positive 1,positive 2,0.3163265306122449,0.22016736703316547,0.09615916357907944
3,positive 1,positive 3,0.20408163265306123,0.23280277547284906,-0.028721142819787826
3,positive 1,positive 4,0.09183673469387756,0.1842247558131166,-0.09238802111923904
3,positive 2,zero,0.2033898305084746,0.17533668088433407,0.028053149624140516
3,positive 2,positive 1,0.211864406779661,0.17114554992667988,0.04071885685298113
3,positive 2,positive 2,0.2288135593220339,0.22073602541497642,0.008077533907057483
3,positive 2,positive 3,0.22033898305084745,0.23366887203859438,-0.013329888987746924
3,positive 2,positive 4,0.13559322033898305,0.19911287173541525,-0.0635196513964322
3,positive 3,zero,0.07751937984496124,0.13912210687517038,-0.06160272703020914
3,positive 3,positive 1,0.12403100775193798,0.15786128861988144,-0.03383028086794346
3,positive 3,positive 2,0.23255813953488372,0.20438301462144257,0.028175124913441152
3,positive 3,positive 3,0.3023255813953488,0.2417521860678302,0.060573395327518625
3,positive 3,positive 4,0.26356589147286824,0.2568814038156755,0.006684487657192761
3,positive 4,zero,0.0364963503649635,0.06316705166491585,-0.026670701299952346
3,positive 4,positive 1,0.051094890510948905,0.12538467437114714,-0.07428978386019824
3,positive 4,positive 2,0.11678832116788321,0.17763957369157846,-0.06085125252369525
3,positive 4,positive 3,0.291970802919708,0.25781912656465344,0.03415167635505456
3,positive 4,positive 4,0.5036496350364964,0.3759895737077052,0.1276600613287912
4,zero,zero,0.4322033898305085,0.26355808685854926,0.16864530297195923
4,zero,positive 1,0.2711864406779661,0.1953236579628826,0.07586278271508351
4,zero,positive 2,0.13559322033898305,0.23283360303450748,-0.09724038269552443
4,zero,positive 3,0.13559322033898305,0.1965845746208903,-0.060991354281907245
4,zero,positive 4,0.025423728813559324,0.11170007752317038,-0.08627634870961105
4,positive 1,zero,0.125,0.16896507081465834,-0.043965070814658336
4,positive 1,positive 1,0.2125,0.18957280853425035,0.022927191465749647
4,positive 1,positive 2,0.3375,0.2643893885876565,0.07311061141234354
4,positive 1,positive 3,0.225,0.21925457858945957,0.0057454214105404355
4,positive 1,positive 4,0.1,0.15781815347397524,-0.05781815347397523
4,positive 2,zero,0.11607142857142858,0.14321984738495108,-0.027148418813522507
4,positive 2,positive 1,0.19642857142857142,0.18066650851198754,0.015762062916583885
4,positive 2,positive 2,0.36607142857142855,0.2753522659740059,0.09071916259742263
4,positive 2,positive 3,0.22321428571428573,0.22706639955161653,-0.003852113837330806
4,positive 2,positive 4,0.09821428571428571,0.1736949785774389,-0.07548069286315319
4,positive 3,zero,0.07377049180327869,0.12385611360439253,-0.05008562180111384
4,positive 3,positive 1,0.1557377049180328,0.16055129313050767,-0.0048135882124748786
4,positive 3,positive 2,0.2540983606557377,0.24715077527023296,0.006947585385504745
4,positive 3,positive 3,0.2786885245901639,0.2355726477761891,0.0431158768139748
4,positive 3,positive 4,0.23770491803278687,0.23286917021867778,0.004835747814109087
4,positive 4,zero,0.031446540880503145,0.07693000829351013,-0.04548346741300698
4,positive 4,positive 1,0.050314465408805034,0.1255602324677691,-0.07524576705896406
4,positive 4,positive 2,0.18238993710691823,0.21624298982929885,-0.03385305272238062
4,positive 4,positive 3,0.2641509433962264,0.25214688131510726,0.012004062081119149
4,positive 4,positive 4,0.4716981132075472,0.3291198880943147,0.14257822511323248
5,zero,zero,0.40625,0.2642171609805538,0.1420328390194462
5,zero,positive 1,0.28125,0.24099976164708306,0.04025023835291694
5,zero,positive 2,0.20833333333333334,0.2203226461038961,-0.011989312770562754
5,zero,positive 3,0.08333333333333333,0.16682905801209372,-0.08349572467876039
5,zero,positive 4,0.020833333333333332,0.10763137325637326,-0.08679803992303993
5,positive 1,zero,0.1875,0.21900029740431526,-0.03150029740431526
5,positive 1,positive 1,0.3333333333333333,0.23851772400879545,0.09481560932453786
5,positive 1,positive 2,0.28125,0.23169097973785474,0.04955902026214526
5,positive 1,positive 3,0.125,0.17730772864701436,-0.05230772864701436
5,positive 1,positive 4,0.07291666666666667,0.13348327020202022,-0.06056660353535355
5,positive 2,zero,0.1694915254237288,0.15495543320906516,0.014536092214663648
5,positive 2,positive 1,0.23728813559322035,0.21219909809498186,0.025089037498238487
5,positive 2,positive 2,0.2542372881355932,0.24495504887454037,0.009282239261052844
5,positive 2,positive 3,0.1864406779661017,0.20358520055856616,-0.017144522592464462
5,positive 2,positive 4,0.15254237288135594,0.18430521926284638,-0.031762846381490434
5,positive 3,zero,0.10714285714285714,0.1454643679261026,-0.03832151078324546
5,positive 3,positive 1,0.17857142857142858,0.1935628760883863,-0.014991447516957718
5,positive 3,positive 2,0.2571428571428571,0.23222217927575073,0.02492067786710639
5,positive 3,positive 3,0.2714285714285714,0.21033298239930895,0.06109558902926246
5,positive 3,positive 4,0.18571428571428572,0.21841759431045146,-0.03270330859616574
