q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
0,129,0.02900832021587587,4447,2.4300212508158925,0.024467462901797757,0.034362220005812336,AR(1)-S,0
1,2,0.0071174377224199285,281,2.848328420306329,0.0019539921698455056,0.02557569450513455,AR(1)-S,0
2,3,0.008522727272727272,352,3.1287845687907616,0.002902593571266378,0.02475465617131571,AR(1)-S,0
3,3,0.0026905829596412557,1115,3.868114139050224,0.000915437156645907,0.007880803526575025,AR(1)-S,0
4,1,0.0019047619047619048,525,4.863211613113483,0.0003363077631967108,0.010709721898615066,AR(1)-S,0
5,5,0.00931098696461825,537,5.5796816031915535,0.003983410097006547,0.021609295789522892,AR(1)-S,0
6,5,0.006896551724137931,725,6.571884245911672,0.002949243621251262,0.016041988492832233,AR(1)-S,0
7,2,0.0029542097488921715,677,8.459836212693382,0.0008105080919936572,0.01070700200139664,AR(1)-S,0
8,1,0.001564945226917058,639,10.488037070714054,0.00027629758693941634,0.008810855453560761,AR(1)-S,0
9,0,0.0,702,17.64924353160646,0.0,0.005442580885003094,AR(1)-S,0
0,11,0.25,44,2.4300212508158925,0.14574066080685744,0.39440849808414946,Empirical,0
1,3,0.08333333333333333,36,2.848328420306329,0.0287480892712918,0.21827010276918848,Empirical,0
2,13,0.41935483870967744,31,3.1287845687907616,0.26415303073549257,0.5923403564797902,Empirical,0
3,9,0.23076923076923078,39,3.868114139050224,0.1264566242878376,0.38336560457382957,Empirical,0
4,4,0.11428571428571428,35,4.863211613113483,0.0453510585448975,0.2595179478812023,Empirical,0
5,4,0.11764705882352941,34,5.5796816031915535,0.04671370973436122,0.26621174796298774,Empirical,0
6,4,0.10526315789473684,38,6.571884245911672,0.041701897932665793,0.24130831200194466,Empirical,0
7,3,0.08333333333333333,36,8.459836212693382,0.0287480892712918,0.21827010276918848,Empirical,0
8,4,0.12121212121212122,33,10.488037070714054,0.04816083267584231,0.2732584325026516,Empirical,0
9,2,0.05405405405405406,37,17.64924353160646,0.01495066277053994,0.1770496506353991,Empirical,0
0,583,0.13362365344946137,4363,2.4300212508158925,0.12384904726911786,0.14404287718264144,GRW-Y,0
1,7,0.022508038585209004,311,2.848328420306329,0.01094461513188726,0.0457238810261808,GRW-Y,0
2,6,0.016901408450704224,355,3.1287845687907616,0.007768395322384731,0.03637810274249961,GRW-Y,0
3,14,0.012269938650306749,1141,3.868114139050224,0.0073227848418172216,0.02049032048209833,GRW-Y,0
4,1,0.002105263157894737,475,4.863211613113483,0.0003717177955287615,0.011827723522852931,GRW-Y,0
5,5,0.00931098696461825,537,5.5796816031915535,0.003983410097006547,0.021609295789522892,GRW-Y,0
6,2,0.002652519893899204,754,6.571884245911672,0.000727703032265074,0.009619577982659415,GRW-Y,0
7,0,0.0,723,8.459836212693382,0.0,0.005285333145488645,GRW-Y,0
8,1,0.0014970059880239522,668,10.488037070714054,0.0002643004119871435,0.008430606244581904,GRW-Y,0
9,0,0.0,673,17.64924353160646,0.0,0.005675774065896658,GRW-Y,0
0,335,0.16082573211713874,2083,2.4300212508158925,0.14567560571429983,0.1772246086575049,Hurdle-AR(1)-S,0
1,24,0.16,150,2.848328420306329,0.10993931727556672,0.22704105734352203,Hurdle-AR(1)-S,0
2,29,0.1407766990291262,206,3.1287845687907616,0.09983826328827125,0.19486783883828515,Hurdle-AR(1)-S,0
3,89,0.14662273476112025,607,3.868114139050224,0.12070529402414087,0.17698497461506113,Hurdle-AR(1)-S,0
4,43,0.14776632302405499,291,4.863211613113483,0.11158967081602644,0.1931217403281269,Hurdle-AR(1)-S,0
5,40,0.12944983818770225,309,5.5796816031915535,0.09652295008970618,0.17147721357139262,Hurdle-AR(1)-S,0
6,83,0.17364016736401675,478,6.571884245911672,0.1423190978091207,0.21016520408594194,Hurdle-AR(1)-S,0
7,88,0.16356877323420074,538,8.459836212693382,0.134718053347131,0.19719001720337676,Hurdle-AR(1)-S,0
8,87,0.15452930728241562,563,10.488037070714054,0.12702229463232229,0.18671896924104203,Hurdle-AR(1)-S,0
9,141,0.15096359743040685,934,17.64924353160646,0.12943530730233638,0.17535134323651796,Hurdle-AR(1)-S,0
0,1063,0.33543704638687283,3169,2.4300212508158925,0.3192063017994303,0.35206628867593415,Hurdle-AR(1)-S-P,0
1,23,0.10267857142857142,224,2.848328420306329,0.06939820346393605,0.14935728280371655,Hurdle-AR(1)-S-P,0
2,33,0.12643678160919541,261,3.1287845687907616,0.09146387581391452,0.17224696115429594,Hurdle-AR(1)-S-P,0
3,82,0.09080841638981174,903,3.868114139050224,0.07375998678996015,0.11132371470763325,Hurdle-AR(1)-S-P,0
4,30,0.07853403141361257,382,4.863211613113483,0.05556197122273957,0.10989867376732892,Hurdle-AR(1)-S-P,0
5,28,0.0603448275862069,464,5.5796816031915535,0.04207707449214078,0.08583288477612437,Hurdle-AR(1)-S-P,0
6,29,0.04817275747508306,602,6.571884245911672,0.033747489799391794,0.06832803621268793,Hurdle-AR(1)-S-P,0
7,19,0.028064992614475627,677,8.459836212693382,0.018039222990594433,0.04341648124369442,Hurdle-AR(1)-S-P,0
8,18,0.029556650246305417,609,10.488037070714054,0.018776230726604705,0.04623502177322559,Hurdle-AR(1)-S-P,0
9,12,0.01380897583429229,869,17.64924353160646,0.00791660806766989,0.023981046672892428,Hurdle-AR(1)-S-P,0
0,192,0.24774193548387097,775,2.4300212508158925,0.21864167894034037,0.2793306943894868,SE-Hurdle-S,0
1,167,0.2864493996569468,583,2.848328420306329,0.25124163573179203,0.3244530662116284,SE-Hurdle-S,0
2,118,0.2260536398467433,522,3.1287845687907616,0.19224788358622832,0.2638620932585097,SE-Hurdle-S,0
3,138,0.21263482280431434,649,3.868114139050224,0.18289273276386475,0.24575887277107666,SE-Hurdle-S,0
4,82,0.13851351351351351,592,4.863211613113483,0.11300930491515798,0.16867898271027804,SE-Hurdle-S,0
5,75,0.12931034482758622,580,5.5796816031915535,0.10442232296234505,0.15907654385358588,SE-Hurdle-S,0
6,100,0.15408320493066255,649,6.571884245911672,0.12834951700781774,0.18388793844845217,SE-Hurdle-S,0
7,57,0.09628378378378379,592,8.459836212693382,0.07505855251636842,0.12271481543914192,SE-Hurdle-S,0
8,44,0.0842911877394636,522,10.488037070714054,0.06338834700174761,0.11126805142698076,SE-Hurdle-S,0
9,37,0.05910543130990415,626,17.64924353160646,0.043182053282723204,0.08040711580359944,SE-Hurdle-S,0
0,230,0.019935858542081998,11537,2.301768747884825,0.017540410012987572,0.022650904977420065,AR(1)-S,1-4
1,9,0.003746877601998335,2402,2.8341092997651485,0.001972490742108365,0.007106078686568901,AR(1)-S,1-4
2,18,0.003598560575769692,5002,3.8401106664998856,0.002277510447781664,0.005681510868434174,AR(1)-S,1-4
3,5,0.0015610365282547611,3203,5.100492670665636,0.0006669502285173707,0.003649321582350993,AR(1)-S,1-4
4,6,0.0019386106623586429,3095,6.359314130863995,0.0008887639668811698,0.004223339859271158,AR(1)-S,1-4
5,2,0.0008041817450743868,2487,7.765706777014453,0.00022055873229839102,0.0029276141583422658,AR(1)-S,1-4
6,0,0.0,2328,9.229925747711142,0.0,0.0016474532403916288,AR(1)-S,1-4
7,0,0.0,2428,11.390046843659675,0.0,0.0015797081520441134,AR(1)-S,1-4
8,0,0.0,2552,14.439485826507255,0.0,0.0015030665437169503,AR(1)-S,1-4
9,1,0.0002188662727073758,4569,23.009377096803295,3.863532236064607e-05,0.0012388198162560072,AR(1)-S,1-4
0,38,0.18181818181818182,209,2.301768747884825,0.1354269108330165,0.23969524573787948,Empirical,1-4
1,27,0.1656441717791411,163,2.8341092997651485,0.11640845090996538,0.2302772677597189,Empirical,1-4
2,39,0.20967741935483872,186,3.8401106664998856,0.15734710578165073,0.2737575625313008,Empirical,1-4
3,29,0.145,200,5.100492670665636,0.1028928513530641,0.20048781284894374,Empirical,1-4
4,21,0.11052631578947368,190,6.359314130863995,0.07343524071279467,0.16305475936974695,Empirical,1-4
5,21,0.11731843575418995,179,7.765706777014453,0.07802602846925169,0.1726915325234327,Empirical,1-4
6,22,0.12429378531073447,177,9.229925747711142,0.08353189755399171,0.18101785206114107,Empirical,1-4
7,6,0.03389830508474576,177,11.390046843659675,0.01562653206313348,0.07197278136917412,Empirical,1-4
8,5,0.027472527472527472,182,14.439485826507255,0.01179030844597875,0.06269032452317347,Empirical,1-4
9,2,0.010810810810810811,185,23.009377096803295,0.002969675963139271,0.03855507282102694,Empirical,1-4
0,1934,0.16682480807383765,11593,2.301768747884825,0.16014873472197738,0.1737216183920981,GRW-Y,1-4
1,24,0.017069701280227598,1406,2.8341092997651485,0.011497218331746831,0.025274004761684375,GRW-Y,1-4
2,41,0.014523556500177117,2823,3.8401106664998856,0.010723963786428412,0.01964264748743992,GRW-Y,1-4
