prior_quantile,n,q_prev_mean,q_next_mean,q_next_median,zero_fraction,q10,q90,model,condition
1,318,0.0,1.2918033338753465,0.0,0.6477987421383647,0.0,4.11941731857476,Empirical,q_t = 0
2,317,0.0,1.4437917453638907,0.0,0.637223974763407,0.0,3.811036551090419,Empirical,q_t = 0
3,317,0.05191208559409449,1.8759550004403232,0.0,0.5331230283911672,0.0,5.828728802528235,Empirical,q_t = 0
4,317,1.9070110983140316,2.1460605655867315,1.6127345025966606,0.4037854889589905,0.0,5.616422717971784,Empirical,q_t = 0
5,317,3.345819689004793,3.1479701347893307,2.524241630437853,0.3217665615141956,0.0,7.655431083205675,Empirical,q_t = 0
6,318,7.1531945337972305,4.177544671066388,3.3456189356921056,0.25471698113207547,0.0,9.68719109597039,Empirical,q_t = 0
1,156,0.0,3.563990712987587,2.9530990205622967,0.27564102564102566,0.0,8.009296855815247,Empirical,4 ≤ q_t < 6
2,155,1.0322899330095774,4.080597840883852,3.2254690051933212,0.17419354838709677,0.0,8.554755637703133,Empirical,4 ≤ q_t < 6
3,155,2.342896869737459,4.678586851773502,4.418594194898812,0.12258064516129032,0.0,9.072161002278282,Empirical,4 ≤ q_t < 6
4,155,3.2205861657405914,4.729483380966082,4.353094199477136,0.1032258064516129,0.4630756362917859,9.20868312201525,Empirical,4 ≤ q_t < 6
5,155,4.400512770146274,4.972544910140736,4.235291162166948,0.14838709677419354,0.0,10.13887695604373,Empirical,4 ≤ q_t < 6
6,155,5.327571670160999,5.657271938748527,5.048483260875706,0.09032258064516129,1.312838135644996,10.735853945740804,Empirical,4 ≤ q_t < 6
7,155,6.392402381097771,6.162418489250777,5.411175082295543,0.07096774193548387,1.6728094678460528,12.07602849368972,Empirical,4 ≤ q_t < 6
8,155,7.982555135758701,6.085185739921174,5.426342799856521,0.05806451612903226,1.7363789006703432,12.059797255090196,Empirical,4 ≤ q_t < 6
9,155,9.847801234369157,6.673695159046103,5.804125599302847,0.04516129032258064,1.905507242890043,12.20167835299302,Empirical,4 ≤ q_t < 6
10,156,14.80751454252463,8.715480002759108,7.934427459986176,0.038461538461538464,2.4248065875715636,16.150416468547764,Empirical,4 ≤ q_t < 6
1,87,0.9659672772052589,6.206760590656143,5.610385047889666,0.08045977011494253,1.648779481746296,11.92842319485058,Empirical,9 ≤ q_t < 11
2,87,3.2163997009732324,6.5984125802952205,6.1309007630139,0.06896551724137931,1.8037250274318477,12.623154968122732,Empirical,9 ≤ q_t < 11
3,87,4.909802646059966,7.027602387015299,6.223592296835065,0.04597701149425287,1.7474550743024984,12.770623790080657,Empirical,9 ≤ q_t < 11
4,87,6.235500329976994,7.576401613796776,7.389308745415154,0.05747126436781609,2.294956376533763,12.799358154586326,Empirical,9 ≤ q_t < 11
5,87,7.591268002460517,8.711883353549451,8.063672512983302,0.022988505747126436,2.767264925291117,15.530011851700742,Empirical,9 ≤ q_t < 11
6,87,8.863293917354477,8.801706452427345,7.877028813869977,0.0,2.8265062397621583,15.284135168781924,Empirical,9 ≤ q_t < 11
7,87,10.307099084974496,9.321987229515896,7.80411398271051,0.0,3.233551514018043,15.60822796542102,Empirical,9 ≤ q_t < 11
8,87,11.857868879689637,10.193542597252733,10.096966521751412,0.022988505747126436,3.297558963492592,17.205088177194387,Empirical,9 ≤ q_t < 11
9,87,13.950469468857442,11.286600583271271,10.502705085159969,0.011494252873563218,4.740113223341392,20.57650834646944,Empirical,9 ≤ q_t < 11
10,87,19.74509891889224,12.468842070792267,12.016540965892675,0.0,4.804353125996541,21.187771483173528,Empirical,9 ≤ q_t < 11
1,3141,0.6839489828375727,5.783942467718543,4.708127964131432,0.0,1.2941857630117037,11.43296284555976,ARW4,4 ≤ q_t < 6
2,3140,1.917427895891755,5.734662917571152,4.698729390592805,0.0,1.3720027667605015,11.461086273374224,ARW4,4 ≤ q_t < 6
3,3140,2.9875607540010303,5.512508560378819,4.472272311524252,0.0,1.2227542862757412,11.062928653171987,ARW4,4 ≤ q_t < 6
4,3141,3.967199353186772,5.619196435310474,4.594251323657285,0.0,1.3195944042897372,11.095493312913307,ARW4,4 ≤ q_t < 6
5,3140,4.85946031594416,5.554327095514933,4.680360123152882,0.0,1.3342437063073784,10.892490545344826,ARW4,4 ≤ q_t < 6
6,3140,5.7205314632447095,5.537850240298204,4.557463021291735,0.0,1.366864728632496,10.733781938623904,ARW4,4 ≤ q_t < 6
7,3141,6.59486552148361,5.733337543646995,4.681652588469227,0.0,1.4568342081534684,11.36593713207754,ARW4,4 ≤ q_t < 6
8,3140,7.626433404474948,5.730223041936541,4.680315362529374,0.0,1.4807696152228103,11.254603211801726,ARW4,4 ≤ q_t < 6
9,3140,9.046890181794982,5.552235720852951,4.644084332515572,0.0,1.3732391771099934,10.752356610787562,ARW4,4 ≤ q_t < 6
10,3141,12.611983584229609,5.714500905686558,4.76232471785084,0.0,1.4167216576828272,11.09085467838278,ARW4,4 ≤ q_t < 6
1,1765,1.253728725101616,8.608639714811488,8.026056543904522,0.0,3.2377669320418994,14.518109213812714,ARW4,9 ≤ q_t < 11
2,1765,3.3940154741289277,8.585072989623262,8.051293323672509,0.0,3.1606454684950007,14.270276104041795,ARW4,9 ≤ q_t < 11
3,1764,5.210047019435953,8.636971547856335,7.987907356874876,0.0,3.4222621912112117,14.367040785251254,ARW4,9 ≤ q_t < 11
4,1765,6.812437620287735,8.553372998485141,7.966754183782416,0.0,3.172961456606344,14.757815209936552,ARW4,9 ≤ q_t < 11
5,1765,8.283201721698866,8.473759599662868,7.807996710757678,0.0,3.1319068073115433,14.543058342189132,ARW4,9 ≤ q_t < 11
6,1764,9.691115567911277,8.514267516258863,7.915676373639056,0.0,3.3258636784934894,14.303345886192025,ARW4,9 ≤ q_t < 11
7,1765,11.031545519505327,8.609130831144473,7.953013062754029,0.0,3.2860091001146094,14.433888369033205,ARW4,9 ≤ q_t < 11
8,1764,12.301593185569624,8.748518386519454,8.112373001014067,0.0,3.1372525564650005,14.99597892140041,ARW4,9 ≤ q_t < 11
9,1765,13.801007557728822,8.706040155643272,8.033886424304452,0.0,3.310129228095414,14.484504449878337,ARW4,9 ≤ q_t < 11
