model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap
bootstrap,0,activity,591,0.1474525989938802,1.9016361392201317,-1.7171941156275454,0.0,,,,0
bootstrap,0,positive,425,0.6907432112327518,0.5787637945076033,,0.0,0.9157284273153363,0.5692367048780389,0.48747590868797636,0
bootstrap,1-4,activity,2364,-0.33383239928846375,0.8049605548024463,-0.2319924038842266,0.8361030789699874,,,,0
bootstrap,1-4,positive,1911,0.6821283566327733,0.4530829669462836,,0.22477417752066756,0.6477858538758156,0.5947510964737666,0.4823613795726493,0
bootstrap,5-7,activity,1773,-0.8827160423162097,0.7020760408740064,-0.3850287669168414,1.4773776313179325,,,,0
bootstrap,5-7,positive,1505,0.3095876131422117,0.4084196567654755,,0.38194177666301815,0.6676220620067634,0.5907118468602616,0.48101956906940535,0
bootstrap,8-20,activity,7092,-1.1119560879222934,1.0810731274445446,-0.6420102535303837,1.46816938651132,,,,0
bootstrap,8-20,positive,5963,0.05587414467158147,0.4311673099210001,,0.4731162444582904,0.48926615995881656,0.5822508612434348,0.46235867885529863,0
bootstrap,0,activity,591,0.29885533795797525,1.2474999358790952,-0.9999978982037797,0.0,,,,1
bootstrap,0,positive,432,0.807432912006762,0.5490336388361481,,0.0,0.7383529052921183,0.5700696278672889,0.48775729057604744,1
bootstrap,1-4,activity,2364,-0.4254272876208298,1.0934380372088643,-0.7014578463058259,0.870523935910435,,,,1
bootstrap,1-4,positive,1929,0.78202716817025,0.3937387137971384,,0.23648025068935521,0.560949838741025,0.605846856311602,0.49822207578905336,1
bootstrap,5-7,activity,1773,-0.6406833335505859,1.0747750933395768,-0.8484944304188022,1.1500938022300102,,,,1
bootstrap,5-7,positive,1510,0.3668528825025288,0.3653692715319604,,0.4020098109595496,0.6610929885040318,0.5925747889880698,0.482476249288773,1
bootstrap,8-20,activity,7092,-1.15091920710202,1.034342432237777,-0.5527794304021233,1.5116291772779251,,,,1
bootstrap,8-20,positive,6038,0.07590325120332986,0.43898425341272473,,0.4515551674000212,0.4887711232556127,0.5960245575469831,0.47519052169128545,1
bootstrap,0,activity,591,0.09015097621034007,1.283491758152957,-0.7715086412748402,0.0,,,,2
bootstrap,0,positive,423,0.8882313773675202,0.4948046076559988,,0.0,0.7973615176280625,0.6029317629300212,0.5193012746684426,2
bootstrap,1-4,activity,2364,-0.4715861808493529,0.8081881032872955,-0.1822554935965768,0.883531120961971,,,,2
bootstrap,1-4,positive,1897,0.7329626469799867,0.39669870296811727,,0.2444958039174322,0.574172149094232,0.5909047735516383,0.4821381078623353,2
bootstrap,5-7,activity,1773,-0.5055175719176639,1.0627571436390706,-0.8997259822690714,1.0591703060652813,,,,2
bootstrap,5-7,positive,1497,0.34879985516098966,0.38515847969324496,,0.39145374015855755,0.5934703854178469,0.5963522958810269,0.4884034533000742,2
bootstrap,8-20,activity,7092,-1.086047237065346,1.1464241539662279,-0.6244464604852986,1.387503830563238,,,,2
bootstrap,8-20,positive,6001,0.07612491507382602,0.45596201387050084,,0.4456663586954221,0.5355660790977288,0.5829789155274525,0.4648539482595097,2
bootstrap,0,activity,591,0.2253389712035132,1.5058477853345655,-0.9509482825630289,0.0,,,,3
bootstrap,0,positive,451,0.7439655835045804,0.569887966853019,,0.0,0.8909913323305074,0.580554199280185,0.4859596382194748,3
bootstrap,1-4,activity,2364,-0.38651549759460213,0.9329288818887198,-0.22123452961984047,0.714474939045113,,,,3
bootstrap,1-4,positive,1943,0.7813813077000658,0.4004801347952532,,0.22153658798835557,0.5758141227763525,0.6166125659429947,0.5055949899413384,3
bootstrap,5-7,activity,1773,-0.6288895804472578,0.9118340781297869,-0.7935703712483702,1.220547013386427,,,,3
