model,q_bin,n,q_prev_mean,delta_median,laplace_scale,gennorm_beta,gennorm_loc,gennorm_scale
Empirical,1,980,1.686958490853732,-0.03524604530321962,2.3982839406862917,1.3794428007732065,1.1454912243634345,3.400173141099603
Empirical,2,993,2.5128807944978107,-0.08593075892234125,2.856437130425799,1.372876476139393,1.0530307204671274,4.121528379191396
Empirical,3,942,3.4926689722717144,-0.11896186103259287,3.055493754352721,1.38914987025651,0.5816177853518917,4.441275168637569
Empirical,4,977,4.584841494600016,-0.16149136041654444,3.1847656171441217,1.0104498480089419,-0.1614911148806447,3.2314972424074915
Empirical,5,953,5.7528380869036635,-0.25779227676702376,3.3084987776602803,1.4090411960626898,-0.25734281946577564,4.812028223712845
Empirical,6,1020,7.177652318970462,-0.32722663429969323,3.9172628840818122,1.4112163393131578,-0.3551425793728309,5.679326363797445
Empirical,7,932,8.835432227234968,-1.6932070890921889,4.257424584325949,1.4596122799863032,-1.0113342259625522,6.321353454021191
Empirical,8,966,10.9456422396399,-2.3303722689074977,4.432755481740675,1.5580720394204308,-1.8203337855171544,6.8926776038577895
Empirical,9,958,14.291005647026187,-3.256472455905395,5.016322927530414,1.4106207851260657,-2.9784009216779097,7.265226905817151
Empirical,10,967,23.96532769284811,-5.557218590614589,6.717403096682771,1.4832038011543545,-5.2500043434121455,10.080899379837742
ARW4,1,34868,1.0434577878599633,1.91920682134598,2.798835614106369,0.9416754353038777,1.8556469176166148,2.5582754399919923
ARW4,2,16294,2.472078080953344,0.8698392554599321,2.7717248085431163,0.9230948566316957,0.7773130107072757,2.4541490611426653
ARW4,3,20256,3.472220373072337,0.3479915996558032,2.8926206865169255,0.9480617193424357,0.29351239724800593,2.67199130817679
ARW4,4,17728,4.554491722482367,-0.1776517913370168,2.934838772653171,0.9928175581106259,-0.18588336276876863,2.9047359824178103
ARW4,5,19638,5.704492762946702,-0.5850562727223525,3.085087379934272,1.0064570157493133,-0.5782131435009787,3.1133382660883844
ARW4,6,20667,7.118838708393673,-1.101122460752368,3.132483677624091,1.0792081029354523,-1.0416850145195933,3.4682451341169087
ARW4,7,18984,8.781336016829625,-1.633761451813772,3.2817334841560046,1.139374817636469,-1.5555436674392467,3.8771018928020475
ARW4,8,19665,10.8721567989698,-2.2658202303838433,3.438537171106185,1.1242661741233582,-2.2159389711618473,4.00016095090672
ARW4,9,19581,14.177003840679298,-3.16613720924107,3.5721727411091377,1.154536824861109,-3.1286041362917496,4.284016608031221
ARW4,10,12319,21.340279439092342,-4.9001764731317365,3.936058891760366,1.1102176569174325,-4.891121715169354,4.51153131889054
Hurdle-AR(1)-S,1,22776,1.2176310928606529,0.9425402159460509,1.5626847620364916,0.8693784218976237,0.8826273731094996,1.248772146832192
Hurdle-AR(1)-S,2,15724,2.4796396409361305,1.0056640716527285,2.4004521212771848,0.9773802154689939,0.9944565813985162,2.32207793587387
