model,stage,n,mu,scale,qq_r
Empirical,all transitions,11820,-0.05683642838789438,3.869668369799778,0.9984237226180016
ARW4,all transitions,200000,-0.3233430042486112,3.5497471974352655,0.9913094751186016
Hurdle-AR(1)-S,all transitions,200000,0.0,4.416487370400373,0.9726319388185666
SE-Hurdle-S,all transitions,200000,0.0,4.289423258611081,0.9781564896759756
GRW-Y,all transitions,200000,0.0,1902.7233610598719,0.10057582686111256
Empirical,transition 0,591,0.0,3.6305277221468883,0.9912084868220155
ARW4,transition 0,10000,0.999166750793964,3.6521466838398102,0.9784065299960434
Hurdle-AR(1)-S,transition 0,10000,0.4610059165968409,3.988873748691195,0.979572991100162
SE-Hurdle-S,transition 0,10000,0.12488024434161771,3.7001681624349456,0.9957711414734616
GRW-Y,transition 0,10000,0.904872544499497,9.589354191536716,0.7016862386093858
Empirical,transitions 1-4,2364,0.0,4.520533860622112,0.9948991201746741
ARW4,transitions 1-4,40000,-0.05957921931782684,3.9102106523146767,0.9892753181512273
Hurdle-AR(1)-S,transitions 1-4,40000,0.17989974705236578,4.953035799916831,0.9843084247611753
SE-Hurdle-S,transitions 1-4,40000,0.0,4.773286806741553,0.9900007766225498
GRW-Y,transitions 1-4,40000,0.1379094237032591,42.22172871197338,0.27818349303732426
Empirical,transitions 5-7,1773,-0.13469225352300862,4.2611824467837005,0.9977248602077331
ARW4,transitions 5-7,30000,-0.6765419749544841,3.7964751045159337,0.994100998908997
Hurdle-AR(1)-S,transitions 5-7,30000,0.0,4.779358569356362,0.9867345849684375
SE-Hurdle-S,transitions 5-7,30000,0.0,4.588014560826309,0.9890767551225323
GRW-Y,transitions 5-7,30000,0.0,158.04124565614424,0.26628588484790067
Empirical,transitions 8-19,7092,-0.06734612676150453,3.5715320234638117,0.998219290411706
ARW4,transitions 8-19,120000,-0.43851046496345614,3.3349041098178955,0.9920679029920033
Hurdle-AR(1)-S,transitions 8-19,120000,0.0,4.179673446625832,0.9616108168447337
SE-Hurdle-S,transitions 8-19,120000,0.0,4.102527840222603,0.9675049709867616
GRW-Y,transitions 8-19,120000,0.0,3116.813996113977,0.12111361718314632
