model,year,probability
Empirical,0,0.030456852791878174
Empirical,1,0.038917089678511
Empirical,2,0.05414551607445008
Empirical,3,0.07106598984771574
Empirical,4,0.09644670050761421
Empirical,5,0.0829103214890017
Empirical,6,0.05583756345177665
Empirical,7,0.05922165820642978
Empirical,8,0.03722504230118443
Empirical,9,0.043993231810490696
Empirical,10,0.04060913705583756
Empirical,11,0.0338409475465313
Empirical,12,0.05414551607445008
Empirical,13,0.04060913705583756
Empirical,14,0.030456852791878174
Empirical,15,0.03722504230118443
Empirical,16,0.032148900169204735
Empirical,17,0.043993231810490696
Empirical,18,0.038917089678511
Empirical,19,0.02707275803722504
Empirical,20,0.050761421319796954
Hurdle-AR(1)-S,0,0.0394
Hurdle-AR(1)-S,1,0.037
Hurdle-AR(1)-S,2,0.0542
Hurdle-AR(1)-S,3,0.059
Hurdle-AR(1)-S,4,0.0637
Hurdle-AR(1)-S,5,0.0692
Hurdle-AR(1)-S,6,0.0559
Hurdle-AR(1)-S,7,0.0524
Hurdle-AR(1)-S,8,0.045
Hurdle-AR(1)-S,9,0.0477
Hurdle-AR(1)-S,10,0.0429
Hurdle-AR(1)-S,11,0.042
Hurdle-AR(1)-S,12,0.0405
Hurdle-AR(1)-S,13,0.0412
Hurdle-AR(1)-S,14,0.0443
Hurdle-AR(1)-S,15,0.0452
Hurdle-AR(1)-S,16,0.0394
Hurdle-AR(1)-S,17,0.0398
Hurdle-AR(1)-S,18,0.042
Hurdle-AR(1)-S,19,0.0443
Hurdle-AR(1)-S,20,0.0549
SE-Hurdle-S,0,0.02240672201660498
SE-Hurdle-S,1,0.043613083925177556
SE-Hurdle-S,2,0.05841752525757727
SE-Hurdle-S,3,0.06872061618485546
SE-Hurdle-S,4,0.07792337701310394
SE-Hurdle-S,5,0.08412523757127138
SE-Hurdle-S,6,0.051515454636390914
SE-Hurdle-S,7,0.048614584375312596
SE-Hurdle-S,8,0.04831449434830449
SE-Hurdle-S,9,0.037811343403020906
SE-Hurdle-S,10,0.036410923276983094
SE-Hurdle-S,11,0.038511553466039815
SE-Hurdle-S,12,0.035410623186956085
SE-Hurdle-S,13,0.040212063619085726
SE-Hurdle-S,14,0.036510953285985796
SE-Hurdle-S,15,0.03941182354706412
SE-Hurdle-S,16,0.041212363709112736
SE-Hurdle-S,17,0.04301290387116135
SE-Hurdle-S,18,0.04531359407822347
SE-Hurdle-S,19,0.045513654096228866
SE-Hurdle-S,20,0.057017105131539465
