q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
0,11,0.25,44,2.4300212508158925,0.14574066080685744,0.39440849808414946,Empirical,0
1,3,0.08333333333333333,36,2.848328420306329,0.0287480892712918,0.21827010276918848,Empirical,0
2,13,0.41935483870967744,31,3.1287845687907616,0.26415303073549257,0.5923403564797902,Empirical,0
3,9,0.23076923076923078,39,3.868114139050224,0.1264566242878376,0.38336560457382957,Empirical,0
4,4,0.11428571428571428,35,4.863211613113483,0.0453510585448975,0.2595179478812023,Empirical,0
5,4,0.11764705882352941,34,5.5796816031915535,0.04671370973436122,0.26621174796298774,Empirical,0
6,4,0.10526315789473684,38,6.571884245911672,0.041701897932665793,0.24130831200194466,Empirical,0
7,3,0.08333333333333333,36,8.459836212693382,0.0287480892712918,0.21827010276918848,Empirical,0
8,4,0.12121212121212122,33,10.488037070714054,0.04816083267584231,0.2732584325026516,Empirical,0
9,2,0.05405405405405406,37,17.64924353160646,0.01495066277053994,0.1770496506353991,Empirical,0
0,308,0.15618661257606492,1972,2.4300212508158925,0.14083357318600223,0.17287659467360758,Hurdle-AR(5)-S,0
1,35,0.18229166666666666,192,2.848328420306329,0.13409212213072985,0.24295545101001242,Hurdle-AR(5)-S,0
2,31,0.17318435754189945,179,3.1287845687907616,0.1247727174194942,0.23532914123849175,Hurdle-AR(5)-S,0
3,91,0.14536741214057508,626,3.868114139050224,0.1199182733643134,0.17514258003120695,Hurdle-AR(5)-S,0
4,37,0.125,296,4.863211613113483,0.09206322248579576,0.16754585110506023,Hurdle-AR(5)-S,0
5,49,0.1611842105263158,304,5.5796816031915535,0.12411941645085367,0.2067052674125358,Hurdle-AR(5)-S,0
6,80,0.15122873345935728,529,6.571884245911672,0.12321878470862285,0.18426771784673318,Hurdle-AR(5)-S,0
7,85,0.16221374045801526,524,8.459836212693382,0.13312662094071304,0.19621763688208838,Hurdle-AR(5)-S,0
8,84,0.15217391304347827,552,10.488037070714054,0.12462026469233572,0.18453543721986376,Hurdle-AR(5)-S,0
9,138,0.1547085201793722,892,17.64924353160646,0.13246193000134598,0.17991650832971612,Hurdle-AR(5)-S,0
0,187,0.24476439790575916,764,2.4300212508158925,0.215603229468332,0.27647951259721903,SE-Hurdle-S,0
1,142,0.23355263157894737,608,2.848328420306329,0.20165876909516062,0.2687924065032296,SE-Hurdle-S,0
2,114,0.21388367729831145,533,3.1287845687907616,0.18118385353625702,0.25067835684386264,SE-Hurdle-S,0
