model,stage,n,mu,scale,qq_r
Empirical,all transitions,11820,-0.05683642838789438,3.869668369799778,0.9984237226180016
SE-Hurdle-S,all transitions,200000,0.0,4.317627934600904,0.9793246601376926
SE-Hurdle-T5,all transitions,200000,0.0,4.283069740511009,0.9781748034277433
Hurdle-AR(5)-S,all transitions,200000,0.0,4.003602504431376,0.9736950072228073
Empirical,transition 0,591,0.0,3.6305277221468883,0.9912084868220155
SE-Hurdle-S,transition 0,10000,0.23345137494987478,3.8053845436287475,0.9869915462321339
SE-Hurdle-T5,transition 0,10000,0.12488024434161771,3.7001681624349456,0.9957711414734616
Hurdle-AR(5)-S,transition 0,10000,0.48376942604356143,3.97234910427742,0.9844945146148469
Empirical,transitions 1-4,2364,0.0,4.520533860622112,0.9948991201746741
SE-Hurdle-S,transitions 1-4,40000,0.0,4.799808479105163,0.9874502380100616
SE-Hurdle-T5,transitions 1-4,40000,0.0,4.739944629930734,0.9880531232445713
Hurdle-AR(5)-S,transitions 1-4,40000,0.16717479348828945,4.830196246904741,0.9813753168382118
Empirical,transitions 5-7,1773,-0.13469225352300862,4.2611824467837005,0.9977248602077331
SE-Hurdle-S,transitions 5-7,30000,0.0,4.6065381215891765,0.9885784640841566
SE-Hurdle-T5,transitions 5-7,30000,0.0,4.587375554334402,0.9853571594027628
Hurdle-AR(5)-S,transitions 5-7,30000,0.0,4.486366869003236,0.9833443769915753
Empirical,transitions 8-19,7092,-0.06734612676150453,3.5715320234638117,0.998219290411706
SE-Hurdle-S,transitions 8-19,120000,0.0,4.127039915601345,0.971356892780973
SE-Hurdle-T5,transitions 8-19,120000,0.0,4.103212453949067,0.9696059654383169
Hurdle-AR(5)-S,transitions 8-19,120000,0.0,3.607394700787118,0.9652019100934877
