model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,rho,half_life,max_lag
SE-Hurdle-S,0,activity,591,0.1935847333838192,1.1115002040551594,-0.48863313987180834,0.0,,,,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,0,positive,431,0.8607497182436584,0.5205050697970449,,0.0,0.7456184143891462,0.5747889545936542,0.48747066649718157,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,1-4,activity,2364,-0.4095220187384201,0.7943718213843947,-0.10416255163778809,0.8064360344324194,,,,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,1-4,positive,1912,0.790428581302302,0.3924121969721008,,0.23435705592948664,0.5838886480034369,0.6127515809279644,0.49985046824664714,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,5-7,activity,1773,-0.6720211838490828,1.0547750859467317,-1.0245439367469356,1.2694974553704632,,,,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,5-7,positive,1505,0.368040999172521,0.3812030537332158,,0.38350217067691095,0.6055299790132522,0.5952107162395545,0.48543138065918934,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,8-20,activity,7092,-1.168048056933433,1.043249912223231,-0.6224124210934049,1.5275097198369099,,,,0.6696666666666666,1.7286534819576687,
SE-Hurdle-S,8-20,positive,5974,0.04969852577166045,0.44175904690273354,,0.46624294144202105,0.5251678603543246,0.5872889829024919,0.466211443967213,0.6696666666666666,1.7286534819576687,
SE-Hurdle-T5,0,activity,591,0.1935847333838192,1.1115002040551594,-0.48863313987180834,0.0,,,,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,0,positive,431,0.8607497182436584,0.5205050697970449,,0.0,0.7456184143891462,0.5747889545936542,0.48747066649718157,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.40972362769080384,0.7942394569699094,-0.10449933478230235,0.8056522284689488,,,,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,1-4,positive,1912,0.7902047437716564,0.3923944670658651,,0.234089576544855,0.5840337653110148,0.6127449748310859,0.4998342095725839,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.65303085523291,1.0590491936032786,-1.0194640615818231,1.231411826908854,,,,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,5-7,positive,1505,0.36950942936669184,0.3835300694530375,,0.3748660195710282,0.6081133657884763,0.5954571510210412,0.48563931073855515,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,8-20,activity,7092,-1.0437859776037914,1.0660080424085543,-0.6176635425939543,1.418338141657392,,,,0.6533333333333333,1.628375826034139,5.0
SE-Hurdle-T5,8-20,positive,5974,0.0818770207217836,0.4475551512257735,,0.4408980602898278,0.52914930142514,0.5884168932427054,0.46732495050745,0.6533333333333333,1.628375826034139,5.0
