rep,model,annual_ks_mean,cum_total_ks,cum_y5_ks,zero_years_ks,terminal_rank_abs_error,rank_curve_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error
0,SE-Hurdle-S,0.06921279510111997,0.07106598984771574,0.06937394247038917,0.05583756345177665,0.059891644740635436,0.043268563285944424,0.02543670349488487,0.07588930332659892,0.0540609137055838,0.009676534622060251,0.0062428793283938674
0,SE-Hurdle-T5,0.06598984771573604,0.05922165820642978,0.0676818950930626,0.0338409475465313,0.04536553054886708,0.05879400666546029,0.021069547067015245,0.07427475386912252,0.055583756345177704,0.023485082617539677,0.01001168819378584
0,Hurdle-AR(5)-S-P,0.09032310047538473,0.07106598984771574,0.04568527918781726,0.19627749576988154,0.15416978792680888,0.19988058504613662,0.02142169459762246,0.05223278061925319,0.06218274111675126,0.04371118928768308,0.0007499902563665173
1,SE-Hurdle-S,0.06478124244621705,0.06260575296108291,0.032148900169204735,0.03553299492385787,0.0015209787884166714,0.03771647206652833,0.016516093832191516,0.0637707434925254,0.05854483925549914,0.03045428224843616,0.004620789863140483
1,SE-Hurdle-T5,0.06598984771573603,0.05583756345177665,0.043993231810490696,0.025380710659898477,0.05198076894948511,0.07662137176432605,0.018037063602609576,0.057889383829594354,0.05829103214890019,0.03730217365454669,0.009137663363014338
1,Hurdle-AR(5)-S-P,0.10120054790105551,0.07445008460236886,0.06429780033840947,0.16751269035532995,0.12422946030723732,0.17541761241800546,0.03017136337634539,0.061885174124956414,0.0643824027072758,0.020399869693416894,0.0011379408129399693
2,SE-Hurdle-S,0.06188058979937154,0.07106598984771574,0.047377326565143825,0.03553299492385787,0.029337425069214246,0.052015416842924475,0.018544594711244596,0.059768333511357234,0.05736040609137061,0.002714748291187341,0.004130795843434842
2,SE-Hurdle-T5,0.06244460559181371,0.0338409475465313,0.04568527918781726,0.05583756345177665,0.030678615768109624,0.04257347244523317,0.01993625150035687,0.058444922560821226,0.05626057529610834,0.01005258248409896,0.003221281407341646
2,Hurdle-AR(5)-S-P,0.09024252679075014,0.05245346869712352,0.05245346869712352,0.17428087986463622,0.12121369963461621,0.20367524822645694,0.02648958848637428,0.07309711119837968,0.06252115059221658,0.03161939502486277,0.006150068376869218
3,SE-Hurdle-S,0.06937394247038917,0.05922165820642978,0.05752961082910321,0.05583756345177665,0.05838165672451931,0.04592541991173918,0.017691990981063124,0.06114390055030621,0.06108291032148899,0.006266965166347449,0.004367402805477788
3,SE-Hurdle-T5,0.06373378454596729,0.07106598984771574,0.047377326565143825,0.04568527918781726,0.13722105127305673,0.08636845958829274,0.02161533133873709,0.08839487060201126,0.059983079526226724,0.030729582603640004,0.00704829579730798
3,Hurdle-AR(5)-S-P,0.10418177423253566,0.07952622673434856,0.03722504230118443,0.19458544839255498,0.16989290673565058,0.21437026414687815,0.031181804955110685,0.06048123131183445,0.05862944162436551,0.04614156934694447,0.004441294079180619
4,SE-Hurdle-S,0.067601321408428,0.06260575296108291,0.03722504230118443,0.04060913705583756,0.022649090850850317,0.06278245221303863,0.019844133755850278,0.057464340258838474,0.05397631133671743,0.031536530239616334,0.007946924981885477
4,SE-Hurdle-T5,0.07066312142454274,0.08460236886632826,0.05583756345177665,0.06598984771573604,0.06840201228741868,0.08398888425000942,0.01855645068642545,0.05644718083031045,0.05109983079526226,0.029024958117832456,0.008652523778797994
4,Hurdle-AR(5)-S-P,0.09040367416001935,0.05752961082910321,0.038917089678511,0.19458544839255498,0.22447126415228005,0.22193392359233366,0.027459752044052866,0.05847302516637246,0.053299492385786795,0.03736142497530526,0.0004514850499253778
5,SE-Hurdle-S,0.07195230037869631,0.05414551607445008,0.04060913705583756,0.023688663282571912,0.022402653863908467,0.0518147606820724,0.01626137355131298,0.06276478636942545,0.054399323181049064,0.023727052899279455,0.0019422637924497582
5,SE-Hurdle-T5,0.06365321086133269,0.06091370558375635,0.032148900169204735,0.043993231810490696,0.03393548831015647,0.06325472797988103,0.02293506741882822,0.0644495870938271,0.054060913705583746,0.02107675901594175,0.009662206295397442
5,Hurdle-AR(5)-S-P,0.10394005317863184,0.05414551607445008,0.0727580372250423,0.19120135363790186,0.262673835612251,0.20256101277358168,0.029617919824266398,0.07401461656449647,0.06125211505922168,0.030876802690516125,0.006313080306926351
6,SE-Hurdle-S,0.06453952139231327,0.0829103214890017,0.049069373942470386,0.043993231810490696,0.025514018796818444,0.055546401907064225,0.021972463155120223,0.06653945950571817,0.05541455160744502,0.03627398957279021,0.013814801166867702
6,SE-Hurdle-T5,0.06131657400692933,0.07614213197969544,0.047377326565143825,0.049069373942470386,0.04437766074159219,0.054453346835197335,0.0221954720071146,0.08075928512738606,0.0643824027072758,0.009372797779125253,0.008515272781241368
6,Hurdle-AR(5)-S-P,0.09000080573684632,0.05245346869712352,0.05583756345177665,0.16074450084602368,0.158700330822808,0.1835275122704629,0.027383590450386602,0.08243824966254693,0.060575296108291043,0.042939844229677504,0.008180436334626624
7,SE-Hurdle-S,0.0681653372008702,0.08460236886632826,0.05245346869712352,0.04568527918781726,0.05274901687030775,0.05816181536058507,0.015854946623482573,0.06428984430423165,0.05050761421319799,0.032005305315537746,0.010122729665256729
7,SE-Hurdle-T5,0.06945451615502377,0.07445008460236886,0.07106598984771574,0.04060913705583756,0.023303289026574858,0.06952223103518439,0.016536032747239474,0.07773300444668192,0.050761421319796995,0.04359331855006088,0.008149114967843915
7,Hurdle-AR(5)-S-P,0.10587382160986221,0.0727580372250423,0.05752961082910321,0.17258883248730963,0.19029426633541216,0.20526754852772153,0.02964047409377708,0.045784302942052185,0.06852791878172587,0.03721339431766507,0.005843120806151653
8,SE-Hurdle-S,0.06582870034646686,0.0829103214890017,0.06937394247038917,0.05922165820642978,0.06423529944847897,0.06447972729074827,0.022401201438584487,0.06346178690079485,0.05270727580372253,0.021394252483124043,0.0037108471033913473
8,SE-Hurdle-T5,0.06252517927644832,0.05414551607445008,0.038917089678511,0.05922165820642978,0.0017463756864316837,0.062472198821311,0.020576816388709705,0.05715291305501347,0.056345177664974655,0.012934865218947822,0.007623474611030773
8,Hurdle-AR(5)-S-P,0.09588268471517201,0.05922165820642978,0.06091370558375635,0.1793570219966159,0.13008569000137216,0.18646649133886462,0.031004302076410466,0.06576030194622333,0.06040609137055841,0.040723254012392296,0.00444165688709007
9,SE-Hurdle-S,0.06349206349206349,0.050761421319796954,0.05922165820642978,0.04230118443316413,0.014965952527314391,0.04636689149970629,0.022996331247498055,0.05970824731340792,0.05829103214890019,0.01489057906303004,0.00626778824830268
9,SE-Hurdle-T5,0.07179115300942711,0.09644670050761421,0.047377326565143825,0.043993231810490696,0.08833874292451009,0.09489803543126142,0.01929725871983659,0.04085453404273833,0.055245346869712386,0.039854242417834584,0.009438163992009037
9,Hurdle-AR(5)-S-P,0.09249858996051889,0.05752961082910321,0.06260575296108291,0.15736040609137056,0.19187303088283275,0.21268087542409606,0.029123953694571755,0.05406530640907013,0.05600676818950928,0.03720964274507205,0.004859605524063462
10,SE-Hurdle-S,0.06639271613890903,0.07614213197969544,0.08121827411167512,0.047377326565143825,0.028122985379774895,0.060460398926074556,0.021440156625691074,0.05280007873648989,0.05744500846023687,0.013631069753172742,0.009479892399528754
10,SE-Hurdle-T5,0.068407058254774,0.06260575296108291,0.05245346869712352,0.02707275803722504,0.15745508710708375,0.11779118396543277,0.018368601463295813,0.07121097228843556,0.059475465313028775,0.03469364434106731,0.005933613820235925
10,Hurdle-AR(5)-S-P,0.0833937635968093,0.07106598984771574,0.0338409475465313,0.16243654822335024,0.16979104174419923,0.20502618462226652,0.02637375622541317,0.07804438110082347,0.059052453468697086,0.04879449435062744,0.004656492738152954
