model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-S,0,activity,591,0.14745259899387975,1.9016361392201306,-1.7171941156275428,0.0,,,,0,0.6696666666666666,
SE-Hurdle-S,0,positive,425,0.6907432112327518,0.5787637945076033,,0.0,0.9157284273153363,0.5692367048780389,0.48747590868797636,0,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.3337830699981317,0.8049943422321577,-0.2320574923764407,0.8363671058109494,,,,0,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1911,0.6821189126695639,0.4531371286296325,,0.22479472356263483,0.6478480482643334,0.5947570202457834,0.48236158702639514,0,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.8845080314608833,0.7013639655115876,-0.3847209046578801,1.4802695142936049,,,,0,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1505,0.3095723322585848,0.40821862919423957,,0.3824035861472238,0.6672784336384723,0.590690694920849,0.4810024742106313,0,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.1156662782665105,1.0809998445199367,-0.642427629291207,1.4709597948186992,,,,0,0.6696666666666666,
SE-Hurdle-S,8-20,positive,5963,0.05512291265000957,0.4313066452391552,,0.4734531670860497,0.48923067417324984,0.5822743235523102,0.4623819620909651,0,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.14745259899387975,1.9016361392201306,-1.7171941156275428,0.0,,,,0,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,425,0.6907432112327518,0.5787637945076033,,0.0,0.9157284273153363,0.5692367048780389,0.48747590868797636,0,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.3339973710796562,0.804851777563526,-0.23174134585152242,0.8349867866535519,,,,0,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1911,0.6821713780021084,0.4528785909653021,,0.22467109694338794,0.6475480675550451,0.5947293744586897,0.48236187315917994,0,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.8573169046572762,0.7121207438072756,-0.37988309998898956,1.4231104558438479,,,,0,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1505,0.3110601096450164,0.4126452012207775,,0.3713132841937415,0.6716469390060708,0.5911647760752639,0.48143895154036004,0,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9931469618388593,1.0983693604269347,-0.6393113799685662,1.3669552537481313,,,,0,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,5963,0.081879089581399,0.43587842558700546,,0.4519431846798674,0.49581275182157986,0.5829631428783898,0.46296025400082125,0,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.2988553379579759,1.2474999358790937,-0.9999978982037774,0.0,,,,1,0.6696666666666666,
SE-Hurdle-S,0,positive,432,0.807432912006762,0.5490336388361481,,0.0,0.7383529052921183,0.5700696278672889,0.48775729057604744,1,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.4255188693211649,1.0934257492339143,-0.7014304112069902,0.8709029719147341,,,,1,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1929,0.7820590915610275,0.3937618342307878,,0.23651112456985096,0.5609622462391188,0.6058507829729649,0.49823014228390977,1,0.6696666666666666,
