model,stage,n,mu,scale,qq_r
Empirical,all transitions,11820,-0.05683642838789438,3.869668369799778,0.9984237226180016
SE-Hurdle-S,all transitions,200000,0.0,4.317627934600904,0.9793246601376926
SE-Hurdle-T5,all transitions,200000,0.0,4.283069740511009,0.9781748034277433
Hurdle-AR(5)-S-P,all transitions,200000,0.0,4.096948459763591,0.9714961535131548
Empirical,transition 0,591,0.0,3.6305277221468883,0.9912084868220155
SE-Hurdle-S,transition 0,10000,0.23345137494987478,3.8053845436287475,0.9869915462321339
SE-Hurdle-T5,transition 0,10000,0.12488024434161771,3.7001681624349456,0.9957711414734616
Hurdle-AR(5)-S-P,transition 0,10000,0.039672573133717956,3.8134893034893755,0.9850377160974477
Empirical,transitions 1-4,2364,0.0,4.520533860622112,0.9948991201746741
SE-Hurdle-S,transitions 1-4,40000,0.0,4.799808479105163,0.9874502380100616
SE-Hurdle-T5,transitions 1-4,40000,0.0,4.739944629930734,0.9880531232445713
Hurdle-AR(5)-S-P,transitions 1-4,40000,0.0,4.720647384696383,0.9802885797860811
Empirical,transitions 5-7,1773,-0.13469225352300862,4.2611824467837005,0.9977248602077331
SE-Hurdle-S,transitions 5-7,30000,0.0,4.6065381215891765,0.9885784640841566
SE-Hurdle-T5,transitions 5-7,30000,0.0,4.587375554334402,0.9853571594027628
Hurdle-AR(5)-S-P,transitions 5-7,30000,0.0,4.452312869548187,0.9856565240431601
Empirical,transitions 8-19,7092,-0.06734612676150453,3.5715320234638117,0.998219290411706
SE-Hurdle-S,transitions 8-19,120000,0.0,4.127039915601345,0.971356892780973
SE-Hurdle-T5,transitions 8-19,120000,0.0,4.103212453949067,0.9696059654383169
Hurdle-AR(5)-S-P,transitions 8-19,120000,0.0,3.823819498942688,0.9607047880975739
