repeat,fold,model,cv_nll
0,0,SE-Hurdle-S,1.0647678568272083
0,0,SE-Hurdle-T5,1.065219658224228
0,0,Hurdle-AR(5)-S-P,1.2458514165700598
0,1,SE-Hurdle-S,1.0653912148515299
0,1,SE-Hurdle-T5,1.068499709811059
0,1,Hurdle-AR(5)-S-P,1.2652561403255886
0,2,SE-Hurdle-S,1.1211493089417284
0,2,SE-Hurdle-T5,1.1223073268671357
0,2,Hurdle-AR(5)-S-P,1.3233847443895403
0,3,SE-Hurdle-S,1.0694726553149494
0,3,SE-Hurdle-T5,1.0719754544268856
0,3,Hurdle-AR(5)-S-P,1.2418417306331457
0,4,SE-Hurdle-S,1.0897802293631667
0,4,SE-Hurdle-T5,1.0923678334586087
0,4,Hurdle-AR(5)-S-P,1.2791092235349226
1,0,SE-Hurdle-S,1.0807870203148284
1,0,SE-Hurdle-T5,1.0818004786489945
1,0,Hurdle-AR(5)-S-P,1.2741891559821499
1,1,SE-Hurdle-S,1.086055599599789
1,1,SE-Hurdle-T5,1.088788268641266
1,1,Hurdle-AR(5)-S-P,1.2946084175727453
1,2,SE-Hurdle-S,1.0916122017694931
1,2,SE-Hurdle-T5,1.0929059216336279
1,2,Hurdle-AR(5)-S-P,1.2538203653320068
1,3,SE-Hurdle-S,1.090913737332544
1,3,SE-Hurdle-T5,1.0938038279081586
1,3,Hurdle-AR(5)-S-P,1.303006168818512
1,4,SE-Hurdle-S,1.0610420698711347
1,4,SE-Hurdle-T5,1.0630576558118872
1,4,Hurdle-AR(5)-S-P,1.2309660540506693
2,0,SE-Hurdle-S,1.110581852150574
2,0,SE-Hurdle-T5,1.1124503943515391
2,0,Hurdle-AR(5)-S-P,1.3255854137369094
2,1,SE-Hurdle-S,1.0623461635456524
2,1,SE-Hurdle-T5,1.0635034169710584
2,1,Hurdle-AR(5)-S-P,1.2510828249777206
2,2,SE-Hurdle-S,1.0486255166602898
2,2,SE-Hurdle-T5,1.0512048572986814
2,2,Hurdle-AR(5)-S-P,1.2379504120266809
2,3,SE-Hurdle-S,1.1214042615905175
2,3,SE-Hurdle-T5,1.122085322344606
2,3,Hurdle-AR(5)-S-P,1.2941282619289851
2,4,SE-Hurdle-S,1.069908294030617
2,4,SE-Hurdle-T5,1.073854362990403
2,4,Hurdle-AR(5)-S-P,1.2519295998382018
3,0,SE-Hurdle-S,1.0759741547786061
3,0,SE-Hurdle-T5,1.0778276133766236
3,0,Hurdle-AR(5)-S-P,1.2641153976247264
3,1,SE-Hurdle-S,1.069834487220832
3,1,SE-Hurdle-T5,1.0727211775467675
3,1,Hurdle-AR(5)-S-P,1.2518527838838402
3,2,SE-Hurdle-S,1.0673097493296255
3,2,SE-Hurdle-T5,1.068597986827697
3,2,Hurdle-AR(5)-S-P,1.2496645878669386
3,3,SE-Hurdle-S,1.0942492788492524
3,3,SE-Hurdle-T5,1.0971128320155825
3,3,Hurdle-AR(5)-S-P,1.3074360322086847
3,4,SE-Hurdle-S,1.1027769230593043
3,4,SE-Hurdle-T5,1.1036318678823596
3,4,Hurdle-AR(5)-S-P,1.2836785100755665
4,0,SE-Hurdle-S,1.0864545736468638
4,0,SE-Hurdle-T5,1.0890990887979433
4,0,Hurdle-AR(5)-S-P,1.2877973102606464
4,1,SE-Hurdle-S,1.0594043984047352
4,1,SE-Hurdle-T5,1.0609404289635904
4,1,Hurdle-AR(5)-S-P,1.2288851223403736
4,2,SE-Hurdle-S,1.091782494328529
4,2,SE-Hurdle-T5,1.0942611103268796
4,2,Hurdle-AR(5)-S-P,1.293756919234927
4,3,SE-Hurdle-S,1.0800512204229287
4,3,SE-Hurdle-T5,1.0825589828298654
4,3,Hurdle-AR(5)-S-P,1.2588945605711361
4,4,SE-Hurdle-S,1.0935517640165484
4,4,SE-Hurdle-T5,1.094403036454976
4,4,Hurdle-AR(5)-S-P,1.2880299644514752
5,0,SE-Hurdle-S,1.0762281159095595
5,0,SE-Hurdle-T5,1.0788494254933272
5,0,Hurdle-AR(5)-S-P,1.2650724387438521
5,1,SE-Hurdle-S,1.0874193591632209
5,1,SE-Hurdle-T5,1.0880123527614667
5,1,Hurdle-AR(5)-S-P,1.2806475630937284
5,2,SE-Hurdle-S,1.0846922669123507
5,2,SE-Hurdle-T5,1.087846584521046
5,2,Hurdle-AR(5)-S-P,1.2947180203364537
5,3,SE-Hurdle-S,1.0840183698547896
5,3,SE-Hurdle-T5,1.086707518526688
5,3,Hurdle-AR(5)-S-P,1.251027417846494
5,4,SE-Hurdle-S,1.076433832651191
5,4,SE-Hurdle-T5,1.0770579285142023
5,4,Hurdle-AR(5)-S-P,1.2620388222770267
6,0,SE-Hurdle-S,1.0459591884576567
6,0,SE-Hurdle-T5,1.046855681776587
6,0,Hurdle-AR(5)-S-P,1.204322506692609
6,1,SE-Hurdle-S,1.0800948443294733
6,1,SE-Hurdle-T5,1.0825207874082672
6,1,Hurdle-AR(5)-S-P,1.2885381029442016
6,2,SE-Hurdle-S,1.0831687564070551
6,2,SE-Hurdle-T5,1.084304700057356
6,2,Hurdle-AR(5)-S-P,1.2707446636908521
6,3,SE-Hurdle-S,1.1014365194676434
6,3,SE-Hurdle-T5,1.1052244185432774
6,3,Hurdle-AR(5)-S-P,1.3085611782057383
6,4,SE-Hurdle-S,1.1025726552293962
6,4,SE-Hurdle-T5,1.1040817276867825
6,4,Hurdle-AR(5)-S-P,1.2887872983073125
7,0,SE-Hurdle-S,1.1102588896172814
7,0,SE-Hurdle-T5,1.1124243534339915
7,0,Hurdle-AR(5)-S-P,1.2962981951148604
7,1,SE-Hurdle-S,1.0539578253019748
7,1,SE-Hurdle-T5,1.055806038158326
7,1,Hurdle-AR(5)-S-P,1.2329245920486973
7,2,SE-Hurdle-S,1.110823163755178
7,2,SE-Hurdle-T5,1.1134720439727566
7,2,Hurdle-AR(5)-S-P,1.318091819699968
7,3,SE-Hurdle-S,1.059226352169847
7,3,SE-Hurdle-T5,1.0602851667251956
7,3,Hurdle-AR(5)-S-P,1.2519157031855024
7,4,SE-Hurdle-S,1.0788821534181852
7,4,SE-Hurdle-T5,1.0810331613128166
7,4,Hurdle-AR(5)-S-P,1.2602014594147004
8,0,SE-Hurdle-S,1.0685103355207506
8,0,SE-Hurdle-T5,1.0695970237246692
8,0,Hurdle-AR(5)-S-P,1.2696882631082544
8,1,SE-Hurdle-S,1.0771664976510484
8,1,SE-Hurdle-T5,1.079294320404929
8,1,Hurdle-AR(5)-S-P,1.2687638460120718
8,2,SE-Hurdle-S,1.0714060229766715
8,2,SE-Hurdle-T5,1.0739643930808023
8,2,Hurdle-AR(5)-S-P,1.2508091940194488
8,3,SE-Hurdle-S,1.0869998898733002
8,3,SE-Hurdle-T5,1.0880235687120892
8,3,Hurdle-AR(5)-S-P,1.2614158035051206
8,4,SE-Hurdle-S,1.1070183867255476
8,4,SE-Hurdle-T5,1.109954520901721
8,4,Hurdle-AR(5)-S-P,1.3070434267180902
9,0,SE-Hurdle-S,1.0848163212474637
9,0,SE-Hurdle-T5,1.0877543537501406
9,0,Hurdle-AR(5)-S-P,1.2597014275088905
9,1,SE-Hurdle-S,1.0995903027971743
9,1,SE-Hurdle-T5,1.1020165908737085
9,1,Hurdle-AR(5)-S-P,1.281536893850152
9,2,SE-Hurdle-S,1.0814075134046788
9,2,SE-Hurdle-T5,1.0830236883040163
9,2,Hurdle-AR(5)-S-P,1.2658556118201156
9,3,SE-Hurdle-S,1.0827189551643392
9,3,SE-Hurdle-T5,1.0840487828863858
9,3,Hurdle-AR(5)-S-P,1.2939280660841057
9,4,SE-Hurdle-S,1.0618746470426454
9,4,SE-Hurdle-T5,1.0633362327274796
9,4,Hurdle-AR(5)-S-P,1.2556763630775547
10,0,SE-Hurdle-S,1.0913249331915127
10,0,SE-Hurdle-T5,1.0931898742742732
10,0,Hurdle-AR(5)-S-P,1.2935467727612469
10,1,SE-Hurdle-S,1.088675495330388
10,1,SE-Hurdle-T5,1.090717164627574
10,1,Hurdle-AR(5)-S-P,1.2623578359993952
10,2,SE-Hurdle-S,1.1300585411621484
10,2,SE-Hurdle-T5,1.131774730607855
10,2,Hurdle-AR(5)-S-P,1.3424205095311996
10,3,SE-Hurdle-S,1.0660344998566076
10,3,SE-Hurdle-T5,1.068474244741422
10,3,Hurdle-AR(5)-S-P,1.2437770554114067
10,4,SE-Hurdle-S,1.038467243628951
10,4,SE-Hurdle-T5,1.04036426151747
10,4,Hurdle-AR(5)-S-P,1.217766784385081
11,0,SE-Hurdle-S,1.1143833113482948
11,0,SE-Hurdle-T5,1.1160818646505024
11,0,Hurdle-AR(5)-S-P,1.31450203436135
11,1,SE-Hurdle-S,1.0686562450784045
11,1,SE-Hurdle-T5,1.0698798255179087
11,1,Hurdle-AR(5)-S-P,1.27621729083782
11,2,SE-Hurdle-S,1.0853227772929204
11,2,SE-Hurdle-T5,1.088072297491311
11,2,Hurdle-AR(5)-S-P,1.271458986788953
11,3,SE-Hurdle-S,1.0660941431226856
11,3,SE-Hurdle-T5,1.0679420531163892
11,3,Hurdle-AR(5)-S-P,1.2496291593763365
11,4,SE-Hurdle-S,1.0786246588095783
11,4,SE-Hurdle-T5,1.0808327469913843
11,4,Hurdle-AR(5)-S-P,1.251137970075296
12,0,SE-Hurdle-S,1.1061867010076971
12,0,SE-Hurdle-T5,1.108138468708341
12,0,Hurdle-AR(5)-S-P,1.3068133731204992
12,1,SE-Hurdle-S,1.0623913163213075
12,1,SE-Hurdle-T5,1.0633624173811993
12,1,Hurdle-AR(5)-S-P,1.2710469016510009
12,2,SE-Hurdle-S,1.1117292008120014
12,2,SE-Hurdle-T5,1.1137687597208858
12,2,Hurdle-AR(5)-S-P,1.291825714202379
12,3,SE-Hurdle-S,1.0934417480747536
12,3,SE-Hurdle-T5,1.0950810525562256
12,3,Hurdle-AR(5)-S-P,1.2676125999495078
12,4,SE-Hurdle-S,1.037403644637332
12,4,SE-Hurdle-T5,1.0408264174749537
12,4,Hurdle-AR(5)-S-P,1.222448485168864
13,0,SE-Hurdle-S,1.0862695127991893
13,0,SE-Hurdle-T5,1.0867495823157254
13,0,Hurdle-AR(5)-S-P,1.2791543123188247
13,1,SE-Hurdle-S,1.064075522639995
13,1,SE-Hurdle-T5,1.0656971564258326
13,1,Hurdle-AR(5)-S-P,1.232185024536919
13,2,SE-Hurdle-S,1.0933622953590476
13,2,SE-Hurdle-T5,1.0960855677595647
13,2,Hurdle-AR(5)-S-P,1.291563835514288
13,3,SE-Hurdle-S,1.0870589229763874
13,3,SE-Hurdle-T5,1.0897269185222072
13,3,Hurdle-AR(5)-S-P,1.2806903084384151
