year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.537971929389587,3.1489623699242544,20.528848090436806,1.2401037863870055,0.8080937102679312,0.9342083324287714,1.6540855781338655,1.3021216373645559,6.31324348966252,10.42303855195973,13.567875742434374
1,50000,0.01454,6.760909652644262,3.8747750488649504,88.98695776716134,1.482542899199035,0.9831139318066259,1.298430746125242,1.4710728277563256,1.7357310520512486,8.19481830716829,15.43304725387092,22.341489713332134
2,50000,0.00944,7.825772235236552,4.556526623264368,114.95805761685274,1.621836104024129,0.9829020561815891,1.457015099120442,1.411049406009728,2.0632699784471735,9.46687701414232,17.704474913973886,25.588152786649744
3,50000,0.00844,8.48432874301717,4.8914120774274785,140.916316232698,1.6894241574562787,0.9944460136468037,1.5341374147194298,1.4055768490236495,2.258904769268361,10.061497723975652,19.098563363311698,28.139217790624283
4,50000,0.00676,8.90343605469963,5.136349426381583,176.96299342600602,1.7367944390777237,0.983995829473382,1.5883943279051602,1.3563560373832002,2.393680795288243,10.57815127842175,19.877027891780877,29.073418094462696
5,50000,0.00634,9.074133808739157,5.2491051367404085,157.38727653519885,1.7558330085537242,0.9925383793214546,1.6075365214424555,1.379649941286165,2.4412083703603864,10.851533762898505,20.43001466994672,29.544736536375833
6,50000,0.00902,8.429399772312903,4.767562274689884,148.92083406161137,1.6692286916240198,1.0191188735122472,1.5107547688161422,1.432579525873319,2.14303837452037,10.05230561603169,18.97756029718857,27.759909700747137
7,50000,0.01076,8.008813063317584,4.548318269285634,133.84757583611082,1.6235608725750843,1.015325927305906,1.4599089749982757,1.4531157249441116,2.0402169358827016,9.531828508253641,18.12835515622995,26.538444796088704
8,50000,0.0118,7.74610441097172,4.395306008438653,131.63983692438939,1.5906616008405574,1.0184426648193918,1.420535843899695,1.4843346695768707,1.9656278785384986,9.20954156857162,17.52207974594096,25.609558974663692
9,50000,0.0187,7.692707902172918,4.085573922911374,153.11653803542478,1.52920060461741,1.115019898085862,1.354509293557837,1.6422914408559375,1.7286448681737447,8.97359037123485,17.59701639704622,26.057161496764508
10,50000,0.0206,7.524401695195701,3.8668923327316334,144.07123836759772,1.4877612510985045,1.153351529564987,1.3021034732447436,1.7337949388541054,1.585118616973772,8.72519365438901,17.458978581653824,25.98909045476029
11,50000,0.0235,7.374384730293539,3.743213589766661,147.56211366652423,1.460511967968056,1.1634079761651883,1.2769706604378774,1.7308887292236168,1.5229929205010078,8.520325831835274,17.12833202239407,25.65366292902811
12,50000,0.0234,7.268160441176959,3.6745965238226748,145.68287783052165,1.4419528671437043,1.164310701932687,1.2512892611836595,1.7601489871365628,1.4815673282428914,8.222962105537695,16.869973551599767,25.70027715877685
13,50000,0.02512,7.163666865527969,3.6559781799143467,139.3782064725208,1.4353279082308066,1.1589202325008428,1.2467263757616995,1.7632435228531183,1.4890140086673953,8.240363806012368,16.652748226819508,24.893427884972052
14,50000,0.02556,7.066797410981667,3.558222551164405,142.88644723811672,1.4195291027315877,1.161527298741709,1.2279060283591796,1.7688373939800943,1.4460962466460363,8.12036489875695,16.41126793133843,24.559407904696428
15,50000,0.02562,7.088867199217701,3.5763874229674197,133.77998265225241,1.4208756295212064,1.1701703453878027,1.229905550312792,1.7720074670420742,1.4335023807714655,8.17319117286382,16.579107482341698,25.108692417296623
16,50000,0.02548,7.1395510948627,3.5802989799225604,147.88380237554705,1.422403175710488,1.170685203874585,1.2306331161836979,1.779816015694586,1.4335469915683556,8.13030573524073,16.471885579675437,25.17585012827332
17,50000,0.02614,7.116646843600371,3.5736861020937747,147.99802279815697,1.417497200341299,1.1703037578132538,1.2273444468227812,1.769579794205527,1.4324640404283828,8.102604899497162,16.41976677004507,24.626454022939328
18,50000,0.0257,7.141827050571912,3.6138011152340748,152.5263670480924,1.4266250025481297,1.1638858009039272,1.2385307107163992,1.7530371560359406,1.4665996969602395,8.126441961931516,16.57083356343188,24.856309039051425
19,50000,0.02476,7.055561317316289,3.553118872685309,134.88392329992254,1.4170520547301322,1.1677162140824218,1.2226013305912404,1.7716603385836094,1.4283798115451583,8.135311024128898,16.63623840749853,24.86634958237452
20,50000,0.02648,7.0221602823702405,3.5265835823608995,140.78127455315004,1.4128338168570822,1.161583409679607,1.223432315544091,1.7579638947142344,1.4324413234347546,8.109729699425202,16.341887491933228,24.44482828927213
