transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,2.1804330595297525,0.7052094846450754,80.77857683046412,0.24484888668433785,0.23719392292207153,1.1409829506652298
1,50000,1.2062859486757032,0.4673443688152617,121.20440057535927,0.14384944311411335,0.14133879274056393,0.9455717921745153
2,50000,0.7171898101534636,0.2862704308460571,160.4650852227176,0.08132638538802861,0.08019889605137864,0.9461000400494485
3,50000,0.2974501266596448,0.1467844120963573,179.0459241252923,0.03410608233137436,0.038918698935695106,0.9533358359829747
4,50000,0.11073387572853735,0.04773448799758073,182.6808656370379,0.015664071909119608,0.012860178368904407,0.9614223417032466
5,50000,-0.6334522881904221,-0.333501287478283,162.86463061968786,-0.08402770987587152,-0.09031898895940738,0.8896416681119177
6,50000,-0.3812461056626355,-0.18264766105008867,148.22421298112414,-0.05271222276434408,-0.052726816142816046,0.8892736129676587
7,50000,-0.24726202506591305,-0.07973476193684004,138.84734087932085,-0.027543764404305556,-0.024609138285620724,0.8881422584391113
8,50000,-0.07112094999059906,-0.20994523750725141,134.98547687005103,-0.0628398460769871,-0.0693832540078961,0.8250037594045172
9,50000,-0.21627859384471268,-0.12333298706206408,147.47166852806842,-0.0416483859303566,-0.04496569134611361,0.8326782186105958
10,50000,-0.15068222817896498,-0.07904890184491875,150.93271524168065,-0.0314008854929345,-0.030437707672020142,0.8371915559625952
11,50000,-0.1403398999900335,-0.042071940917506434,151.67138146226506,-0.01994275725267119,-0.016235650965355036,0.8373813086906939
12,50000,-0.03686857651789979,0.0,152.133054187465,-0.006386733339363659,0.0,0.8363603712911709
13,50000,-0.02358211809112845,0.0,136.53304092348947,-7.051646178015261e-05,0.0,0.8353431565797474
14,50000,-0.02632662104260721,0.0,134.87134116466348,-0.0034495974146305105,0.0,0.8475605885121684
15,50000,-0.04437050337373898,-0.008850207141567812,133.6569434506882,-0.00445039248040878,-0.003641077708637641,0.8357762645608038
16,50000,0.006571728016801556,-0.006073924677375664,129.64012612762102,0.0002921763238807826,-0.0025870198425560625,0.8359902454493792
17,50000,0.057518525253939135,0.0,149.49955825763834,0.00031464713645236686,0.0,0.8410364145886187
18,50000,0.05315101440729135,0.02023200295456673,152.19358563683716,0.008863208104572515,0.007703400350509648,0.8449228359794774
19,50000,-0.04909308854482609,-0.018960287030398093,151.49896438005027,-0.006812748587705353,-0.007697628777462384,0.8460827440692082
