year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.526694388129161,3.134087737142197,20.44591694936316,1.2374871503675222,0.8087412762867033,0.9294774036463487,1.6649727252208528,1.2893671523016088,6.30751874610729,10.368132073890285,13.493899789468434
1,50000,0.0148,6.707127447658913,3.9138775390870193,82.60771241864767,1.48233603705186,0.9741117113111262,1.2997629012117191,1.4574171946781849,1.7401618559033243,8.116312826672383,15.361320038993906,22.18266081540047
2,50000,0.00956,7.913413396334617,4.5834522547908705,120.45519922661491,1.6261854801659734,0.9937667175909274,1.4603139053352274,1.4342001228159094,2.071500035306138,9.494163819084655,17.89942823165714,26.27920327955621
3,50000,0.00752,8.63060320648808,5.000449736753403,143.61787691611335,1.7075118655540023,0.9959217751273696,1.5537609882558951,1.3906145051673702,2.299928960378048,10.30762392473276,19.555021553706183,28.209690200106806
4,50000,0.00686,8.928053333147725,5.214120310803031,155.97993559994143,1.7416179478853764,0.9917868920251871,1.5922921904823681,1.3782701457635778,2.3945932385401303,10.71551558234998,20.04640194031102,29.198113583712562
5,50000,0.00712,9.038787208876263,5.290090298645256,149.95168529140864,1.757282019794496,0.9917494042047983,1.6133293085486848,1.353630483306572,2.4460316902884465,10.915109602318015,20.344366994592008,29.632716793237147
6,50000,0.00954,8.40533492068584,4.843399158983413,136.25283643101164,1.6732543099186243,1.01845540410204,1.5148462476595697,1.4471165378057946,2.197009038223988,10.062433921280054,18.959920461235775,27.54730805918732
7,50000,0.0111,8.024088815023205,4.533429724032406,130.24349076551798,1.6205420871542804,1.024469569016647,1.4559835893996147,1.4674152508318308,2.026718677840991,9.479247729091837,18.244406258044563,26.820458289382934
8,50000,0.01196,7.776826789957292,4.387479477790855,121.21844059696859,1.5929983227499747,1.0260095652971837,1.4255701010891202,1.4717696478176647,1.9513141422871318,9.320940532816303,17.873904786298066,25.90787499739307
9,50000,0.0169,7.705705839966693,4.080330220069682,145.92330342981987,1.5301584766729874,1.1194876931627111,1.349030635453948,1.6636857348494447,1.7133029561059965,8.995476289735969,17.735236996645245,26.39624338484817
10,50000,0.02092,7.48942724612198,3.8910569306405476,147.67339092632454,1.4885100907426312,1.1464203228323882,1.3058711605028128,1.7068596562952332,1.603079984831794,8.659745743887036,17.40807130254037,26.22987633201061
11,50000,0.02326,7.3387450179430145,3.7434808019808776,146.07127666629353,1.4571092052496968,1.1575461565266103,1.2707747954401878,1.7453573855253595,1.5316418913128014,8.308626266443357,17.00052090294112,26.076739856998667
12,50000,0.02406,7.198405117952982,3.6637075586922303,155.9507505472569,1.4371664479970254,1.1572875958842535,1.247174822286832,1.7567645147959612,1.4937589243994789,8.214615237255273,16.568531193173122,25.2596069511101
13,50000,0.02452,7.161536541435082,3.6095019560922963,143.80534769432563,1.4307797146576617,1.1628841529684792,1.240331330178116,1.7574423876761276,1.4657391380029112,8.192174159491302,16.633647375919757,25.152552283759192
14,50000,0.02574,7.137954423343953,3.653856528742132,131.6022858769094,1.4307091981958817,1.1687102677100174,1.2418697739075555,1.7724814422988546,1.4579832202296932,8.26552038360498,16.567544435764095,25.047670064969022
15,50000,0.02542,7.111627802301345,3.6002779154914903,141.72306765276298,1.427259600781251,1.162374363250707,1.2375571189980792,1.766625521900825,1.4586236887541397,8.210279184176137,16.45125539981541,25.148081307978252
16,50000,0.02432,7.067257298927608,3.569836578565469,129.67821888128705,1.4228092083008423,1.1586343712270673,1.2295151073965143,1.760836007004196,1.4451324894698665,8.127537050381784,16.593112873371556,25.04524445618575
17,50000,0.025,7.073829026944409,3.6010386323372954,143.88534156293247,1.423101384624723,1.1599299771824225,1.2306552749826956,1.768549115350365,1.4501393028496141,8.201637563434243,16.415804436210237,24.740323521773437
18,50000,0.02538,7.131347552198348,3.611443754335384,152.48399428052028,1.4234160317611753,1.165077174910123,1.2315993548007034,1.7767500652859851,1.4607659087536597,8.158866314094812,16.424771829553748,24.9946028673079
19,50000,0.02538,7.1844985666056385,3.6705234766906267,147.1539571727353,1.432279239865748,1.1718634149044975,1.2405952295647378,1.7985374292404244,1.4549445651720758,8.238798241694079,16.75094219629698,25.1895930225556
20,50000,0.02484,7.135405478060814,3.5876176871294447,141.7705593981625,1.4254664912780426,1.1693546483530781,1.2313641694269781,1.7916531197766035,1.4475145754748793,8.252444036620748,16.588316875555837,25.07230000924483
