transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,2.3115883897689353,0.72628908394852,89.60755204853446,0.2526226252268147,0.2455713582974433,1.1648836270892609
1,50000,1.170343290307107,0.5205689112422167,134.44974125390607,0.1533886555942222,0.15535929613844546,1.0213581565947223
2,50000,0.6774613324486859,0.27057898096407396,156.97434245517266,0.07775170015144921,0.07348498818998861,0.9209659616281958
3,50000,0.30857494563187365,0.13375169544365173,167.19602023684044,0.03718643376419391,0.03614147984827687,0.9301288502992371
4,50000,-0.3541983804213236,-0.19879771651044797,173.7343220285704,-0.05307663176763896,-0.051782480645975404,0.9111580416114698
5,50000,-0.46530945711681676,-0.13574519185174427,158.36421418471397,-0.036807505101273216,-0.03602813651529818,0.8870010769421994
6,50000,-0.32859749269246413,-0.29388951581810946,149.55988225341284,-0.08612861109435786,-0.08793588022359963,0.9210896081095732
7,50000,-0.2793610495294881,-0.03165581631368697,139.80141262087048,-0.010169370646157735,-0.009388290499350083,0.8665366150415272
8,50000,-0.05601742573661786,-0.07924796625357478,139.2158781522161,-0.025850717270539808,-0.02476444707699288,0.8172852171551636
9,50000,-0.12247243585281854,-0.09437752455251586,140.2800854632545,-0.030541540027872488,-0.031703181231061806,0.8648978706596093
10,50000,-0.15177435140794795,-0.04607769346763291,133.0299014830879,-0.019968734957061775,-0.01558901483982212,0.8465167376358808
11,50000,-0.07806262358736843,-0.08715994242057867,128.20146612759842,-0.03227608698110901,-0.03198177462005525,0.8026718295700384
12,50000,-0.275403676315466,-0.19146608410615384,137.55626478604458,-0.07314642391033509,-0.07282585033272893,0.8657860134851629
13,50000,0.13571681147976367,0.03587446723362242,133.75902301471442,0.02328508543766597,0.015077424596689593,0.8469834094537604
14,50000,0.20880381746908802,0.0,158.82089452102207,0.009872452995452955,0.0,0.947842959528403
15,50000,0.1741771878386409,0.038596139203096125,148.46628006984602,0.020214515086318934,0.015485699965677502,0.7754704128335489
16,50000,-0.2899250853439985,-0.21725036662150554,175.4412328225731,-0.09300581664611596,-0.09168643283846001,0.8598890728749768
17,50000,0.08737951052324508,0.07709792163210322,161.28596798728728,0.039832558051446705,0.03254903942483983,0.8338366813324933
18,50000,-0.25893097141907695,-0.0625953796940456,143.10590212254147,-0.02817345725516674,-0.027138729415542295,0.7716823833340255
19,50000,0.1358453971527625,0.0,129.49699368632972,0.004202487908349638,0.0,0.7090621404398524
