year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.552226062691513,3.136627224607243,20.88438253604114,1.2400847662599437,0.8120422649072818,0.9342983874748814,1.653147825185719,1.2922623453171367,6.318014289397149,10.506911624349879,13.641942218341455
1,50000,0.01372,6.863814452460449,3.9441391343096175,91.16157291370392,1.4927073914867584,0.9942170595675145,1.3053494752306722,1.5040396382649495,1.7425550738443252,8.267240746006289,15.641513448484154,22.846878172646544
2,50000,0.0091,8.034157742767556,4.688570053210555,121.37782271104612,1.6460960470809805,0.9859918894396582,1.4843265902238165,1.4089130992558108,2.1243861518104765,9.681390306371854,18.110001187861414,26.1457419892119
3,50000,0.00778,8.711619075216241,5.093299177834664,137.8201828865465,1.7238477472324296,0.9880784555558171,1.5746423028032357,1.372251523277052,2.355401551231039,10.533312027755775,19.79540790942877,28.25002952820972
4,50000,0.00658,9.020194020848116,5.313711997482552,145.6342715170708,1.7610341809966235,0.979345810009787,1.6162280324383294,1.3462828100759592,2.487176558474438,10.852726454612304,20.31726547838853,29.253701608540343
5,50000,0.00782,8.665995640426791,4.984632124809436,153.9739716040972,1.707957549228985,0.9963039095430948,1.5558335456538883,1.3846579477773047,2.3078147185009463,10.359248867880426,19.509157441587316,28.10453781624294
6,50000,0.00836,8.200686183309974,4.8094732842363745,124.7772829533761,1.6711500441277114,0.9748958193404033,1.5150929979430687,1.3690496338335352,2.212046010570064,9.920695325807841,18.49405596246382,26.299149215578176
7,50000,0.01266,7.8720886906175105,4.3604205707093175,135.2093659875756,1.5850214330333536,1.0567848978476344,1.412045168094093,1.5454080862473147,1.9094117466657197,9.291631446789875,17.982162250530784,26.28820525426248
8,50000,0.01154,7.592727641088022,4.3005635774686635,121.37928084022307,1.5748520623871958,1.0113200249358942,1.4022430938968262,1.4724854284543236,1.9254504801592454,9.025704400172536,17.170818322261614,25.362659210082352
9,50000,0.0134,7.5367102153514045,4.166381980754835,134.01575566785638,1.5490013451166562,1.0420034831309086,1.3710938656310618,1.5382294790955788,1.8406731349341805,8.945241077513467,17.1411684373471,25.10025880257887
10,50000,0.01648,7.4142377794985865,3.992533870304319,123.2420483405856,1.5184598050887836,1.074163774103997,1.3387283339233353,1.5951276546191235,1.7271009191814595,8.797355045076694,17.026061528735227,25.131996718465487
11,50000,0.01762,7.262463428090639,3.946389795676996,127.9896178610726,1.498491070131722,1.0717608215536316,1.3183124426416815,1.5835687807047827,1.6851959949658715,8.52287085382244,16.587388774985104,24.8726930661751
12,50000,0.01924,7.18440080450327,3.7882190816211447,135.14171320327154,1.4662149831506126,1.1054950142338686,1.2769371636642797,1.6622540351015693,1.5982501076094398,8.352343201050424,16.513031942419655,24.447260442816322
13,50000,0.0279,6.908997128187805,3.4500608487815154,135.1326333707897,1.3930685592402776,1.1680345088593185,1.2001637018814402,1.7829232217537847,1.3881214247906009,7.842843395698912,16.11460454382054,24.516432832855685
14,50000,0.02556,7.0447139396675675,3.5514562995576076,137.29447962466523,1.4163536446779437,1.161131216036035,1.2252995617361047,1.760626280565589,1.432346937353187,8.023046102974337,16.407801927189503,24.9376677818099
15,50000,0.02638,7.253517757136655,3.6077142937816458,156.6797523386794,1.4262260976733965,1.1878709340435962,1.237448124662175,1.7903425165654083,1.4370206357185076,8.225733964635056,16.753695552247613,25.483896260393617
16,50000,0.02462,7.427694944975297,3.692429189694593,171.78447385552965,1.4464406127597156,1.1928757134840515,1.2567200319358938,1.8036187030902497,1.4697657197123886,8.434885381636848,17.11456615876037,26.216393006619036
17,50000,0.03748,7.137769859631298,3.279414321815287,179.3250088642974,1.3534347961135995,1.2823463319096902,1.159180735765678,1.9938243167385832,1.231571216096608,7.857999632853494,16.676837657984358,26.093744027474894
18,50000,0.0306,7.225149370154543,3.4546130599591747,170.32796723313086,1.3932673541650462,1.2328580608659474,1.2012884682655847,1.8772890382991134,1.3304640056051869,8.067470602357057,16.713734576355886,25.946675232162146
19,50000,0.0318,6.966218398735466,3.3337078018639392,149.9797560234725,1.3650938969098794,1.2279561548931113,1.1654021162454957,1.9014046912302094,1.2778840381308254,7.827295391706162,16.20078804280276,25.023132978506908
20,50000,0.0319,7.1020637958882284,3.3543407668922147,164.24318283357292,1.3692963848182294,1.2473305992660193,1.169199181684847,1.9309936565598644,1.2859487951381203,7.87904479478672,16.72640239761196,25.570846519650992
