transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,1.7918327837897943,0.9417573527149723,26.553087784722095,0.3564753550380248,0.24997860073932854,0.9456747219833295
1,50000,0.9494248012520748,0.2728383280324951,28.361967155027568,0.14721958525425485,0.05366943161928717,0.7857072767102959
2,50000,0.5926794065666289,-0.04840938192196553,29.164703293971545,0.07909785336157964,-0.008491523591796613,0.7171774240970356
3,50000,0.3114149533556208,-0.23383513958855762,29.835901949937448,0.042816007546066986,-0.03757039871179357,0.6927168950702594
4,50000,0.21242637235956732,-0.3214418868714777,30.47168885764397,0.024214068501017035,-0.04820495557378457,0.6703997506501465
5,50000,-0.4465389158575372,-0.7820461031801949,27.58562920287745,-0.044959655201066255,-0.12062931951398981,0.6321413155840568
6,50000,-0.2958104632415446,-0.6722420074654369,26.857094500591653,-0.03521819272075143,-0.10876924130451449,0.6529081427029342
7,50000,-0.17235569709313447,-0.5512828509702726,26.614507552472446,-0.019236009101244678,-0.0933958488684925,0.6571716567485177
8,50000,-0.2994152504944009,-0.6328899559551069,23.393395675408932,-0.034323593996973586,-0.10924871205916165,0.6293682570112666
9,50000,-0.14319478010805428,-0.5075532712627759,22.91298911640604,-0.01661665676242901,-0.08985183705725852,0.639704584491001
10,50000,-0.15255552671969122,-0.509230382824167,22.53711398601712,-0.019922281539458655,-0.09419444540382771,0.6489300257448196
11,50000,-0.06274083364481714,-0.46150614990471495,22.56605400275658,-0.012670617396630213,-0.08567170797477996,0.6626644470426001
12,50000,-0.07263281747976959,-0.46948596446414204,21.91631925117118,-0.007257800101803143,-0.08687332494541522,0.6586512415476775
13,50000,-0.03226595964277421,-0.4391326257032899,22.09260890807254,-0.0075328339590641,-0.08390524117595632,0.6594733972013143
14,50000,-0.0164058167532267,-0.37885465962161646,19.936157911100395,0.0024424451437091194,-0.07022052672294343,0.6225782016168339
15,50000,-0.025566493718105047,-0.3903248117839603,19.903032969190672,-0.0007313296606845987,-0.07445172239876419,0.6211768167494579
16,50000,0.029113308254633406,-0.3676468364996919,20.43037362326136,0.001007467315351367,-0.06802211812183834,0.6252860210957372
17,50000,-0.008084044485099017,-0.37308542927908483,19.91296653023734,-0.0006357567163507258,-0.07092824095117523,0.6147329431239192
18,50000,-0.0321882772487779,-0.4043416283986252,19.898282014190993,-0.005694863449464698,-0.07854317780702336,0.6234262733582573
19,50000,0.02928791315647149,-0.3731869050109875,20.196882926195226,0.003421023943802356,-0.06976327581040243,0.6245563973878357
