transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,3.243935033629931,0.06577954792673235,199.12542502489202,0.06303901850467623,0.027790137454634378,0.8569598752085887
1,50000,4.91260228731165,0.0,1306.0540095110157,0.05687344424743951,0.0,0.7989322041670573
2,50000,7.546797897607125,0.0,4579.979735627752,0.07492070291228062,0.0,0.7586972826351022
3,50000,11.078517043174198,0.0,15442.769919858318,0.057597618336946634,0.0,0.7404156559446933
4,50000,21.395119543231594,0.0,182895.3573601979,0.06652451682725855,0.0,0.7268307410653133
5,50000,29.71729542442575,0.0,373295.6622176536,0.064285142618004,0.0,0.7133697917428432
6,50000,47.87962347556152,0.0,3770817.2352865967,0.06081100502204871,0.0,0.6955649850339443
7,50000,78.7296010499353,0.0,9931356.486401275,0.05765594887696683,0.0,0.6808659720550452
8,50000,165.23843064478976,0.0,89453440.66768576,0.05979751541548249,0.0,0.6757864682975391
9,50000,101.64395977362997,0.0,81009544.97296993,0.055955964974091846,0.0,0.6678707552096044
10,50000,443.0647966550713,0.0,1437937722.9049,0.059788315897183204,0.0,0.6617385730127179
11,50000,545.0259289175905,0.0,1342565385.436314,0.05137775365120518,0.0,0.6619740983697175
12,50000,417.60307984410434,0.0,1241975753.1069613,0.05426588489655458,0.0,0.6496339019746712
13,50000,763.5809079752481,0.0,3835392370.5021825,0.05354854726717717,0.0,0.6517945125421412
14,50000,2045.179509770988,0.0,35315375318.250984,0.05089399102150688,0.0,0.6463902087556888
15,50000,2079.0784908168253,0.0,83682618094.7855,0.050456942335561514,0.0,0.6466359526251471
16,50000,9940.185217800563,0.0,1242658407659.5889,0.04841506898445928,0.0,0.6422748056760602
17,50000,8537.954828607772,0.0,951276533028.528,0.04708104512626879,0.0,0.6310775576224344
18,50000,12675.222002354176,0.0,3538880561547.081,0.04826369939226142,0.0,0.6349631073941289
19,50000,-216.9158325242272,0.0,2257657261309.2866,0.05113845850923273,0.0,0.628365966239069
