year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.552226062691513,3.136627224607243,20.88438253604114,1.2400847662599437,0.8120422649072818,0.9342983874748814,1.653147825185719,1.2922623453171367,6.318014289397149,10.506911624349879,13.641942218341455
1,50000,0.07044,7.796161096321445,3.1085770086653466,245.6043286967593,1.30312378476462,1.5649256798415672,1.1556477358237347,2.361651450269281,0.9275362895256036,8.432182670165425,19.06242040055329,30.06494251770312
2,50000,0.11612,12.708763383633094,3.0566111749642975,1848.7940402995898,1.3599972290120594,2.201366904523029,1.3311999944912523,3.031612871579432,0.6767107929928302,10.429118074672688,29.086301140446427,52.19238789359486
3,50000,0.14776,20.25556128124022,3.1528540029632777,6785.406761735725,1.4349179319243401,2.783801849522033,1.5114918526735899,3.6258430935319543,0.5061060565514339,12.826991738485846,41.88104443896789,81.8578328216304
4,50000,0.17378,31.33407832441442,3.180860696594909,25231.196671599075,1.4925155502612868,3.3021329113688167,1.6671822877500533,4.144413101517719,0.3739447128209702,14.923478697499245,55.519147081257366,120.59369711794949
5,50000,0.19574,52.729197867646015,3.2078630450702024,253993.50046962584,1.5590400670885451,3.8411852191733202,1.8361660523141767,4.611499381042814,0.2712491773055983,17.401505151392353,74.04510910657318,176.139644402579
6,50000,0.21244,82.44649329207176,3.2384674137244773,852731.9306622018,1.6233252097065494,4.343039677353002,1.9809832888679917,5.138918831106524,0.17904839232386166,20.56355395457824,96.6904781490074,238.075195307142
7,50000,0.22628,130.3261167676333,3.30600136192789,6435632.8250953145,1.684136214728598,4.822471725266573,2.1230209535266464,5.561772016285694,0.11730647070866038,23.37629660701326,121.9111601305522,319.1578044792312
8,50000,0.23762,209.05571781756856,3.3326679913927997,27270268.851396445,1.7417921636055649,5.279181610716823,2.2496766062729296,6.0126595444749675,0.05844901657405399,26.244861703068544,148.47458131276449,423.80079971532933
9,50000,0.24808,374.29414846235835,3.384269301884514,112444198.5275393,1.8015896790210473,5.766969003004728,2.383352369168734,6.44833345935108,0.009609589958130008,29.97311180696405,185.71547409991393,540.711277378781
10,50000,0.25548,475.9381082359883,3.4307270821988802,97105527.70520253,1.8575456439951392,6.230263604238212,2.4955544563264573,6.911496477361121,0.0,33.240437693832945,230.36839211724418,715.7373808666945
11,50000,0.26196,919.0029048910596,3.532656673755916,1755556441.2837052,1.9173339598923222,6.699883878995837,2.6117230785861723,7.371395512331231,0.0,37.0726144143614,281.9179508396614,939.4216540987095
12,50000,0.27,1464.0288338086505,3.512791557579847,3008671300.1552577,1.9687117135435273,7.205213003295126,2.72372208076248,7.891673717206328,0.0,40.955407560217296,346.48555762379254,1201.7280649954532
13,50000,0.27764,1881.6319136527545,3.5614093771973363,2734543530.2270827,2.0229775984400824,7.6510472756065475,2.847801739543581,8.247618641772243,0.0,45.15059453529801,407.6577669878626,1537.9153635009436
14,50000,0.28238,2645.2128216280025,3.6077799436351583,7727678895.43171,2.0765261457072595,8.112507181163863,2.9507963342733725,8.69305661891819,0.0,50.03475827059714,488.27822006543926,1900.2896910590334
15,50000,0.28644,4690.39233139899,3.70907569645266,53968284294.69768,2.1274201367287664,8.56377061453972,3.0476779996971275,9.138375083419263,0.0,54.83146223152241,601.7719216122754,2384.69067032992
16,50000,0.29342,6769.470822215816,3.738579173428766,214948189708.09863,2.1778770790643276,9.040038403530268,3.1666741455257044,9.537797393989173,0.0,60.24353207542953,693.6839125273368,3006.472333964638
17,50000,0.29818,16709.65604001638,3.77944247034585,2298543618905.6304,2.226292148048787,9.495336254358351,3.2661742951083697,9.979993314025505,0.0,66.14784028385984,819.8469441716563,3805.168664064556
18,50000,0.30154,25247.61086862415,3.733002659719113,3372969550391.1694,2.273373193175056,9.946728484860822,3.356565671188018,10.423085853048855,0.0,72.61072847177361,977.9772193293178,4402.844949021163
19,50000,0.30466,37922.83287097832,3.834041206590356,10339744576595.31,2.321636892567317,10.414431588611416,3.447214263148419,10.893852137784974,0.0,79.06906787281974,1116.3772363703615,5538.732636172397
20,50000,0.30756,37705.91703845409,3.9716443774137242,5469800222458.808,2.37277535107655,10.87095138968784,3.541073876575034,11.346257228901832,0.0,87.746854258701,1290.7360961768065,6673.511211503462
