transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,7.7225498654816676,0.8179064394465049,851.7653423697527,0.31843120933350494,0.27553243685870543,1.1676118599263678
1,50000,13.081430556845804,0.5224363846226429,11390.463781165352,0.2338122162932044,0.1877930998072277,0.940325680305351
2,50000,20.395651640788067,0.1654734298466105,64747.25095417068,0.12605277661799072,0.06921416718620182,0.8425308837706121
3,50000,30.570550140575524,0.07444904468268909,304754.96837522817,0.09594516877926179,0.035381869908265834,0.8303328599013091
4,50000,54.6057607543023,0.0,12491876.589476839,0.01656924340600389,0.0,0.8150860626487817
5,50000,44.60439162956655,0.0,2626379.947784543,0.03693067899195708,0.0,0.7802579152615867
6,50000,78.67977801377464,0.0,29998732.49360394,-0.0007080594533626981,0.0,0.8055263170915531
7,50000,129.32929373242203,0.0,96573477.47748376,0.06302090344036212,0.0,0.7632941615889886
8,50000,147.2906739182748,0.0,103959706.04651201,0.04537615426081358,0.0,0.7188780102150971
9,50000,275.1832016094985,0.0,225145461.37270847,0.03671463731610593,0.0,0.7526519146839162
10,50000,650.1073547738584,0.0,7750380381.095139,0.05316153471015498,0.0,0.7609550805491115
11,50000,4024.1509813039606,0.0,630170502298.735,0.04447539464432584,0.0,0.7070968001753419
12,50000,862.3152201263937,0.0,10218980555.918728,0.005029629873202026,0.0,0.7594578286541437
13,50000,2410.6752172703173,0.0014105703006117576,107856264840.09886,0.08061569249663914,0.0007381689888477649,0.7554196984771349
14,50000,5164.456554526209,0.0,993839418677.9175,0.07789195970636599,0.0,0.8456943148733717
15,50000,9484.480733742339,0.004989954733439078,1834068022470.368,0.0743215524574925,0.0025862839610366617,0.6943639841010423
16,50000,12583.61128572364,0.0,7417378782630.296,-0.023279774918353504,0.0,0.7709821371531242
17,50000,23646.93861233624,0.05512981441828435,23849392979462.05,0.0932648959918479,0.028390562830575283,0.7572972742823451
18,50000,90396.63668599722,0.0,309727649768385.1,0.021564838461223063,0.0,0.6866691136031016
19,50000,-27793.323803654217,0.0,51938328812101.86,0.03512206681934011,0.0,0.6479494566251289
