year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.546616863632674,3.172504066065788,20.427537389751247,1.2422589498554202,0.8087350713842848,0.9363781921666495,1.6556252949171284,1.3038849857889039,6.319690663997413,10.471563940718324,13.582390464800367
1,50000,0.06394,12.269166729114339,4.1356106715449785,939.2820727770309,1.560690159188925,1.8886582898220077,1.4623075959562895,2.5892613860525295,1.201457093149571,11.905349580636729,28.977586317460823,48.226018739825754
2,50000,0.0743,25.350597285960145,5.128011152910011,15575.730371559179,1.7945023754821299,2.635534145074883,1.7547731110061369,3.381637554882885,1.2186779058977502,17.76552137374054,52.874728346028824,101.30057979626905
3,50000,0.08304,45.74624892674821,5.534269953012457,106962.68859555278,1.9205551521001203,3.2551120659575252,1.9172457825891458,4.057521247516469,1.1418616709110148,22.935639144111605,78.22479310931011,165.09012629344963
4,50000,0.08948,76.31679906732373,5.7913667874689345,519954.7545898032,2.0165003208793824,3.7897592361624888,2.0389727317427773,4.6729806508655045,1.082735140179329,27.811016350953043,106.87528939587946,240.8066925727611
5,50000,0.1032,130.92255982162604,5.59315805756261,15646882.377344457,2.033069564285386,4.264376951254089,2.091822935083885,5.235534019345084,0.902575578513081,29.962486101109185,133.43042578926836,317.5487478219194
6,50000,0.10984,175.52695145119256,5.537943681749468,10770930.306450827,2.070000243277343,4.6680750866555565,2.151767646749017,5.687364889108501,0.8223786747746824,33.142992392769614,159.77569378039706,409.3377083664584
7,50000,0.1219,254.20672946496725,5.179964535159401,61018913.32457814,2.069292183823981,5.043458391102184,2.190808533661677,6.079028748399457,0.7118173501616863,34.081751322669675,187.19021419363125,512.5415457490872
8,50000,0.1183,383.53602319738934,5.376698454386899,289368930.1613874,2.1323130872643423,5.388245361954402,2.244869427210914,6.517437619306758,0.716659767495618,37.20654410764974,224.89493559651535,652.8578391900935
9,50000,0.11654,530.8266971156642,5.456105428568593,661859644.4766935,2.1776892415251563,5.6748008994494015,2.2882871343533076,6.845711093504963,0.710623991398561,40.08074766977465,253.23216427055053,794.6059344397423
10,50000,0.12216,806.0098987251625,5.450883976512101,1521901135.427644,2.2144038788412623,6.008180925492913,2.351992839255882,7.1931429919138274,0.6809891012890015,43.174959449376736,293.86793758806914,937.0284092934936
11,50000,0.12126,1456.117253499021,5.584070578351069,15346316645.630812,2.2675654135514174,6.326224665961247,2.4099710447060847,7.546502338393886,0.6988659624284834,47.07022076851481,351.6741327194695,1157.9564512695872
12,50000,0.119,5480.268234802981,5.648098068651676,838806491059.0771,2.312040808195743,6.601162579412169,2.4534860089139836,7.833319103795568,0.7111321098625496,48.72906776263284,389.4964331351559,1376.634204072316
13,50000,0.12572,6342.583454929374,5.520791457122572,1023032372201.4092,2.317070438068945,6.889603148965988,2.481822691482062,8.169878899701638,0.6502403331030071,50.41835953012854,426.8777964661672,1591.6596903303005
14,50000,0.11722,8753.258672199694,5.892431999041083,1774251459500.3184,2.3976861305655843,7.182004245290582,2.5418737546533037,8.494125720417175,0.7072359157168063,55.83516092731487,486.02401505215363,1902.0945197390968
15,50000,0.1172,13917.715226725903,6.2846023323748526,5410702372305.259,2.4755780902719504,7.5175724197627956,2.6406075518553553,8.762460395754758,0.7500500339893437,64.18249248562316,572.9675255265403,2302.206827228949
16,50000,0.10872,23402.19596046824,6.7232915252685315,13244766408934.02,2.5498996427294425,7.7787864259259685,2.6892597863877428,9.091514052887504,0.8200275722662209,68.22838679782684,685.4877604158606,2770.334830248266
17,50000,0.12062,35985.80724619188,6.392975175157236,39653731882873.945,2.526619867811089,8.04716472710198,2.710552215309114,9.359245137418478,0.7239790933939987,67.78788373140898,718.1943567066844,3102.579035808629
18,50000,0.10978,59632.74585852812,7.0037337195951865,124834471382321.7,2.619884763802937,8.341364252330898,2.771006450644153,9.713969924542598,0.800109252528683,75.36417721747218,829.7957474108091,3577.0549204698664
19,50000,0.11378,150029.38254452535,6.992434540704682,825594876626288.0,2.64144960226416,8.541007949958852,2.8197812048528763,9.83461783749688,0.801095645935959,79.84103619692549,901.7361012352258,4039.011367149334
20,50000,0.10662,122236.05874087113,7.122843974355071,469697462282099.0,2.6765716690834997,8.737223489692646,2.823625379267425,10.123077217868902,0.8244391462326484,81.78093478972191,985.4193758576505,4653.120324671054
