transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,0.9880752279524455,0.8153307675581023,35.146124280564564,0.29123699577366247,0.3033670023485639,1.3466696531131845
1,50000,0.8406602580452553,0.6046926722848378,40.182268701854156,0.18280213189390224,0.17243449692580842,1.0339701647194663
2,50000,0.5292201751720451,0.4328182211314456,47.41971592325756,0.08977783383783097,0.10947332216097383,1.0151153778896174
3,50000,0.3410147844001527,0.29360638282306284,51.1627144903749,0.04631650610332468,0.0676990494199321,1.0185523053804348
4,50000,0.17646337569784257,0.2294858671801212,54.61963515307337,0.02302292464890567,0.05059920148094299,1.022699366544564
5,50000,-0.5595914308359998,-0.009164205683757087,52.37685500121925,-0.09188380142140835,-0.0021523770014338917,1.0922754710427058
6,50000,-0.30008782178866655,0.0,48.171329514075424,-0.04410912584406173,0.0,1.073825495337742
7,50000,-0.11495020722025344,0.0,46.35226011504699,-0.019323135375078498,0.0,1.0944704937449135
8,50000,-0.2315647207056312,0.0,47.009411822391236,-0.080753573944891,0.0,1.076904805599356
9,50000,-0.12707049157655045,0.0,48.15644303334995,-0.046839913400636014,0.0,1.1320982942866356
10,50000,-0.17338428628858346,0.0,47.56585657372656,-0.02404266999939493,0.0,1.1202754649615199
11,50000,-0.0468026971853112,0.0,45.671230769466966,-0.0072756785633799155,0.0,1.1076909132796702
12,50000,-0.026058753946830375,0.0,44.237583941665925,-0.011434677626645585,0.0,1.1043222266518073
13,50000,-0.04730867743583838,0.0,44.41541292517428,-0.003267648050324798,0.0,1.1052557091034079
14,50000,0.018505746917360972,0.0,44.17914677826291,0.004191281982626974,0.0,1.091841301602387
15,50000,-0.08911897471857315,0.0,44.09203071572734,-0.014267366017192298,0.0,1.1247133007303116
16,50000,0.015074044537448273,0.0,43.32169962807915,-0.0018934831349217511,0.0,1.1204065962524454
17,50000,-0.002843820016891682,0.0,44.13421106339927,0.0033362196587011094,0.0,1.107519974248943
18,50000,0.009673973850023906,0.0,43.60404505950159,-0.0003461923047796236,0.0,1.1062873471104666
19,50000,0.016540830427522513,0.0,43.05546766496671,0.005585713251323741,0.0,1.099440777472272
