year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.18308,4.574291125320376,2.754399128256977,30.2582436809696,1.0208353589943,1.3864736806562714,1.1467893600795545,1.638119606362857,0.47794132605606887,6.6404073298664095,11.711965368123138,15.700487329745501
1,50000,0.14364,5.614198701636114,4.011397197314054,38.027655987087236,1.3068580222735457,1.232095154386542,1.485533647490494,0.9635337082694727,1.5476879191233681,7.658325379816531,12.71184855194007,16.985602344886185
2,50000,0.12246,6.249696599842194,4.489425556963484,46.28030574520648,1.4227506494167013,1.1962610492752892,1.5762642843117065,0.9135038910455608,1.9160693389422283,8.389319133560175,13.964458026690076,18.636447715086124
3,50000,0.11172,6.701009106810857,4.895033028215257,49.77834716037265,1.5058597701263097,1.168379359088308,1.6511426156116973,0.8730636900844252,2.2156826703743904,9.002708400563497,14.660075751428773,19.521759004498414
4,50000,0.1045,7.212130586898985,5.2805445564660225,56.955791980715205,1.5803013445045648,1.1616683493549735,1.7246089787656795,0.837608770130882,2.497439359049233,9.536951429595755,15.713817046462637,20.808071965942197
5,50000,0.0994,7.6347998994594475,5.629902169256749,62.26566613846195,1.6370580643109784,1.164005037344975,1.7779184720159276,0.8422108272930694,2.6869834685285428,10.074410235380784,16.476714137278794,21.98656423192096
6,50000,0.10288,6.889036316310463,5.008448059886096,53.22210524379052,1.5424737105926956,1.1319737949117332,1.6714672789796174,0.8486467521554004,2.374479260744292,9.103842154736991,14.953277919384258,19.85518369324194
7,50000,0.11392,6.733666510887821,4.872810773108463,51.813811474447384,1.5056711406182897,1.1752253179467627,1.6592903448470224,0.8579190549226325,2.2335436491885856,8.918622560621145,14.689892129249337,19.820330364622002
8,50000,0.11612,6.6219026360704705,4.765451595001112,51.30942921695133,1.4858924953078205,1.1808736473078707,1.6409014490297429,0.8635184127369128,2.1667184815318485,8.807896668672939,14.604208491838435,19.461433062515994
9,50000,0.13694,6.540861441431598,4.593868176497135,54.73740886689615,1.4316133240583833,1.284309838738299,1.636260008455376,0.8947733746949675,1.906025222470544,8.710363474861648,14.677415763673213,20.00338689354471
10,50000,0.14662,6.431954700013594,4.446297140108603,54.92209396254526,1.3990752319084592,1.3237486497498308,1.6233993758689353,0.9174271742134474,1.788574030660966,8.625776810045139,14.57819058522282,19.769904324428687
11,50000,0.14758,6.399590671647578,4.408557703703204,57.25679034187563,1.3878117651036477,1.3295494185724581,1.609474803615622,0.9459954735717595,1.7381344483683414,8.443356902598996,14.553213934309698,19.82438532974316
12,50000,0.1509,6.325626638410412,4.248941485258673,56.582647152065846,1.3669157315911606,1.3461376792596798,1.5905827601386129,0.976427510195326,1.6381434936827084,8.428062061329541,14.56255379267864,19.847494822809676
13,50000,0.1526,6.2470944830310255,4.247565639408199,55.11571986256217,1.3563734644696712,1.3454532298638806,1.5819118917840729,0.9737988769805154,1.6142542658282173,8.343179166761422,14.349802789805823,19.51450286391465
14,50000,0.15124,6.274520808466358,4.188433714614132,60.98743171377737,1.354192806236338,1.3458189661227702,1.5747171775327484,0.9824889930155346,1.578228248803777,8.293164785243853,14.45142597005876,19.852843534020405
15,50000,0.15606,6.180050315253571,4.1344102190445415,55.52712405936344,1.3385909681568913,1.3547558663858124,1.5699677241190741,0.9759168582281997,1.5410804852824316,8.248986826924327,14.166741819088083,19.407362525244974
16,50000,0.1593,6.1815722525025,4.111413106012246,57.174067730500155,1.3306154416125582,1.3693004656447858,1.569631912388942,0.9795832019189354,1.4953339345566468,8.180002612905925,14.304990597734417,19.570057457235897
17,50000,0.15708,6.1839596809354775,4.121638582651927,57.58704619289428,1.3322369237564227,1.365592841739781,1.5617862743688802,1.010104747537879,1.5050269922494401,8.13916395985712,14.271916598439036,19.730524080090785
18,50000,0.15854,6.147163164521017,4.09994122709959,56.94766878333669,1.3278572040678116,1.364949326515952,1.5616788374506458,0.9957611946976279,1.4829361209978065,8.180376566678644,14.116718133787593,19.523896730487607
19,50000,0.1555,6.159889182391418,4.1078433538741335,58.329153096036606,1.3306348893706361,1.3560115306596836,1.5561714688863615,0.9924326946910563,1.4985404026029934,8.130551344194082,14.163121045554965,19.500268132311028
20,50000,0.15964,6.068064038566511,4.041952008415813,57.68406049690496,1.3123843224814749,1.3653663229657593,1.542362642779341,1.021087652470243,1.439409428575993,8.034412469680703,14.020533477670943,19.34421099393632
