transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,0.6077052882096544,0.0037416273918124965,9.830674588740282,0.013200972859287003,0.0008161028209696664,0.19271165314046934
1,50000,0.6761708326416022,0.0056673932496305035,15.402026623614768,0.01461627902675792,0.0016291498467277954,0.18864433286217805
2,50000,0.795230565178287,-0.007252198120058909,26.923879543959973,0.012116316906514957,-0.0019808635090576843,0.18752961403202703
3,50000,0.9002996517276701,0.010476663215457815,42.72846424523098,0.014780000587804924,0.0037154230508482655,0.1821887408225536
4,50000,0.9369638758129236,-0.008351218730491161,64.61334223641974,0.010234147062847468,-0.002908561951580013,0.1815625404097692
5,50000,1.144935628696311,0.008979091929842087,113.06960815623978,0.01673962181181939,0.0034659307548749463,0.18304478932745763
6,50000,1.3063254720800637,0.003114625790196779,242.9186639710244,0.015910870787629986,0.0015194143097898571,0.17748483398912715
7,50000,1.3100157946652184,0.00029388358254855973,280.02588306058954,0.012551876526724692,0.00015782652018575538,0.17825872882052715
8,50000,1.6055167599082052,-0.005144529177087798,451.5393009687022,0.011034856954137738,-0.0031738365631246435,0.1758213468282456
9,50000,1.5356533730857083,-0.003439876702638886,495.60728824785815,0.012178895139058673,-0.002033779867465335,0.17499673911131802
10,50000,1.7142436410361832,-0.00474457183035845,843.5617153405641,0.010856210482125797,-0.0031249123167644832,0.17232818181256807
11,50000,2.0508459114173654,0.0026088798015608235,912.6731361704135,0.014530760069444005,0.0017337209530280673,0.16965254540307032
12,50000,2.557379674033364,-0.00032424207867153,2112.362483712964,0.01217335346743656,-0.00030621407159109326,0.16976902639389505
13,50000,2.64709130148966,0.002829562959423517,2484.337276763692,0.014783230543919392,0.002601784489719816,0.1705321434460326
14,50000,2.8702001064791847,-0.00037553280003319034,5543.271500965997,0.01388289771113242,-0.00032566226919051103,0.16813689491025063
15,50000,3.7164419054917768,-0.0016616055324927908,5659.342369068407,0.011556637612434575,-0.0016246998896996545,0.1671799550520251
16,50000,4.136032727340664,0.00043769655456124545,22524.456185119252,0.015907221772626694,0.0005065780676232756,0.16757173789682478
17,50000,4.706149854252863,0.000928665161467418,9457.250325396755,0.015556641434018022,0.0009760635710350241,0.16528496273094767
18,50000,5.338962503356926,-0.0009063264195829212,23057.250145618276,0.013546917897857554,-0.0010884636465033348,0.1653628240478125
19,50000,6.583156379266108,-0.0008457119345456866,35598.65083292056,0.012968492764460653,-0.0009489836408961283,0.16396924993614168
