year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.0,4.527305443726212,3.992360875693763,5.804343889769891,1.5131721639306133,0.19500914924567675,1.3849728666275687,0.25065542460698015,2.8449526782067927,5.614713060441529,7.597010576665032,9.078899953757622
1,50000,0.0,5.135010731935867,3.9897988374616915,17.201844921255024,1.5263731367899003,0.38328932882913097,1.3852403351830278,0.5014988568829337,2.474357279336447,6.46487808823149,9.92093390201194,12.786595904148268
2,50000,0.0,5.811181564577469,4.005415803017495,36.7578981455531,1.5409894158166584,0.561793681477294,1.3869498790408554,0.7477611686572779,2.2344164064559155,7.182638833720071,12.173175656120758,16.68938567189115
3,50000,0.0,6.606412129755756,3.9813745733067627,74.36722794767047,1.553105732723173,0.7434887596036418,1.384913944114251,1.005263407240305,2.0267517292417208,7.888816162521838,14.364318317872822,20.818150161623922
4,50000,0.0,7.506711781483426,3.9978947731347416,141.93140010636017,1.5678857333109781,0.9152799187370613,1.3861599767046555,1.2554825835555676,1.8702614663517814,8.492479369439803,16.89935425407179,25.180689604612187
5,50000,0.0,8.44367565729635,3.9711225439719473,244.38285296249148,1.5781198803738261,1.073259649458918,1.3823106710408617,1.4961815110557684,1.7541309422268716,9.038000729306363,19.158444444751222,29.761883490726298
6,50000,0.0,9.58861128599266,4.004466494586973,430.3175533580803,1.5948595021856449,1.236850477780443,1.3853292895200529,1.7480355648409354,1.6412250596655176,9.725659499215965,21.762978267435095,35.06194138154865
7,50000,0.0,10.894936758072722,3.981107317256468,806.6166240968832,1.6107703729732752,1.3962724862632225,1.3881200684543142,1.9939855423061232,1.545915810898644,10.416490949770875,24.56960634184103,40.22983341090965
8,50000,0.0,12.204952552737943,4.0168209795038425,1138.816536642274,1.6233222494999997,1.5429927009477244,1.387123821722779,2.230846422030164,1.4636183296477288,10.920105250518128,27.08299989615021,46.144906732656736
9,50000,0.0,13.810469312646147,3.996542193719643,2019.1768711902753,1.6343571064541373,1.6946143284828972,1.3838296747024739,2.4775278845439295,1.3758086321096155,11.499387040694263,30.075742612334764,52.80991899575755
10,50000,0.0,15.346122685731855,3.977180669731003,2481.1626910147534,1.646536001593196,1.8459138615540354,1.3814398559471825,2.728601360815265,1.301076396568376,12.191192987939107,33.28632348858044,61.41530216973537
11,50000,0.0,17.06036632676804,3.960032409573596,3620.3490785324266,1.6573922120753222,1.9866644101349604,1.3782157448593522,2.9685710268816816,1.2280844581386674,12.787872431970023,36.537296503150145,67.53542502590496
12,50000,0.0,19.111212238185406,3.9442939049758583,4849.547881300799,1.671922972144766,2.1264310638603154,1.3797115318734585,3.2081201469084806,1.1905505585303884,13.347908244825359,39.702704754668474,75.92901013183814
13,50000,0.0,21.66859191221877,3.9528752783975856,9198.862121169954,1.6840963256122026,2.265089962683882,1.3764229841942546,3.4642548555752395,1.142731319737457,13.91828185464848,43.38655386117574,83.78134258765752
14,50000,0.0,24.31568321370843,3.981028302271767,12139.916067432345,1.6988795561561219,2.40410794687847,1.378778772706144,3.7017009291224787,1.0863095964670624,14.681704465799443,46.89868690874023,94.11973951105928
15,50000,0.0,27.18588332018761,3.96278792443656,20310.397744671878,1.7127624538672543,2.543491474744346,1.3795556491066103,3.945188623260839,1.0430285423726453,15.3450327564566,51.02191465698372,104.62860522449559
16,50000,0.0,30.90232522567939,3.962219126858533,27726.19758591905,1.7243190914796889,2.6826732042204258,1.3778514581557997,4.189581576287393,0.9951046810140829,15.7561551598722,54.83543115822002,116.61867984202698
17,50000,0.0,35.03835795302005,3.960574993184496,61084.23817664383,1.7402263132523155,2.8176136217153176,1.3807893006182916,4.4361040629118875,0.9642660041196277,16.52673828692523,58.95095239664787,130.98022664270982
18,50000,0.0,39.74450780727292,3.989684735450339,83741.38003921347,1.7557829546863335,2.950056676116814,1.382544877256616,4.690504307556002,0.9289764988699329,17.330061825292304,63.40052648366618,139.56837418273693
19,50000,0.0,45.08347031062985,4.022485838747704,97293.70352323788,1.769329872584191,3.0851246968892867,1.382752180868804,4.9408828142716015,0.892327906510542,17.93376951015506,67.39724150809406,151.29981182001367
20,50000,0.0,51.66662668989595,4.0074880706650955,178274.65953620666,1.7822983653486517,3.222539149265025,1.3819474189769654,5.197590125058141,0.8593230798069407,18.49785219338954,73.86972950484984,168.07979718730618
